con,Omega,Theta,ygross,ynet,inv,Eind,scc,carbontax,Abatement,Dam,Emissions
77.14089,0.0028556,0.00017247506,105.17594,104.8756,27.716629,33.26724,22.187538,13.181844,0.018140227,0.3003404,35.867237
79.67437,0.0031336462,0.00020877428,108.70886,108.3682,28.671204,33.557495,22.727406,14.936611,0.022695614,0.34065512,36.098377
82.30325,0.0033833182,0.00024622385,112.35256,111.972435,29.641617,33.8614,23.320053,16.65634,0.027663881,0.38012445,36.344513
85.022316,0.0036104931,0.0002842692,116.1036,115.68442,30.629221,34.176704,23.960995,18.332302,0.03300468,0.41919127,36.603355
87.82835,0.0038202282,0.0003226243,119.958954,119.50068,31.633778,34.500324,24.647255,19.965698,0.038701672,0.45827055,36.8718
90.71706,0.004016719,0.00036092673,123.91604,123.41831,32.65671,34.830353,25.375349,21.553265,0.044724606,0.4977359,37.147903
93.684875,0.0042033643,0.00039891436,127.97254,127.43462,33.698902,35.164963,26.142384,23.09446,0.05105008,0.53791517,37.429817
96.730064,0.0043828734,0.0004364955,132.12665,131.54756,34.760082,35.501915,26.946667,24.593649,0.05767269,0.5790944,37.71527
99.854256,0.004557388,0.00047384063,136.37668,135.75517,35.836586,35.83797,27.788786,26.06279,0.064620815,0.6215215,38.001
103.052284,0.0047285836,0.00051076245,140.72122,140.0558,36.93198,36.172287,28.665407,27.500248,0.07187512,0.665412,38.286137
106.3234,0.0048977616,0.0005472842,145.1595,144.44855,38.046074,36.50346,29.575497,28.910797,0.0794435,0.7109566,38.569252
109.667496,0.0050659305,0.00058352284,149.6905,148.93219,39.17778,36.829414,30.51869,30.30163,0.08734783,0.75832164,38.84823
113.0811,0.0052338694,0.00061940216,154.31349,153.50583,40.32964,37.14968,31.492493,31.672876,0.095582105,0.80765665,39.122597
116.56356,0.005402169,0.0006549689,159.02798,158.16888,41.50173,37.462948,32.49626,33.028446,0.10415838,0.85909605,39.391
120.11404,0.005571282,0.0006902941,163.83342,162.92065,42.694164,37.76831,33.52931,34.372364,0.11309324,0.9127622,39.652523
123.732254,0.0057415473,0.0007254296,168.72978,167.76102,43.90705,38.064724,34.5913,35.70794,0.12240159,0.96877,39.906094
127.41773,0.0059132166,0.00076044176,173.71686,172.68964,45.140594,38.351578,35.681786,37.038425,0.13210155,1.0272254,40.15108
131.17021,0.0060864715,0.0007953812,178.79471,177.70647,46.39491,38.627956,36.800507,38.366623,0.14220996,1.0882288,40.386547
134.98946,0.0062614405,0.00083030434,183.96329,182.8114,47.670174,38.893433,37.947193,39.69506,0.15274552,1.1518751,40.612034
138.87538,0.006438209,0.0008652631,189.22287,188.00462,48.96658,39.147236,39.1217,41.02627,0.16372758,1.2182565,40.826763
142.82788,0.006616827,0.00090030016,194.57365,193.2862,50.284283,39.389034,40.323906,42.36216,0.1751747,1.2874603,41.030376
146.84695,0.006797317,0.0009354581,200.0158,198.65622,51.62345,39.618374,41.553722,43.704643,0.1871064,1.3595707,41.222393
150.9327,0.0069796797,0.000970768,205.54985,204.11516,52.984318,39.83487,42.811157,45.055244,0.1995412,1.434672,41.40242
155.08513,0.0071639013,0.0010062599,211.17606,209.66321,54.367123,40.038246,44.09619,46.415356,0.21249801,1.5128444,41.57015
159.3043,0.00734995,0.00104196,216.89479,215.30061,55.771984,40.228092,45.40886,47.786304,0.22599569,1.5941658,41.725163
163.59155,0.007537783,0.0010779222,222.70663,221.02792,57.198097,40.404263,46.74984,49.16994,0.24006043,1.6787144,41.867294
167.94809,0.0077273506,0.0011142503,228.61163,226.84508,58.644215,40.565872,48.119698,50.56976,0.25473055,1.7665622,41.995636
172.37119,0.007918593,0.001150993,234.60962,232.75185,60.11277,40.712738,49.51668,51.98733,0.27003402,1.8577778,42.109997
176.86215,0.00811144,0.0011884138,240.70126,238.74884,61.602943,40.843365,50.941315,53.43049,0.2860527,1.9524337,42.208855
181.4199,0.0083058225,0.0012265169,246.88615,244.83556,63.115337,40.95771,52.3929,54.899467,0.30281004,2.0505927,42.292152
186.04405,0.008501661,0.00126519,253.1647,251.01237,64.65073,41.056133,53.871277,56.391537,0.32030144,2.1523206,42.36023
190.73491,0.008698861,0.0013044325,259.5376,257.27988,66.20938,41.1387,55.37666,57.906918,0.3385493,2.2576814,42.413143
195.49303,0.008897336,0.0013446311,266.00565,263.6389,67.79137,41.203625,56.908947,59.456516,0.35767946,2.366742,42.449093
200.31685,0.009096996,0.0013856636,272.56775,270.08823,69.39712,41.25121,58.467216,61.037224,0.37768722,2.4795477,42.468353
205.20714,0.009297738,0.0014274677,279.2247,276.62854,71.02652,41.281845,60.051907,62.64753,0.39858425,2.596158,42.471317
210.16432,0.009499458,0.0014700074,285.97726,283.26065,72.67996,41.29567,61.66334,64.28682,0.42038873,2.716629,42.458096
215.18893,0.00970205,0.0015132326,292.82645,289.98544,74.35768,41.29296,63.302006,65.95406,0.44311452,2.8410168,42.42896
220.28152,0.009905415,0.0015571178,299.77283,296.80347,76.05977,41.27399,64.96812,67.648796,0.46678162,2.9693742,42.38416
225.4424,0.0101094395,0.0016016271,306.8172,303.71545,77.78661,41.238857,66.66202,69.37051,0.49140674,3.1017497,42.32378
230.67209,0.010314019,0.0016467157,313.96048,310.72226,79.53849,41.187828,68.38405,71.118324,0.5170036,3.2381945,42.248085
235.97118,0.010519047,0.0016923354,321.20334,317.82462,81.31557,41.12119,70.13459,72.891335,0.54358375,3.378753,42.157337
241.34003,0.01072442,0.001738457,328.54657,325.02313,83.11804,41.03919,71.91394,74.689095,0.5711641,3.5234714,42.051777
246.77937,0.0109300325,0.0017853343,335.9909,332.31854,84.94584,40.94071,73.72221,76.51873,0.5998561,3.6723914,41.930275
252.28854,0.011135778,0.0018330811,343.53577,339.71027,86.798965,40.825233,75.55878,78.383514,0.629729,3.825538,41.7923
257.86688,0.011341558,0.0018815404,351.181,347.19803,88.6779,40.693275,77.42319,80.27979,0.6607612,3.9829395,41.638348
263.52145,0.011547262,0.0019312856,358.9273,354.78268,90.57604,40.542587,79.319885,82.22283,0.6931912,4.1446276,41.466175
269.24683,0.011752779,0.001981868,366.77472,362.46408,92.4989,40.37507,81.24544,84.201225,0.7268991,4.3106217,41.277657
275.04263,0.011958001,0.0020331217,374.72418,370.24326,94.447845,40.191566,83.19959,86.21106,0.76185995,4.4809523,41.073635
280.90918,0.012162811,0.002084973,382.77646,378.12082,96.42325,39.99262,85.18263,88.25069,0.79807854,4.6556373,40.85463
286.8471,0.0123670995,0.0021373462,390.93216,386.09747,98.42513,39.778458,87.195015,90.31876,0.8355574,4.8346972,40.620865
292.85693,0.012570758,0.002190172,399.19244,394.1743,100.45404,39.549706,89.2371,92.41372,0.8743001,5.0181518,40.372963
