kplusy,lambd_haty,muy,nuAT_haty,nuUO_haty,nuLO_haty,etaAT_haty,etaOC_haty
228.37488,0.9826225,0.09710877,1.0750726,-0.8022872,-0.25044146,-0.03763689,-0.21652181
234.11523,0.9895345,0.1053266,1.0699418,-0.7980032,-0.24832045,-0.037649147,-0.21638441
240.27078,0.99527436,0.113103196,1.0658662,-0.79448336,-0.2465553,-0.03771986,-0.21638264
246.81117,1.000024,0.12046349,1.0626879,-0.7916066,-0.24508329,-0.03784819,-0.2165141
253.71031,1.0039175,0.12746173,1.0603502,-0.78932136,-0.24382973,-0.037950225,-0.21666963
260.94653,1.0070976,0.13412349,1.0586895,-0.7875131,-0.24277095,-0.038078137,-0.21691193
268.50085,1.0096818,0.14047812,1.0575801,-0.78609353,-0.24188423,-0.038259566,-0.21727312
276.35754,1.0117521,0.14656755,1.0569421,-0.784988,-0.24112053,-0.038499825,-0.21775606
284.5023,1.0133317,0.15245573,1.0567021,-0.78402674,-0.24033809,-0.038854055,-0.21841972
292.92584,1.0145409,0.15815146,1.0568365,-0.7832952,-0.23967607,-0.039241545,-0.21914849
301.61832,1.0154274,0.1636845,1.0572795,-0.7827311,-0.2390642,-0.039676286,-0.21993531
310.57034,1.016025,0.1690902,1.0579891,-0.7822631,-0.23845062,-0.040169217,-0.22076137
319.7758,1.0164093,0.17437693,1.0589275,-0.7819708,-0.23791657,-0.04068207,-0.2216431
329.22885,1.0166128,0.17956497,1.0600656,-0.78183365,-0.23745272,-0.041211978,-0.2225738
338.92487,1.0166647,0.18467349,1.0613768,-0.78183323,-0.23704994,-0.041757077,-0.22354636
348.86044,1.016588,0.18971814,1.0628407,-0.7819553,-0.2367015,-0.04231509,-0.22455594
359.03265,1.0164039,0.19471341,1.0644376,-0.78218585,-0.23640163,-0.042883806,-0.22559752
369.4392,1.0161295,0.19967155,1.0661521,-0.78251487,-0.23614497,-0.043461666,-0.22666618
380.07806,1.01578,0.20460333,1.0679697,-0.78293204,-0.2359275,-0.044047073,-0.22775835
390.94824,1.0153679,0.20951897,1.0698783,-0.7834294,-0.23574562,-0.044638947,-0.22887024
402.04898,1.0149045,0.21442631,1.071868,-0.78399986,-0.23559584,-0.045235686,-0.2299989
413.37946,1.0143982,0.21933281,1.0739292,-0.7846375,-0.23547597,-0.045836203,-0.23114167
424.94055,1.0138578,0.22424456,1.0760542,-0.7853365,-0.23538361,-0.046439663,-0.23229557
436.7315,1.0132892,0.22916684,1.0782366,-0.786093,-0.235317,-0.04704518,-0.233459
448.7531,1.0126989,0.23410465,1.0804702,-0.7869023,-0.23527382,-0.047651708,-0.23462951
461.00385,1.0120821,0.23906438,1.0827525,-0.7877706,-0.23524651,-0.048259452,-0.23580715
473.479,1.0114334,0.24405716,1.085079,-0.78870565,-0.23522376,-0.04886806,-0.23699063
486.18094,1.0107841,0.24908805,1.0874346,-0.7896785,-0.23521897,-0.04947508,-0.2381743
499.1046,1.0101273,0.25418055,1.089807,-0.7906764,-0.23523022,-0.050091535,-0.23935713
512.25055,1.0094761,0.25933516,1.0921932,-0.7917006,-0.23525567,-0.050710432,-0.24053632
525.6204,1.0088366,0.26454353,1.0945947,-0.7927531,-0.23529573,-0.05132526,-0.2417113
539.217,1.0082098,0.26980636,1.0970107,-0.7938347,-0.2353497,-0.05193544,-0.24288093
553.03033,1.0075946,0.27515504,1.0994198,-0.79497796,-0.23544961,-0.052554533,-0.24403135
567.0632,1.0070049,0.28057998,1.1018281,-0.796147,-0.23556681,-0.053169914,-0.24517049
581.31824,1.0064371,0.28607643,1.1042383,-0.7973359,-0.23569378,-0.053778827,-0.24630086
595.79956,1.0058901,0.2916423,1.1066512,-0.7985438,-0.23583087,-0.054381393,-0.24742164
610.5094,1.0053617,0.29727435,1.1090686,-0.79977185,-0.23597845,-0.05497752,-0.24853377
625.45044,1.0048504,0.3029711,1.1114899,-0.80101925,-0.23613627,-0.055567145,-0.24963655
640.6257,1.0043554,0.3087309,1.1139153,-0.80228645,-0.23630458,-0.05614999,-0.25073045
656.03796,1.003876,0.31455126,1.1163458,-0.8035725,-0.23648332,-0.05672627,-0.2518155
671.69,1.00341,0.3204296,1.118781,-0.8048777,-0.23667285,-0.057296164,-0.25289088
687.5841,1.0029571,0.32636464,1.1212214,-0.80620134,-0.2368728,-0.0578589,-0.25395703
703.7149,1.002515,0.33237576,1.123664,-0.80754817,-0.23708476,-0.05841198,-0.2550103
720.07764,1.0020888,0.3384715,1.1261029,-0.8089135,-0.23730664,-0.058954254,-0.25604868
736.6758,1.0016844,0.34464166,1.1285355,-0.810289,-0.23753577,-0.05948837,-0.25707442
753.5074,1.0012633,0.35092658,1.1309682,-0.8116652,-0.23771185,-0.060033597,-0.25805193
770.5752,1.000858,0.35729522,1.1333942,-0.81304926,-0.23788442,-0.060573205,-0.25900954
