,foc_kplus,foc_lambd,kkt_mu_fb,foc_TATplus,foc_MATplus,foc_MUOplus,foc_MLOplus,foc_TOCplus
count,5.120e+03,5.120e+03,5.120e+03,5.120e+03,5.120e+03,5.120e+03,5.120e+03,5.120e+03
mean,2.389e-04,1.560e-04,4.341e-04,3.362e-04,1.438e-04,9.385e-05,6.851e-05,8.408e-05
std,1.475e-04,1.067e-04,7.270e-04,2.074e-04,1.165e-04,8.887e-05,5.017e-05,5.237e-05
min,2.980e-06,2.384e-07,0.000e+00,3.591e-06,1.431e-06,1.788e-07,3.278e-07,9.537e-07
0.1%,2.980e-06,2.384e-07,0.000e+00,3.591e-06,1.431e-06,1.788e-07,3.278e-07,9.537e-07
25%,1.225e-04,4.768e-05,0.000e+00,1.626e-04,5.585e-05,3.730e-05,3.781e-05,4.076e-05
50%,2.068e-04,1.614e-04,2.975e-05,3.233e-04,1.102e-04,7.555e-05,5.780e-05,7.537e-05
75%,3.627e-04,2.511e-04,5.019e-04,4.826e-04,2.104e-04,1.161e-04,8.702e-05,1.256e-04
99.9%,5.629e-04,5.689e-04,4.532e-03,9.878e-04,8.436e-04,7.862e-04,4.308e-04,2.224e-04
max,5.629e-04,5.689e-04,4.532e-03,9.878e-04,8.436e-04,7.862e-04,4.308e-04,2.224e-04
