kx,MATx,MUOx,MLOx,TATx,TOCx,taux
223.00183,853.0,569.0,843.0,1.1,0.27,0.0
228.29277,858.5966,571.75415,844.4329,1.1523091,0.27571872,0.014888048
234.0349,864.15826,574.57874,845.8935,1.1973343,0.28175843,0.029554427
240.19211,869.6959,577.4661,847.3825,1.2368791,0.28806674,0.044002473
246.73387,875.2188,580.4097,848.9006,1.2722974,0.29460406,0.058235407
253.63435,880.73444,583.4041,850.44824,1.304607,0.30134037,0.072256446
260.87152,886.24896,586.4448,852.02606,1.3345735,0.30825287,0.08606875
268.42688,891.7674,589.52814,853.6344,1.3627728,0.31532422,0.09967542
276.2844,897.29346,592.6507,855.2737,1.389639,0.32254115,0.11307949
284.42984,902.8297,595.8099,856.94415,1.4154989,0.32989344,0.126284
292.85413,908.37805,599.0031,858.6461,1.440598,0.33737326,0.13929194
301.5471,913.93976,602.2285,860.37976,1.4651214,0.3449745,0.15210623
310.4998,919.5154,605.48425,862.1453,1.4892082,0.3526923,0.16472971
319.70578,925.105,608.7686,863.94305,1.5129622,0.3605229,0.17716527
329.159,930.7084,612.0802,865.773,1.5364611,0.36846322,0.1894157
338.8555,936.3249,615.4177,867.6354,1.5597625,0.3765107,0.20148373
348.79138,941.9535,618.7797,869.5302,1.5829087,0.3846633,0.21337211
358.96396,947.593,622.1651,871.45764,1.6059307,0.3929192,0.22508347
369.3706,953.24194,625.5727,873.4178,1.6288501,0.40127686,0.23662049
380.00977,958.8987,629.0012,875.4107,1.6516824,0.40973485,0.24798572
390.8802,964.5613,632.4496,877.4363,1.6744373,0.41829187,0.25918174
401.98096,970.22797,635.9167,879.4946,1.6971208,0.4269467,0.2702111
413.31177,975.89667,639.40137,881.5858,1.7197359,0.4356982,0.28107625
424.8728,981.56525,642.90247,883.7098,1.7422833,0.44454524,0.29177964
436.6638,987.23157,646.4189,885.8665,1.7647622,0.45348665,0.3023237
448.68552,992.8933,649.94934,888.05597,1.7871698,0.46252134,0.31271076
460.93616,998.54834,653.4927,890.2781,1.809503,0.4716482,0.32294315
473.41153,1004.19415,657.0477,892.5328,1.8317575,0.48086601,0.33302325
486.11356,1009.8282,660.6132,894.81995,1.8539284,0.49017367,0.34295326
499.0372,1015.44763,664.1879,897.1396,1.8760108,0.49956995,0.35273546
512.1829,1021.0496,667.7703,899.49146,1.8979986,0.50905365,0.36237198
525.5527,1026.6316,671.3593,901.8754,1.9198849,0.5186235,0.37186503
539.14923,1032.1909,674.9534,904.2914,1.9416636,0.5282782,0.38121676
552.96246,1037.7245,678.5512,906.73914,1.9633286,0.5380164,0.39042926
566.99524,1043.2295,682.1513,909.21844,1.9848726,0.5478368,0.3995046
581.25037,1048.7031,685.75226,911.7292,2.0062885,0.55773795,0.40844482
595.7315,1054.1426,689.3526,914.27106,2.0275695,0.56771845,0.41725194
610.4412,1059.5454,692.95074,916.8438,2.0487092,0.5777768,0.42592794
625.38196,1064.9089,696.54517,919.44727,2.0697007,0.5879115,0.43447477
640.55707,1070.231,700.13446,922.081,2.0905375,0.598121,0.44289434
655.96924,1075.509,703.717,924.74475,2.1112137,0.60840374,0.45118856
671.62115,1080.741,707.2913,927.4381,2.1317236,0.6187581,0.4593593
687.51514,1085.9244,710.8559,930.16095,2.1520617,0.6291824,0.46740842
703.6456,1091.0569,714.40924,932.9127,2.1722224,0.639675,0.47533768
720.00836,1096.136,717.9499,935.6931,2.192201,0.6502343,0.48314893
736.6063,1101.159,721.4762,938.5016,2.2119918,0.66085845,0.49084383
753.43744,1106.1233,724.98676,941.33795,2.2315893,0.67154574,0.49842417
770.5052,1111.026,728.48004,944.2016,2.2509885,0.6822944,0.5058917
787.8126,1115.8651,731.9544,947.09204,2.2701836,0.6931027,0.513248
805.363,1120.6385,735.4084,950.0089,2.2891693,0.7039688,0.5204948
823.15967,1125.3441,738.8404,952.95166,2.3079412,0.71489084,0.5276337
841.20557,1129.9802,742.249,955.9198,2.3264947,0.725867,0.53466636
859.50323,1134.5441,745.63275,958.91284,2.344826,0.7368953,0.54159427
878.05566,1139.0323,748.9901,961.93024,2.36293,0.747974,0.54841906
896.865,1143.4438,752.3195,964.9713,2.380802,0.75910103,0.5551423
915.9346,1147.7769,755.6195,968.0356,2.3984373,0.7702746,0.5617654
935.26636,1152.0303,758.88873,971.1224,2.4158328,0.7814926,0.5682899
954.86285,1156.2025,762.12573,974.2312,2.4329848,0.7927532,0.5747172
974.7272,1160.291,765.32916,977.3614,2.4498906,0.80405444,0.58104885
994.8625,1164.2932,768.49756,980.5122,2.4665468,0.8153942,0.58728623
1015.27057,1168.208,771.62964,983.6831,2.4829493,0.82677066,0.59343076
1035.9385,1172.0333,774.724,986.8734,2.499095,0.83818173,0.59948385
1056.8539,1175.7666,777.77936,990.0824,2.5149806,0.8496254,0.60544676
1078.0242,1179.4061,780.7943,993.3094,2.5306022,0.8610997,0.6113209
1099.4677,1182.9501,783.7675,996.5536,2.5459561,0.8726026,0.6171076
1121.172,1186.3936,786.6976,999.8144,2.5610387,0.88413197,0.62280816
1143.1476,1189.7303,789.58307,1003.091,2.5758452,0.89568585,0.6284238
1165.3912,1192.9589,792.42236,1006.3827,2.590367,0.90726215,0.63395584
1187.9056,1196.0785,795.2137,1009.6887,2.6045976,0.91885877,0.6394055
1210.6935,1199.0879,797.9557,1013.00824,2.618532,0.9304735,0.6447741
1233.7401,1201.9851,800.6468,1016.3405,2.6321661,0.9421042,0.65006274
1257.0541,1204.768,803.28546,1019.6846,2.645496,0.95374876,0.65527266
1280.647,1207.4292,805.8704,1023.0397,2.6585171,0.9654049,0.66040504
1304.5139,1209.9662,808.3998,1026.4052,2.671222,0.97707045,0.665461
1328.6536,1212.3788,810.8719,1029.7798,2.683603,0.9887431,0.6704416
1353.0713,1214.6676,813.28516,1033.163,2.6956556,1.0004207,0.6753481
1377.7697,1216.8337,815.63824,1036.5537,2.7073765,1.0121008,0.6801815
1402.7499,1218.878,817.92975,1039.9512,2.718764,1.0237813,0.68494296
1428.0033,1220.8009,820.1586,1043.3544,2.7298183,1.0354598,0.6896336
1453.529,1222.6025,822.324,1046.7625,2.7405393,1.0471339,0.6942544
1479.3097,1224.2823,824.4248,1050.1744,2.7509277,1.0588015,0.6988064
1505.3495,1225.8408,826.4603,1053.5894,2.760984,1.0704603,0.70329064
1531.6558,1227.2783,828.42957,1057.0062,2.770708,1.082108,0.7077081
1558.2325,1228.5958,830.33203,1060.4242,2.7801008,1.0937425,0.71205986
1585.0688,1229.7932,832.16705,1063.8423,2.7891634,1.1053615,0.71634674
1612.1569,1230.8705,833.934,1067.2594,2.797897,1.1169629,0.72056985
1639.5038,1231.8284,835.63257,1070.6748,2.8063028,1.1285446,0.7247301
1667.1141,1232.6677,837.2621,1074.0874,2.814381,1.1401043,0.7288283
1694.9954,1233.3899,838.8224,1077.4965,2.8221328,1.15164,0.7328656
1723.1459,1233.9958,840.31305,1080.9006,2.8295608,1.1631497,0.7368427
1751.5669,1234.4867,841.7341,1084.2994,2.836666,1.1746312,0.74076056
1780.2627,1234.8644,843.085,1087.6917,2.843451,1.1860826,0.7446202
1809.2405,1235.1304,844.3662,1091.0765,2.8499186,1.1975019,0.7484224
1838.5032,1235.2869,845.5774,1094.4529,2.8560715,1.2088871,0.75216794
