kplusy,lambd_haty,nuAT_haty,nuUO_haty,nuLO_haty,etaAT_haty,etaOC_haty
228.387,0.9816938,0.8846606,-0.6419882,-0.17189074,-0.03658652,-0.2373897
234.13199,0.9887859,0.8826203,-0.63910836,-0.17069913,-0.037433106,-0.23775733
240.2851,0.9947395,0.88097054,-0.6365234,-0.16959839,-0.038068246,-0.23817474
246.83424,0.99970776,0.87956166,-0.63411194,-0.1686131,-0.038612176,-0.23872788
253.76987,1.003819,0.8782824,-0.6319379,-0.1676994,-0.039256845,-0.23929794
261.05283,1.0071858,0.87706506,-0.63000196,-0.16684553,-0.03982911,-0.23994714
268.66116,1.0097835,0.8760782,-0.6282682,-0.16604096,-0.040404547,-0.24065198
276.5828,1.0117891,0.87530816,-0.6266925,-0.16531861,-0.040938627,-0.2414041
284.8081,1.013338,0.87471604,-0.62524444,-0.16466145,-0.041442435,-0.24225552
293.3259,1.0144143,0.87425286,-0.6240117,-0.1640609,-0.041962665,-0.24315487
302.12253,1.0151782,0.8739091,-0.62292844,-0.16348404,-0.04251012,-0.2440725
311.18817,1.015718,0.87370247,-0.6219769,-0.16299856,-0.04304721,-0.24503951
320.5148,1.0159497,0.8737097,-0.62119395,-0.1625734,-0.043556843,-0.24609794
330.09915,1.0159376,0.87379164,-0.6205153,-0.16216119,-0.044077743,-0.24721037
339.92972,1.0157752,0.87393135,-0.619962,-0.16178246,-0.0446059,-0.24836145
349.99295,1.0154433,0.8742287,-0.6194841,-0.1614585,-0.04508641,-0.24953529
360.29138,1.0149963,0.87465435,-0.6190976,-0.16116363,-0.0455751,-0.250722
370.82687,1.0144894,0.87529165,-0.61887354,-0.16086724,-0.046069775,-0.2519126
381.5899,1.0138923,0.87608695,-0.6187162,-0.16061167,-0.04655728,-0.25320938
392.57346,1.0131578,0.87692803,-0.61861306,-0.1603609,-0.04709785,-0.2545035
403.76483,1.012528,0.87782496,-0.61854416,-0.16018485,-0.047662634,-0.25588262
415.1796,1.0118423,0.87878656,-0.6185786,-0.1600666,-0.04822434,-0.25730288
426.82687,1.0111164,0.8798616,-0.6187182,-0.15998365,-0.048790943,-0.2587161
438.69583,1.0103663,0.8809692,-0.61887544,-0.15989101,-0.049331147,-0.26012698
450.77502,1.009588,0.88210434,-0.61909986,-0.1598265,-0.04990581,-0.26159868
463.06522,1.008824,0.8832836,-0.61943865,-0.15978868,-0.050535936,-0.26310197
475.57394,1.0080789,0.8844584,-0.61981404,-0.15976042,-0.05117135,-0.2646058
488.31244,1.007324,0.8856064,-0.62020653,-0.1598265,-0.05177288,-0.26604223
501.2672,1.0065829,0.8868117,-0.6206306,-0.15986583,-0.05232579,-0.2675782
514.43353,1.0058588,0.88804865,-0.6210856,-0.15989622,-0.052828293,-0.26912817
527.8036,1.0050842,0.8893746,-0.62165225,-0.15997848,-0.053384256,-0.27071598
541.3713,1.0042728,0.8907751,-0.6223173,-0.1600471,-0.0539356,-0.27235422
555.14075,1.003514,0.8921807,-0.62299544,-0.16011943,-0.05448517,-0.2739935
569.12573,1.0028161,0.89361507,-0.62370694,-0.16018121,-0.055047076,-0.27563444
583.32855,1.0021447,0.8951183,-0.6244452,-0.16030632,-0.055589292,-0.27725974
597.7429,1.0014992,0.8966593,-0.625227,-0.1604629,-0.056150373,-0.27891725
612.37506,1.0008963,0.8982403,-0.6260184,-0.16060619,-0.056729022,-0.280593
627.22217,1.0003135,0.8998656,-0.6267887,-0.16074143,-0.057260092,-0.28226152
642.2907,0.9997144,0.9015196,-0.6275957,-0.16090904,-0.05781137,-0.28393614
657.5778,0.9992146,0.90323526,-0.62848485,-0.16112621,-0.058363717,-0.28562972
673.09503,0.99873734,0.90498954,-0.62942874,-0.16133569,-0.058924507,-0.2873573
688.8466,0.99826515,0.90674305,-0.63038343,-0.16158628,-0.059510347,-0.28910324
704.8329,0.9978105,0.908504,-0.6313501,-0.16185392,-0.06009416,-0.2908589
721.0388,0.99732345,0.91029376,-0.63234854,-0.16208456,-0.060671505,-0.2925976
