foc_kplus,foc_lambd,foc_TATplus,foc_MATplus,foc_MUOplus,foc_MLOplus,foc_TOCplus
6.592e-05,1.264e-05,3.073e-05,1.532e-04,1.192e-05,5.081e-06,1.982e-06
3.600e-05,3.076e-05,7.413e-05,3.856e-05,2.998e-05,6.095e-06,2.719e-05
8.821e-06,6.366e-05,7.288e-05,2.527e-05,2.491e-05,2.329e-05,2.930e-05
4.947e-05,2.384e-05,6.539e-05,7.629e-06,5.305e-06,1.505e-05,1.693e-05
7.844e-05,1.342e-04,2.855e-05,1.018e-04,1.913e-05,9.239e-07,3.517e-06
2.635e-05,3.576e-05,4.989e-05,2.742e-05,2.319e-05,1.819e-05,8.881e-06
4.256e-05,3.338e-05,2.554e-05,1.109e-05,6.557e-07,3.874e-07,2.240e-05
3.219e-06,4.292e-05,1.274e-05,3.755e-06,3.695e-05,4.292e-06,1.590e-05
5.639e-05,3.147e-05,3.568e-05,3.660e-05,1.746e-05,4.515e-06,7.719e-06
1.097e-05,2.742e-05,5.835e-05,4.536e-05,1.395e-05,2.405e-05,2.380e-05
6.759e-05,3.004e-05,4.407e-05,3.529e-05,3.040e-06,1.740e-05,2.216e-05
1.049e-05,1.335e-05,1.802e-05,3.493e-05,3.904e-05,3.052e-05,2.012e-05
2.348e-05,1.836e-05,2.626e-05,1.514e-05,1.711e-05,2.831e-07,2.825e-05
1.073e-06,3.672e-05,2.846e-05,6.402e-05,1.854e-05,7.942e-06,2.396e-05
2.694e-05,3.290e-05,1.191e-05,4.804e-05,1.669e-05,7.644e-06,1.609e-06
2.265e-05,1.502e-05,1.147e-06,5.287e-05,2.742e-05,2.533e-07,2.772e-05
1.407e-05,4.768e-07,1.121e-05,2.986e-05,3.904e-05,3.549e-05,6.276e-05
1.073e-06,3.958e-05,1.100e-05,5.060e-05,2.140e-05,2.697e-05,3.755e-06
8.309e-05,4.172e-05,5.658e-05,2.503e-06,2.921e-06,5.212e-05,3.096e-05
7.200e-05,7.248e-05,6.973e-05,1.603e-05,4.029e-05,7.138e-06,2.450e-05
5.305e-05,6.723e-05,5.693e-05,2.176e-05,6.437e-06,2.202e-05,3.675e-05
3.862e-05,6.104e-05,5.125e-05,2.617e-05,3.290e-05,2.992e-05,3.308e-06
2.813e-05,2.241e-05,2.210e-05,2.271e-05,9.120e-06,5.156e-06,2.602e-05
5.603e-06,4.601e-05,4.551e-05,4.715e-05,6.557e-07,1.520e-06,1.132e-05
2.193e-05,1.359e-05,7.628e-05,9.537e-06,5.287e-05,2.414e-06,2.566e-05
3.779e-05,1.884e-05,5.629e-05,1.132e-05,3.010e-05,9.805e-06,1.132e-05
1.967e-05,6.437e-06,6.210e-06,5.221e-05,9.775e-06,6.190e-05,7.123e-05
1.931e-05,7.749e-05,4.427e-05,4.244e-05,3.064e-05,1.448e-05,7.153e-06
1.860e-05,7.343e-05,8.235e-05,8.988e-05,4.923e-05,1.372e-05,3.844e-06
5.329e-05,4.125e-05,3.046e-05,4.160e-05,1.287e-05,1.937e-05,1.466e-05
1.103e-04,1.335e-05,3.554e-05,8.523e-06,6.080e-05,1.122e-05,4.503e-05
7.451e-05,9.060e-06,3.657e-05,4.387e-05,2.581e-05,2.357e-05,2.712e-05
2.956e-05,2.861e-05,2.558e-05,4.560e-05,1.335e-05,4.871e-05,1.216e-05
2.110e-05,2.384e-06,4.093e-05,2.229e-05,2.980e-07,6.855e-07,2.053e-05
1.395e-05,2.503e-05,2.214e-05,1.699e-05,4.649e-06,1.580e-05,3.427e-06
1.013e-05,1.192e-05,8.535e-06,2.384e-07,2.021e-05,1.134e-05,2.205e-06
1.085e-05,1.359e-05,4.720e-05,1.299e-05,6.884e-05,3.260e-05,2.137e-05
2.635e-05,4.292e-06,2.338e-05,2.706e-05,5.794e-05,1.320e-05,2.870e-05
5.484e-05,3.290e-05,1.765e-05,6.318e-06,2.563e-06,2.334e-05,2.262e-05
5.734e-05,6.199e-06,6.136e-06,1.311e-06,2.539e-05,3.651e-06,8.047e-07
4.065e-05,4.768e-07,1.545e-05,1.830e-05,1.097e-05,3.245e-05,8.315e-06
3.493e-05,2.432e-05,1.077e-05,2.754e-05,5.364e-07,3.736e-05,8.911e-06
2.325e-05,4.387e-05,2.898e-06,1.842e-05,8.285e-06,1.021e-05,1.633e-05
1.152e-04,3.195e-05,7.449e-05,4.387e-05,1.091e-05,1.574e-05,2.256e-05
2.229e-05,4.768e-06,2.241e-05,1.192e-05,3.576e-07,7.391e-06,3.138e-05
2.253e-05,2.980e-05,3.216e-05,1.639e-05,1.496e-05,1.121e-05,2.551e-05
1.991e-05,1.502e-05,3.572e-05,2.247e-05,4.351e-06,4.992e-06,3.049e-05
2.229e-05,1.049e-05,3.643e-05,1.574e-05,3.868e-05,1.429e-05,3.645e-05
4.685e-05,2.384e-06,4.810e-05,1.723e-05,4.292e-06,8.047e-06,4.441e-06
