,foc_kplus,foc_lambd,foc_TATplus,foc_MATplus,foc_MUOplus,foc_MLOplus,foc_TOCplus
count,5.120e+03,5.120e+03,5.120e+03,5.120e+03,5.120e+03,5.120e+03,5.120e+03
mean,2.709e-05,2.792e-05,2.867e-05,2.240e-05,2.154e-05,1.392e-05,1.602e-05
std,2.277e-05,2.168e-05,1.927e-05,1.824e-05,1.461e-05,1.042e-05,1.198e-05
min,1.192e-07,0.000e+00,5.364e-07,0.000e+00,2.980e-07,2.980e-08,1.490e-07
0.1%,1.192e-07,0.000e+00,5.364e-07,0.000e+00,2.980e-07,2.980e-08,1.490e-07
25%,1.040e-05,1.192e-05,1.315e-05,9.269e-06,1.097e-05,5.409e-06,6.974e-06
50%,2.062e-05,2.372e-05,2.405e-05,1.740e-05,1.809e-05,1.230e-05,1.448e-05
75%,3.770e-05,3.850e-05,4.104e-05,3.271e-05,2.946e-05,2.069e-05,2.239e-05
99.9%,1.231e-04,1.342e-04,8.954e-05,1.532e-04,7.904e-05,6.190e-05,7.123e-05
max,1.231e-04,1.342e-04,8.954e-05,1.532e-04,7.904e-05,6.190e-05,7.123e-05
