con,Omega,Theta,ygross,ynet,inv,Eind,carbontax,Abatement,Dam,Emissions
72.718956,0.0028556,0.07410616,105.17594,104.8756,24.384722,0.0,550.0,7.794185,0.3003404,2.6000004
74.59484,0.0031232077,0.072623625,108.24248,107.90442,25.473173,0.0,547.25684,7.860962,0.33806375,2.5408828
76.6829,0.00330445,0.071169734,111.453316,111.08502,26.496237,0.0,544.5275,7.932103,0.3682919,2.4831097
78.94037,0.0034198603,0.06974379,114.81103,114.41838,27.498041,0.0,541.8116,8.007357,0.3926377,2.4266498
81.332466,0.0034869593,0.068345435,118.309975,117.89744,28.507217,0.0,539.1093,8.085947,0.41254207,2.371474
83.84497,0.0035197067,0.06697402,121.94187,121.512665,29.529509,0.0,536.4205,8.166937,0.4291996,2.3175528
86.479614,0.0035287633,0.065629184,125.70165,125.25807,30.55787,0.0,533.7451,8.249697,0.44357136,2.2648573
89.227486,0.0035220315,0.06431042,129.58424,129.12784,31.59608,0.0,531.08307,8.333616,0.45639974,2.21336
92.08033,0.0035052337,0.06301711,133.58484,133.1166,32.647625,0.0,528.4342,8.41813,0.46824604,2.1630335
95.0301,0.0034824284,0.061748803,137.70001,137.22049,33.71721,0.0,525.79865,8.502811,0.47953048,2.1138515
98.07368,0.0034564391,0.060505264,141.92941,141.43883,34.80736,0.0,523.1762,8.587476,0.49057034,2.065788
101.20619,0.0034291833,0.059285693,146.27074,145.76915,35.92093,0.0,520.5669,8.671762,0.5015891,2.018817
104.425,0.0034019283,0.058089968,150.72298,150.21024,37.059525,0.0,517.9706,8.755493,0.5127488,1.9729145
107.72801,0.0033754783,0.056917313,155.285,154.76085,38.22425,0.0,515.3871,8.838404,0.5241611,1.9280552
111.11416,0.0033503124,0.055767637,159.95538,159.4195,39.414883,0.0,512.81665,8.920335,0.53590053,1.8842158
114.58203,0.00332669,0.05464019,164.73381,164.18579,40.632607,0.0,510.25897,9.001086,0.54801834,1.8413734
118.13059,0.003304716,0.053534854,169.61903,169.05849,41.877373,0.0,507.71402,9.08053,0.56054276,1.799505
121.76089,0.003284398,0.052450925,174.60988,174.03639,43.147156,0.0,505.18176,9.158449,0.57348835,1.7585889
125.469055,0.0032656798,0.051388297,179.70401,179.11717,44.443584,0.0,502.66214,9.234684,0.58685577,1.718603
129.25468,0.0032484683,0.050346285,184.90074,184.3001,45.7666,0.0,500.15515,9.309065,0.60064423,1.6795262
133.11752,0.0032326488,0.04932468,190.19948,189.58463,47.11591,0.0,497.66055,9.38153,0.61484814,1.641338
137.05728,0.0032181,0.04832311,195.59961,194.97014,48.491306,0.0,495.1785,9.451982,0.6294591,1.604018
141.07397,0.0032046977,0.0473411,201.10095,200.45648,49.892666,0.0,492.70874,9.52034,0.6444678,1.5675465
