kplusy,lambd_haty
225.12535,1.0704352
227.92732,1.0887175
231.4697,1.1027691
235.68245,1.1136516
240.48582,1.1222396
245.82846,1.1289606
251.66228,1.1339147
257.94553,1.1374053
264.6472,1.1397016
271.7571,1.1410494
279.2555,1.1415887
287.13007,1.1414768
295.36932,1.1408215
303.96194,1.1397119
312.9009,1.1382118
322.17645,1.1363871
331.7783,1.1342901
341.68945,1.1319411
351.90295,1.1294222
362.41293,1.1267638
373.21402,1.1239913
384.3016,1.1211264
395.67218,1.118188
407.3221,1.115191
419.24426,1.1121237
431.4357,1.1090244
443.89542,1.1059086
456.62314,1.1027828
469.61868,1.0996532
482.8818,1.0965235
496.41315,1.0933985
510.21304,1.0902805
524.2827,1.0871731
538.62164,1.0840783
553.2173,1.0809953
568.0684,1.0779423
583.17737,1.0749226
598.54614,1.0719354
614.17096,1.0689824
630.0448,1.066069
646.171,1.0631994
662.54333,1.0603734
679.15857,1.0575967
696.0192,1.0548728
713.126,1.0522058
730.48047,1.0495868
748.0766,1.0470169
765.91864,1.0444962
784.0108,1.0420213
802.3541,1.0395975
820.95245,1.0372181
839.8028,1.0349054
858.9047,1.0326539
878.26184,1.0304487
897.8762,1.0282921
917.7503,1.026185
937.88464,1.0241326
958.2824,1.0221229
978.9481,1.020153
999.8833,1.0182474
1021.0913,1.0163708
1042.5753,1.0145214
1064.3385,1.0127097
1086.3861,1.0109499
1108.7195,1.0092232
1131.3381,1.0075285
1154.2415,1.00586
1177.4325,1.004214
1200.92,1.0026528
1224.7074,1.0011209
1248.7948,0.9996058
1273.1865,0.9981227
1297.884,0.99669176
1322.8904,0.99527556
1348.2052,0.99387395
1373.8297,0.9924861
1399.7678,0.9911283
1426.0198,0.98978394
1452.587,0.9884536
1479.4562,0.98715687
1506.6288,0.98588055
1534.1057,0.9846213
1561.8885,0.9833787
1589.9777,0.9821512
1618.3732,0.98094016
1647.0762,0.9797451
1676.0898,0.97856605
1705.4142,0.97740215
1735.0533,0.97625333
1765.0074,0.9751188
1795.2787,0.9739982
1825.8683,0.9728908
1856.7722,0.97180074
1887.9843,0.9707325
1919.5009,0.9696841
1951.326,0.968652
1983.451,0.9676497
2015.879,0.96666473
2048.6125,0.96569544
2081.6523,0.9647417
2115.004,0.96382314
2148.667,0.9629181
2182.6448,0.96202606
2216.939,0.96114635
2251.5508,0.96027863
2286.481,0.9594227
2321.733,0.95857793
2357.304,0.95774436
2393.198,0.95692134
2429.415,0.956109
2465.9558,0.9553069
2502.8215,0.9545145
2540.0093,0.95373195
2577.5242,0.952959
2615.364,0.9521958
2653.5298,0.95144176
2692.022,0.9506969
2730.84,0.9499609
2769.986,0.9492341
2809.4568,0.9485159
2849.2563,0.94780624
2889.3818,0.9471048
2929.8354,0.946412
2970.6165,0.9457271
3011.7236,0.9450504
3053.1577,0.94438165
3094.9172,0.94372106
3137.0063,0.94306815
3179.42,0.94242245
3222.1592,0.941785
3265.2234,0.94115466
3308.6135,0.94053215
3352.3298,0.93991643
3396.3696,0.9393079
3440.7356,0.9387069
3485.4236,0.93811274
3530.4355,0.9375253
3575.771,0.93694496
3621.428,0.9363711
3667.4106,0.93580395
3713.7134,0.9352432
3760.3354,0.93468934
3807.2788,0.93414176
3854.5417,0.93360025
3902.123,0.9330652
3950.0242,0.9325363
3998.24,0.9320134
4046.7734,0.9314968
4095.6216,0.93098587
4144.7896,0.9304807
4194.271,0.9299816
4244.0635,0.929488
4294.1694,0.929
4344.584,0.92851764
4395.3105,0.92804104
4446.345,0.92756975
4497.6904,0.92710364
4549.344,0.92664313
4601.3013,0.9261878
4653.5674,0.9257373
4706.1367,0.9252921
4759.009,0.92485195
4812.186,0.92441684
4865.661,0.92398643
4919.436,0.9235611
4973.5093,0.9231404
5027.88,0.9227246
5082.5493,0.92231303
5137.5107,0.9219065
5192.7666,0.9215046
5248.316,0.9211068
5304.153,0.9207135
5360.2803,0.92032504
5416.695,0.91994053
5473.399,0.9195607
5530.3833,0.9191844
5587.6562,0.918813
5645.2183,0.9184457
5703.069,0.91808206
5761.2104,0.9177218
5819.6377,0.91736513
5878.3438,0.91701156
5937.3335,0.91666144
5996.597,0.91631466
6056.1416,0.9159714
6115.9604,0.9156319
6176.0503,0.9152956
6236.4062,0.9149626
6297.0273,0.9146335
6357.916,0.9143077
6419.0684,0.91398513
6480.476,0.91366625
6542.143,0.91335076
6604.0664,0.9130389
6666.246,0.9127303
6728.6816,0.9124246
6791.3613,0.91212255
6854.2964,0.9118238
6917.481,0.91152805
6980.903,0.91123545
7044.573,0.9109462
7108.4863,0.9106596
7172.639,0.9103765
7237.0273,0.9100962
7301.651,0.90981907
7366.5034,0.90954477
7431.5874,0.90927386
7496.906,0.90900505
7562.4473,0.90873957
7628.2207,0.90847707
7694.2163,0.9082169
7760.4326,0.9079598
7826.864,0.90770537
7893.511,0.9074537
7960.3745,0.90720487
8027.454,0.90695846
8094.744,0.9067147
8162.2393,0.90647334
8229.945,0.9062346
8297.853,0.9059983
8365.965,0.90576464
8434.285,0.9055332
8502.797,0.90530425
8571.502,0.90507764
8640.398,0.9048538
8709.488,0.90463185
8778.768,0.9044124
8848.241,0.9041952
8917.888,0.9039801
8987.728,0.9037673
9057.741,0.90355676
9127.934,0.9033483
9198.302,0.9031421
9268.845,0.902938
9339.559,0.90273595
9410.447,0.90253586
9481.498,0.902338
9552.716,0.90214205
9624.102,0.9019482
9695.652,0.9017561
9767.351,0.901566
9839.21,0.90137774
9911.215,0.9011916
9983.381,0.9010074
10055.696,0.90082467
10128.15,0.9006442
10200.759,0.90046537
10273.51,0.9002882
10346.402,0.90011287
10419.428,0.89993906
10492.584,0.89976734
10565.877,0.8995975
10639.305,0.8994291
10712.869,0.8992623
10786.557,0.89909714
10860.363,0.8989327
