kx,MATx,MUOx,MLOx,TATx,TOCx,taux
223.00183,851.0,983.0,1377.0,1.1,0.27,0.0
225.04439,845.4749,987.276,1378.9583,1.1503882,0.27571872,0.014888048
227.84912,840.616,990.8355,1380.9507,1.1832966,0.2817452,0.029554427
231.39386,836.3295,993.78076,1382.9692,1.2037829,0.2879569,0.044002473
235.60864,832.53455,996.19965,1385.0072,1.2155349,0.29426694,0.058235407
240.41376,829.1622,998.16766,1387.0583,1.2212293,0.30061448,0.072256446
245.7578,826.1529,999.7494,1389.1179,1.2227995,0.3069575,0.08606875
251.59296,823.456,1001.0003,1391.1819,1.2216326,0.31326768,0.09967542
257.87723,821.0277,1001.9679,1393.2461,1.2187159,0.3195263,0.11307949
264.57977,818.83075,1002.6932,1395.3077,1.2147449,0.32572174,0.126284
271.6906,816.833,1003.211,1397.3643,1.2102036,0.3318471,0.13929194
279.18958,815.00696,1003.5515,1399.4133,1.2054226,0.33789897,0.15210623
287.06482,813.32904,1003.7403,1401.4531,1.2006228,0.3438762,0.16472971
295.3047,811.77905,1003.79956,1403.482,1.1959462,0.3497792,0.17716527
303.8975,810.3396,1003.7484,1405.4987,1.1914797,0.35560927,0.1894157
312.83688,808.9957,1003.60297,1407.502,1.1872718,0.36136842,0.20148373
322.11267,807.7348,1003.3773,1409.4908,1.1833441,0.3670589,0.21337211
331.71475,806.5457,1003.0834,1411.4647,1.1797009,0.3726831,0.22508347
341.62604,805.4193,1002.7313,1413.4229,1.1763344,0.37824345,0.23662049
351.8397,804.3474,1002.3302,1415.3646,1.1732304,0.3837423,0.24798572
362.34985,803.3231,1001.8876,1417.2897,1.1703702,0.38918188,0.25918174
373.1508,802.34045,1001.4099,1419.1975,1.1677336,0.39456427,0.2702111
384.23865,801.3945,1000.9028,1421.0883,1.1652994,0.3998914,0.28107625
395.60913,800.4807,1000.371,1422.9612,1.1630472,0.40516508,0.29177964
407.2589,799.59546,999.8186,1424.8167,1.1609576,0.4103869,0.3023237
419.18112,798.73553,999.24927,1426.654,1.1590123,0.4155583,0.31271076
431.37234,797.8982,998.6661,1428.4738,1.1571949,0.4206807,0.32294315
443.83215,797.08093,998.07153,1430.2754,1.1554903,0.4257553,0.33302325
456.55984,796.28186,997.4679,1432.0593,1.1538851,0.43078315,0.34295326
469.55524,795.49927,996.85706,1433.8252,1.1523672,0.43576533,0.35273546
482.81808,794.73157,996.2407,1435.5731,1.1509262,0.4407027,0.36237198
496.34912,793.9775,995.6203,1437.3033,1.1495528,0.44559616,0.37186503
510.14896,793.23596,994.9971,1439.0156,1.1482388,0.45044643,0.38121676
524.2183,792.50604,994.372,1440.7103,1.1469771,0.45525423,0.39042926
538.55707,791.78687,993.74603,1442.3873,1.1457614,0.46002018,0.3995046
553.1527,791.07776,993.11993,1444.047,1.1445864,0.46474496,0.40844482
568.00354,790.3781,992.49445,1445.6892,1.1434475,0.46942908,0.41725194
583.11224,789.6873,991.87006,1447.3142,1.1423407,0.47407305,0.42592794
598.48065,789.0051,991.2473,1448.922,1.141262,0.47867742,0.43447477
614.1053,788.3309,990.6266,1450.513,1.1402092,0.48324263,0.44289434
629.9788,787.66437,990.0083,1452.0869,1.139179,0.48776913,0.45118856
646.1048,787.0053,989.39276,1453.6442,1.1381695,0.49225733,0.4593593
662.47687,786.3534,988.7803,1455.1848,1.1371788,0.49670765,0.46740842
679.09174,785.7085,988.17096,1456.7089,1.1362053,0.5011205,0.47533768
695.9523,785.0704,987.5652,1458.2167,1.1352476,0.50549626,0.48314893
713.0587,784.4387,986.96295,1459.7084,1.1343043,0.50983524,0.49084383
730.41266,783.8136,986.3645,1461.184,1.1333747,0.51413786,0.49842417
748.00867,783.19476,985.76984,1462.6436,1.1324579,0.5184044,0.5058917
765.8505,782.5821,985.1792,1464.0874,1.1315527,0.5226353,0.513248
783.9421,781.9755,984.5926,1465.5156,1.1306589,0.52683073,0.5204948
802.28546,781.3749,984.0102,1466.9283,1.1297758,0.53099114,0.5276337
820.88324,780.78015,983.43207,1468.3258,1.128903,0.5351168,0.53466636
839.733,780.19116,982.8581,1469.7081,1.1280402,0.539208,0.54159427
858.8347,779.608,982.2886,1471.0753,1.1271868,0.54326504,0.54841906
878.1915,779.0304,981.72345,1472.4276,1.1263428,0.54728824,0.5551423
897.80585,778.45844,981.1626,1473.7653,1.1255077,0.55127794,0.5617654
917.6792,777.892,980.6062,1475.0881,1.1246816,0.5552344,0.5682899
937.8132,777.3312,980.0542,1476.3967,1.1238642,0.55915785,0.5747172
958.21094,776.7757,979.50665,1477.6908,1.1230555,0.56304866,0.58104885
978.87616,776.22565,978.9636,1478.9708,1.122255,0.5669071,0.58728623
999.81085,775.6809,978.42505,1480.2367,1.1214628,0.5707334,0.59343076
1021.0187,775.1414,977.8909,1481.4885,1.1206789,0.574528,0.59948385
1042.5022,774.6072,977.3613,1482.7267,1.1199031,0.57829094,0.60544676
1064.265,774.07825,976.8361,1483.9512,1.1191354,0.58202267,0.6113209
1086.3119,773.5545,976.31537,1485.1622,1.1183758,0.5857234,0.6171076
1108.6454,773.0358,975.7991,1486.3599,1.1176242,0.5893934,0.62280816
1131.2633,772.5223,975.28723,1487.5442,1.1168807,0.5930329,0.6284238
1154.1663,772.0138,974.7799,1488.7155,1.1161449,0.5966422,0.63395584
1177.3566,771.5103,974.277,1489.8738,1.1154172,0.6002216,0.6394055
1200.8439,771.0118,973.7785,1491.0193,1.1146973,0.60377127,0.6447741
1224.6307,770.5182,973.28436,1492.152,1.1139852,0.6072916,0.65006274
1248.7188,770.0294,972.7947,1493.2721,1.113281,0.6107827,0.65527266
1273.1091,769.5456,972.3093,1494.3798,1.1125846,0.6142449,0.66040504
1297.8068,769.0666,971.8284,1495.4752,1.1118959,0.61767846,0.665461
1322.8118,768.59235,971.3518,1496.5583,1.111215,0.6210836,0.6704416
1348.1265,768.1229,970.87946,1497.6293,1.1105419,0.62446064,0.6753481
1373.7506,767.65814,970.41144,1498.6884,1.1098766,0.62780976,0.6801815
1399.6881,767.198,969.9477,1499.7356,1.109219,0.63113123,0.68494296
1425.9397,766.7427,969.4882,1500.7711,1.1085689,0.6344253,0.6896336
1452.5066,766.2918,969.033,1501.7952,1.1079265,0.63769215,0.6942544
1479.3759,765.8455,968.58203,1502.8076,1.1072917,0.6409321,0.6988064
1506.5472,765.4039,968.13525,1503.8087,1.1066645,0.6441453,0.70329064
1534.0237,764.9666,967.6927,1504.7987,1.1060451,0.6473321,0.7077081
1561.8066,764.5339,967.25415,1505.7775,1.1054331,0.6504926,0.71205986
1589.8953,764.1055,966.8199,1506.7454,1.1048287,0.65362716,0.71634674
1618.2899,763.6816,966.38965,1507.7023,1.1042318,0.65673596,0.72056985
1646.9926,763.2619,965.9635,1508.6484,1.1036425,0.6598192,0.7247301
1676.0049,762.8466,965.54144,1509.5839,1.1030604,0.66287714,0.7288283
1705.3298,762.43567,965.12335,1510.5088,1.1024858,0.66591,0.7328656
1734.968,762.02893,964.70935,1511.4232,1.1019186,0.668918,0.7368427
1764.9215,761.62634,964.29926,1512.3273,1.1013588,0.6719014,0.74076056
1795.1921,761.22797,963.89325,1513.2213,1.1008064,0.67486036,0.7446202
1825.7817,760.83374,963.4911,1514.105,1.1002612,0.6777951,0.7484224
1856.6854,760.4436,963.0928,1514.9788,1.0997233,0.6807059,0.75216794
1887.8958,760.05756,962.6985,1515.8427,1.0991929,0.6835929,0.7558577
1919.412,759.6755,962.308,1516.6968,1.0986694,0.6864564,0.7594925
1951.237,759.2975,961.9213,1517.5411,1.0981529,0.68929654,0.76307327
