con,Omega,ygross,ynet,inv,Eind,scc,Dam,Emissions
77.50204,0.0028556,105.17594,104.8756,27.373573,36.845238,16.122131,0.3003404,39.445236
79.811386,0.0031388626,108.631905,108.290924,28.479536,37.48154,16.41986,0.3409806,40.022423
82.278435,0.0033771566,112.23461,111.855576,29.57714,38.13956,16.784212,0.37903386,40.62267
84.882355,0.0035807642,115.973656,115.55838,30.676027,38.814133,17.201462,0.41527432,41.240784
87.610054,0.0037584486,119.838036,119.38763,31.777573,39.500328,17.668064,0.45040512,41.871807
90.45068,0.0039173244,123.82043,123.33538,32.884693,40.194504,18.178207,0.48504475,42.51205
93.39492,0.0040629953,127.914444,127.39472,33.9998,40.893665,18.72694,0.5197158,43.158524
96.43519,0.004199784,132.11473,131.55988,35.124687,41.595222,19.31022,0.55485326,43.808582
99.56507,0.0043309745,136.41667,135.82585,36.26078,42.29688,19.924656,0.59081715,44.459915
102.779366,0.004459038,140.81653,140.18861,37.40926,42.99679,20.567533,0.6279062,45.110645
106.073944,0.004585802,145.31125,144.64488,38.570942,43.69359,21.23664,0.6663686,45.75938
109.44523,0.0047126166,149.89836,149.19194,39.746708,44.38575,21.930244,0.70641357,46.404568
112.89064,0.0048404615,154.57605,153.82784,40.93719,45.07249,22.646748,0.74821943,47.045406
116.407875,0.0049700406,159.34283,158.55089,42.143013,45.752697,23.385,0.79194033,47.68075
119.995255,0.0051018503,164.19756,163.35983,43.364582,46.425877,24.144178,0.83771133,48.310097
123.65145,0.005236235,169.13956,168.2539,44.602448,47.091236,24.923557,0.88565445,48.93261
127.37554,0.0053734235,174.16838,173.2325,45.85696,47.748543,25.72261,0.93588054,49.54805
131.16682,0.0055135647,179.28381,178.29532,47.128498,48.397163,26.540981,0.98849285,50.155754
135.02605,0.0056567458,184.4857,183.44211,48.416058,49.037018,27.380342,1.0435888,50.75562
138.95157,0.005803008,189.77412,188.67285,49.7213,49.667583,28.238544,1.1012608,51.34711
142.94331,0.005952364,195.14934,193.98773,51.044422,50.288822,29.115501,1.1615999,51.930157
147.0011,0.0061048046,200.61153,199.38684,52.385746,50.900524,30.01113,1.2246943,52.504543
151.12523,0.006260303,206.16139,204.87079,53.74555,51.502556,30.92556,1.2906328,53.070103
155.31572,0.006418824,211.79916,210.43965,55.12394,52.094788,31.858755,1.3595014,53.62669
159.57278,0.0065803276,217.5254,216.09401,56.521233,52.67698,32.81087,1.4313884,54.17405
163.89674,0.006744766,223.34079,221.83443,57.937695,53.249336,33.782024,1.5063814,54.712368
168.28792,0.006912088,229.24586,227.6613,59.373356,53.8115,34.77236,1.5845675,55.24127
172.74673,0.0070822504,235.24142,233.5754,60.828663,54.363735,35.782154,1.6660388,55.760994
177.27351,0.0072551984,241.32803,239.57713,62.303627,54.905678,36.81146,1.7508829,56.271168
181.86871,0.0074308855,247.50636,245.66716,63.79844,55.437504,37.86062,1.8391916,56.771942
186.53261,0.007609264,253.77708,251.84604,65.31343,55.95904,38.92974,1.9310567,57.26314
191.26572,0.0077902884,260.14087,258.1143,66.848564,56.47039,40.01909,2.0265722,57.744835
196.06729,0.007973908,266.59845,264.47263,68.40532,56.971428,41.128414,2.1258316,58.216896
200.93611,0.008160082,273.1502,270.92126,69.98516,57.46206,42.256878,2.228928,58.679214
205.87202,0.008348764,279.79572,277.45975,71.58772,57.942146,43.402958,2.3359482,59.131622
210.87482,0.00853991,286.53482,284.08786,73.21303,58.41142,44.566612,2.4469817,59.57385
215.94463,0.00873348,293.36768,290.80554,74.86092,58.869762,45.748726,2.562121,60.005756
221.08119,0.008929431,300.29507,297.61365,76.53244,59.31734,46.951916,2.6814644,60.427513
226.28415,0.009127717,307.31677,304.5117,78.22752,59.753864,48.174896,2.805101,60.83879
231.55438,0.0093283,314.4334,311.50027,79.94591,60.17938,49.416924,2.9331293,61.23963
236.89284,0.009531131,321.64624,318.58057,81.68772,60.593994,50.678642,3.0656524,61.630142
242.30077,0.009736172,328.95633,325.75354,83.45277,60.997944,51.960617,3.2027752,62.01054
247.77884,0.009943375,336.3648,333.0202,85.24136,61.39122,53.26326,3.3446016,62.38079
253.32773,0.010152703,343.87247,340.38123,87.0535,61.773975,54.58697,3.4912348,62.741043
258.9482,0.010364114,351.4803,347.83752,88.88933,62.146084,55.93216,3.642782,63.091164
264.64078,0.010577568,359.1891,355.38977,90.748985,62.507805,57.29908,3.7993472,63.431396
270.406,0.010793021,366.99963,363.03857,92.6326,62.859066,58.688152,3.9610345,63.76165
276.24448,0.011010434,374.91272,370.78482,94.54034,63.199936,60.099583,4.1279516,64.08201
282.1566,0.011229767,382.9292,378.629,96.47242,63.53056,61.533676,4.3002057,64.39258
288.14154,0.011450981,391.04947,386.57156,98.430016,63.85074,62.992264,4.4779,64.693146
294.19742,0.011674037,399.27118,394.61005,100.41265,64.16022,64.473854,4.6611066,64.98347
300.31927,0.011898892,407.5913,402.74142,102.42214,64.45837,65.97402,4.849885,65.2629
306.50922,0.012125511,416.0118,410.9675,104.458275,64.74561,67.493935,5.044356,65.53185
312.76904,0.012353843,424.53452,419.28992,106.52084,65.02196,69.03463,5.2446327,65.79032
319.10013,0.012583855,433.16077,427.70996,108.609825,65.28784,70.59681,5.4508324,66.038734
325.5037,0.0128155,441.892,436.22894,110.725235,65.543175,72.18117,5.663067,66.277
331.98032,0.013048735,450.72885,444.8474,112.8671,65.78831,73.78809,5.881441,66.50545
338.53058,0.013283514,459.67227,453.56625,115.035645,66.023186,75.41799,6.106064,66.724014
345.15674,0.013519797,468.7234,462.38635,117.229614,66.24796,77.071625,6.337045,66.93286
351.85736,0.013757543,477.88165,471.30716,119.44983,66.46266,78.748215,6.5744777,67.13199
358.63083,0.013996705,487.1468,480.32834,121.697525,66.666985,80.447334,6.8184505,67.32109
365.47858,0.01423725,496.52017,489.4511,123.97254,66.86122,82.16972,7.069082,67.50046
372.40088,0.014479135,506.00244,498.67596,126.275085,67.0456,83.91565,7.3264775,67.670296
379.39865,0.014722316,515.5945,508.00372,128.60507,67.22007,85.68551,7.590744,67.83056
386.4713,0.014966754,525.2961,517.43414,130.96277,67.384514,87.47916,7.861977,67.98113
393.61963,0.015212405,535.1086,526.96826,133.34868,67.539345,89.29689,8.140288,68.1224
400.84424,0.0154592255,545.0323,536.60657,135.7623,67.68446,91.13927,8.425777,68.25425
408.1457,0.015707184,555.06824,546.3497,138.20401,67.82002,93.00644,8.718558,68.37685
415.5241,0.015956232,565.2168,556.1981,140.67398,67.94606,94.89877,9.018731,68.490234
422.98044,0.016206332,575.47906,566.15265,143.17218,68.062706,96.81659,9.326404,68.59451
430.5148,0.016457446,585.8551,576.2134,145.69856,68.17004,98.760124,9.641678,68.68974
438.12775,0.01670953,596.346,586.38135,148.25362,68.26813,100.7295,9.964662,68.77602
445.81906,0.016962552,606.9517,596.6563,150.83723,68.357025,102.72498,10.29545,68.85337
453.58957,0.017216463,617.6732,607.03906,153.44951,68.436745,104.746765,10.634148,68.9218
461.4388,0.017471224,628.5102,617.5294,156.0906,68.5076,106.794945,10.980843,68.98162
