kplusy,lambd_haty,nuAT_haty,nuUO_haty,nuLO_haty,etaAT_haty,etaOC_haty
227.83644,0.97599024,0.77632487,-0.5514794,-0.0027269425,-0.03926704,-0.22821467
233.29698,0.98707217,0.771807,-0.5471576,-0.0025787908,-0.039050262,-0.22837882
239.3756,0.9957097,0.76840943,-0.54375345,-0.0025034864,-0.038928717,-0.22863677
245.98288,1.0024158,0.7657229,-0.54076236,-0.0025582477,-0.03897601,-0.2289033
253.05843,1.0075464,0.76380646,-0.53847855,-0.0025882965,-0.039092712,-0.22933203
260.55188,1.0114008,0.76252747,-0.5367788,-0.002615275,-0.03926112,-0.2298853
268.42014,1.0142303,0.7617646,-0.5355499,-0.0026411915,-0.03947566,-0.23054789
276.62775,1.0162412,0.76141715,-0.5346979,-0.0026655637,-0.039733037,-0.2313046
285.14508,1.0176021,0.7614043,-0.53415006,-0.0026889108,-0.04002635,-0.23214307
293.94794,1.0184495,0.7616614,-0.5338453,-0.002710944,-0.040352024,-0.23305209
303.01666,1.0188919,0.76213646,-0.5337367,-0.0027313516,-0.04070499,-0.23402174
312.33533,1.0190182,0.7627904,-0.5337892,-0.0027512754,-0.041082818,-0.23504327
321.89105,1.0188968,0.763585,-0.5339674,-0.0027691193,-0.04148027,-0.23610985
331.67426,1.0185847,0.76449436,-0.5342487,-0.0027858291,-0.041895542,-0.23721538
341.67636,1.0181243,0.76550025,-0.53461677,-0.0028009205,-0.042325977,-0.23835456
351.89227,1.0175514,0.7665854,-0.53505605,-0.002815787,-0.04276976,-0.23952371
362.31702,1.016892,0.7677363,-0.53555477,-0.0028289054,-0.043224815,-0.24071957
372.9478,1.0161675,0.76894313,-0.5361034,-0.0028409024,-0.043690957,-0.24193996
383.7815,1.0153809,0.7702262,-0.53667825,-0.0028663927,-0.044194568,-0.24324535
394.81723,1.0145607,0.7715492,-0.53728944,-0.0028900958,-0.044705417,-0.2445698
406.0545,1.0137165,0.7729067,-0.5379329,-0.0029124103,-0.045222703,-0.24591047
417.49326,1.0128564,0.7742943,-0.5386047,-0.0029342268,-0.045745805,-0.24726641
429.13443,1.0119855,0.77570975,-0.5393012,-0.0029544658,-0.04627457,-0.24863741
440.97852,1.0111086,0.7771496,-0.54002273,-0.0029735249,-0.04680742,-0.2500212
453.0267,1.0102295,0.7786131,-0.54076487,-0.0029907196,-0.047344364,-0.25141728
465.28094,1.0093507,0.7800972,-0.5415275,-0.0030069465,-0.047885824,-0.25282502
