,foc_kplus,foc_lambd,foc_TATplus,foc_MATplus,foc_MUOplus,foc_MLOplus,foc_TOCplus
count,5.120e+03,5.120e+03,5.120e+03,5.120e+03,5.120e+03,5.120e+03,5.120e+03
mean,2.278e-04,1.055e-03,1.333e-04,1.641e-04,2.784e-04,1.521e-05,4.964e-05
std,3.965e-04,3.024e-04,1.642e-04,1.556e-04,2.286e-04,1.230e-05,4.664e-05
min,2.384e-07,8.726e-05,1.118e-07,2.384e-07,8.345e-07,5.309e-08,2.980e-08
0.1%,2.384e-07,8.726e-05,1.118e-07,2.384e-07,8.345e-07,5.309e-08,2.980e-08
25%,4.765e-05,9.455e-04,3.304e-05,1.025e-04,1.516e-04,6.669e-06,9.634e-06
50%,1.490e-04,1.008e-03,7.656e-05,1.589e-04,2.241e-04,1.425e-05,2.714e-05
75%,3.105e-04,1.146e-03,1.843e-04,2.002e-04,3.682e-04,2.147e-05,9.588e-05
99.9%,4.436e-03,3.133e-03,1.517e-03,1.816e-03,1.281e-03,1.318e-04,1.667e-04
max,4.436e-03,3.133e-03,1.517e-03,1.816e-03,1.281e-03,1.318e-04,1.667e-04
