kx,MATx,MUOx,MLOx,TATx,TOCx,taux
223.00183,854.0,1531.0,37181.0,1.1,0.27,0.0
227.75452,856.70215,1538.1776,37181.883,1.1532677,0.27571872,0.014888048
233.21693,859.64166,1545.2573,37182.78,1.1962435,0.28176504,0.029554427
239.29716,862.79895,1552.2655,37183.695,1.2317764,0.2880658,0.044002473
245.90582,866.1559,1559.2251,37184.633,1.2619679,0.29456794,0.058235407
252.98264,869.6958,1566.1564,37185.582,1.2883645,0.30123332,0.072256446
260.477,873.4033,1573.0774,37186.55,1.3121006,0.30803466,0.08606875
268.34616,877.26465,1580.0038,37187.54,1.334005,0.31495267,0.09967542
276.5545,881.267,1586.949,37188.543,1.3546803,0.32197395,0.11307949
285.0725,885.39886,1593.9252,37189.562,1.3745627,0.32908928,0.126284
293.87595,889.6498,1600.9423,37190.6,1.3939643,0.3362926,0.13929194
302.94516,894.0104,1608.0093,37191.656,1.413107,0.34357995,0.15210623
312.26434,898.47186,1615.1337,37192.734,1.4321463,0.350949,0.16472971
321.82056,903.0266,1622.3217,37193.824,1.4511889,0.35839844,0.17716527
331.60388,907.66754,1629.5789,37194.934,1.4703064,0.36592776,0.1894157
341.60648,912.3883,1636.9097,37196.062,1.4895447,0.3735369,0.20148373
351.82263,917.1833,1644.3181,37197.21,1.5089315,0.3812262,0.21337211
362.24768,922.04724,1651.8068,37198.375,1.5284817,0.3889961,0.22508347
372.87854,926.97546,1659.3782,37199.555,1.548201,0.39684716,0.23662049
383.7125,931.9638,1667.0343,37200.754,1.5680885,0.40478,0.24798572
394.74854,937.0083,1674.7765,37201.97,1.5881398,0.4127952,0.25918174
405.98572,942.1055,1682.6056,37203.207,1.6083474,0.4208933,0.2702111
417.42493,947.25226,1690.5225,37204.465,1.6287022,0.42907488,0.28107625
429.06604,952.4455,1698.5271,37205.742,1.649194,0.43734032,0.29177964
440.91016,957.6826,1706.6199,37207.04,1.6698127,0.44568998,0.3023237
452.9585,962.9611,1714.8003,37208.355,1.6905477,0.45412418,0.31271076
465.21268,968.2788,1723.068,37209.695,1.7113886,0.46264315,0.32294315
477.6746,973.6334,1731.4224,37211.05,1.732326,0.47124702,0.33302325
490.3458,979.0231,1739.8628,37212.434,1.7533501,0.47993585,0.34295326
503.22836,984.4459,1748.3881,37213.832,1.7744521,0.4887097,0.35273546
516.3244,989.9001,1756.9972,37215.254,1.7956237,0.49756846,0.36237198
529.63574,995.38403,1765.6891,37216.703,1.8168571,0.50651205,0.37186503
543.1648,1000.89624,1774.4624,37218.168,1.8381444,0.5155403,0.38121676
556.91113,1006.43506,1783.316,37219.652,1.859479,0.524653,0.39042926
570.86945,1011.99915,1792.2484,37221.164,1.880854,0.53384995,0.3995046
585.03625,1017.58704,1801.2579,37222.7,1.9022634,0.5431308,0.40844482
599.4098,1023.1974,1810.3433,37224.254,1.9237014,0.55249524,0.41725194
613.9934,1028.8287,1819.5028,37225.832,1.9451625,0.5619429,0.42592794
628.78265,1034.4797,1828.7349,37227.438,1.9666411,0.57147324,0.43447477
643.77924,1040.1489,1838.038,37229.062,1.9881321,0.5810859,0.44289434
658.989,1045.8352,1847.41,37230.71,2.0096304,0.5907805,0.45118856
674.4173,1051.5372,1856.8496,37232.38,2.0311317,0.6005564,0.4593593
690.0688,1057.2538,1866.3547,37234.074,2.0526311,0.610413,0.46740842
705.94696,1062.984,1875.9236,37235.79,2.0741246,0.6203499,0.47533768
722.05585,1068.7266,1885.5544,37237.535,2.0956082,0.6303664,0.48314893
738.3988,1074.4805,1895.2454,37239.3,2.1170783,0.6404619,0.49084383
754.97864,1080.2446,1904.9946,37241.09,2.1385307,0.65063584,0.49842417
771.79834,1086.0182,1914.8004,37242.906,2.1599624,0.6608874,0.5058917
788.861,1091.8,1924.6608,37244.742,2.1813703,0.6712161,0.513248
806.16876,1097.5892,1934.5739,37246.61,2.2027507,0.681621,0.5204948
823.7008,1103.3849,1944.5378,37248.492,2.224101,0.6921016,0.5276337
841.436,1109.1857,1954.5511,37250.406,2.2454183,0.7026571,0.53466636
859.3852,1114.9906,1964.6115,37252.34,2.2666998,0.71328676,0.54159427
877.5582,1120.7985,1974.717,37254.3,2.2879422,0.7239898,0.54841906
895.96234,1126.6083,1984.866,37256.285,2.309143,0.7347654,0.5551423
914.6041,1132.4188,1995.0566,37258.297,2.3302996,0.74561286,0.5617654
933.48755,1138.2294,2005.2867,37260.336,2.3514092,0.75653136,0.5682899
952.6172,1144.0391,2015.5547,37262.4,2.3724687,0.76752007,0.5747172
971.9973,1149.8468,2025.8584,37264.49,2.393476,0.77857816,0.58104885
991.62225,1155.652,2036.1963,37266.6,2.414429,0.7897048,0.58728623
