kplusy,lambd_haty,muy,nuAT_haty,nuUO_haty,nuLO_haty,etaAT_haty,etaOC_haty
228.43277,0.9836823,0.12392063,0.72990483,-0.5221144,-0.0016835353,-0.036642034,-0.19831245
234.16956,0.9905923,0.12343441,0.72632486,-0.51852703,-0.0015845753,-0.036726907,-0.19802134
240.29382,0.9965022,0.123111725,0.7233762,-0.51552504,-0.0015262114,-0.036775026,-0.19779609
246.79817,1.0014814,0.12302105,0.7210109,-0.51304317,-0.0014969385,-0.03681729,-0.19765799
253.67242,1.0056108,0.123196304,0.71917385,-0.5110173,-0.0014870237,-0.036874305,-0.19761792
260.9043,1.0089749,0.123649634,0.7178098,-0.50939095,-0.0014916195,-0.036958005,-0.19767763
268.48022,1.01166,0.124380045,0.71686506,-0.50811046,-0.0015055977,-0.03707553,-0.19783546
276.3872,1.0137496,0.12537788,0.7162885,-0.50713056,-0.001525359,-0.03722884,-0.19808638
284.61157,1.0153224,0.12663007,0.7160337,-0.50640815,-0.0015497697,-0.03741849,-0.19842216
293.14075,1.0164511,0.12812077,0.7160576,-0.50590676,-0.0015757256,-0.03764364,-0.19883509
301.96283,1.0172004,0.12983412,0.7163227,-0.5055955,-0.0016024301,-0.037900873,-0.19931713
311.06638,1.0176297,0.1317544,0.7167959,-0.5054456,-0.001630056,-0.038188677,-0.19986103
320.44202,1.0177907,0.13386627,0.7174465,-0.5054331,-0.0016566829,-0.03850291,-0.20045789
330.08047,1.0177275,0.13615656,0.71824986,-0.50553674,-0.0016828422,-0.038841866,-0.20110144
339.97363,1.01748,0.1386128,0.7191838,-0.5057402,-0.0017086507,-0.039201386,-0.20178592
350.1146,1.0170807,0.14122385,0.72022843,-0.5060274,-0.0017319545,-0.03957913,-0.20250353
360.49695,1.0165595,0.14397971,0.7213674,-0.5063851,-0.0017551959,-0.039972577,-0.20325145
371.11557,1.0159408,0.14687116,0.7225865,-0.5068035,-0.0017763304,-0.040379733,-0.20402431
381.9659,1.0152452,0.14989087,0.7238729,-0.50727224,-0.0017962735,-0.040798508,-0.20481743
393.0444,1.0144892,0.1530324,0.7252169,-0.5077834,-0.0018151954,-0.041226726,-0.2056287
404.34766,1.0136887,0.15628946,0.72660947,-0.5083312,-0.0018326584,-0.041663162,-0.20645459
415.87262,1.0128559,0.15965703,0.7280427,-0.5089089,-0.0018489985,-0.042105973,-0.20729208
427.61807,1.0120012,0.1631306,0.72951007,-0.5095117,-0.0018637795,-0.042554166,-0.20813945
439.58203,1.011132,0.16670662,0.73100644,-0.5101374,-0.0018777146,-0.043006383,-0.20899418
451.76294,1.0102562,0.17038159,0.732527,-0.5107807,-0.0018902696,-0.043462317,-0.2098552
464.16034,1.0093795,0.17415279,0.73406744,-0.51143944,-0.0019024743,-0.043921094,-0.21071996
476.77362,1.0085064,0.17801777,0.7356253,-0.5121122,-0.0019129601,-0.044381127,-0.21158874
489.60266,1.0076411,0.1819746,0.73719674,-0.51279455,-0.0019229264,-0.044842392,-0.21245982
502.64755,1.0067858,0.18602139,0.73877996,-0.51348704,-0.0019310825,-0.045304213,-0.21333154
515.9084,1.0059439,0.19015688,0.74037284,-0.51418775,-0.001939723,-0.04576622,-0.21420369
529.3854,1.0051167,0.19437924,0.74197346,-0.51489514,-0.0019465755,-0.04622807,-0.2150761
543.07935,1.0043066,0.19868761,0.74358046,-0.5156088,-0.0019532023,-0.04668907,-0.21594685
556.9914,1.0035131,0.2030813,0.745193,-0.5163274,-0.001959246,-0.047149185,-0.21681643
571.1219,1.0027384,0.20755915,0.7468097,-0.51705104,-0.0019645018,-0.04760818,-0.21768399
585.4723,1.0019821,0.21212012,0.7484295,-0.5177779,-0.0019684883,-0.04806557,-0.21854983
600.04376,1.0012445,0.21676426,0.75005215,-0.51850903,-0.0019730167,-0.04852089,-0.21941213
614.83746,1.0005268,0.22149062,0.75167704,-0.5192435,-0.001975834,-0.04897473,-0.22027189
629.8543,0.999828,0.22629857,0.7533034,-0.51998025,-0.0019785408,-0.049425952,-0.22112854
645.0962,0.99914837,0.23118716,0.7549303,-0.52071977,-0.001981056,-0.049874842,-0.22198111
660.5637,0.9984874,0.23615645,0.75655854,-0.5214623,-0.0019832738,-0.0503211,-0.22282977
676.2595,0.99784565,0.24120499,0.75818676,-0.5222072,-0.0019845907,-0.05076471,-0.22367486
692.1848,0.99722195,0.24633346,0.75981534,-0.52295387,-0.0019850682,-0.051205892,-0.2245156
708.3406,0.9966158,0.25154117,0.7614441,-0.523703,-0.001986066,-0.05164327,-0.22535232
724.72925,0.99602723,0.25682616,0.7630721,-0.5244545,-0.0019860028,-0.05207868,-0.22618377
741.3522,0.99545527,0.2621893,0.76470006,-0.52520746,-0.0019853234,-0.05251015,-0.22701119
758.2108,0.9948996,0.2676294,0.76632744,-0.52596354,-0.0019853753,-0.052938614,-0.227834
775.30707,0.9943604,0.27314538,0.7679543,-0.5267207,-0.001984085,-0.053363904,-0.22865129
792.64246,0.99383587,0.27873716,0.76958025,-0.5274805,-0.0019832538,-0.05378529,-0.2294639
810.2196,0.99332684,0.2844033,0.7712053,-0.528242,-0.001981492,-0.054203313,-0.23027146
828.0395,0.9928313,0.2901439,0.7728299,-0.52900547,-0.0019795247,-0.054617785,-0.23107344
846.1042,0.99234974,0.29595762,0.7744531,-0.52977145,-0.0019775233,-0.05502764,-0.23187031
864.4161,0.9918812,0.30184317,0.77607566,-0.53053945,-0.0019746963,-0.055434942,-0.23266158
882.9759,0.991425,0.3078007,0.7776974,-0.531309,-0.0019721536,-0.05583754,-0.23344769
901.786,0.9909809,0.31382787,0.77931786,-0.5320814,-0.0019692935,-0.056236114,-0.23422766
920.8483,0.99054813,0.31992438,0.7809369,-0.5328553,-0.0019659563,-0.056631047,-0.23500226
940.1653,0.99012643,0.32608873,0.78255516,-0.5336313,-0.00196266,-0.057021737,-0.23577118
959.7383,0.98971546,0.3323201,0.7841725,-0.5344103,-0.0019588743,-0.057407714,-0.2365339
979.569,0.98931295,0.33861724,0.78578854,-0.5351904,-0.0019546384,-0.05779008,-0.23729125
999.6597,0.9889206,0.34497845,0.7874032,-0.5359734,-0.0019509746,-0.058167923,-0.23804188
1020.01245,0.98853725,0.3514029,0.78901666,-0.53675836,-0.0019458069,-0.058541086,-0.23878661
1040.6298,0.98816234,0.35788897,0.790629,-0.53754616,-0.0019415633,-0.0589102,-0.23952548
1061.5125,0.9877941,0.3644353,0.79224014,-0.5383356,-0.0019364913,-0.059274875,-0.24025846
1082.6627,0.987434,0.3710406,0.7938506,-0.53912705,-0.0019314655,-0.059634756,-0.24098477
1104.0839,0.98708117,0.3777026,0.79545903,-0.5399211,-0.0019257404,-0.059990313,-0.24170525
1125.7758,0.9867339,0.3844211,0.79706675,-0.5407182,-0.0019208493,-0.060340695,-0.24241862
1147.736,0.9863793,0.39119756,0.79867756,-0.54152316,-0.0019152788,-0.06068413,-0.24312791
1169.9243,0.98593944,0.39805368,0.8003198,-0.5423788,-0.0019183429,-0.061005358,-0.24384703
1192.3485,0.9855271,0.40492094,0.80194294,-0.5432232,-0.0019213255,-0.061319802,-0.24455449
1215.0212,0.9851712,0.4118765,0.80349606,-0.54409415,-0.0019284768,-0.061648425,-0.24522778
1237.9481,0.9848324,0.41885486,0.8050382,-0.54495853,-0.0019363118,-0.06197064,-0.24589121
1261.1322,0.9845086,0.42585614,0.8065707,-0.54581875,-0.0019435524,-0.06228699,-0.24654633
1284.5792,0.9841977,0.43288094,0.8080948,-0.5466748,-0.001950368,-0.06259815,-0.24719317
1308.2913,0.98389775,0.4399291,0.8096112,-0.5475281,-0.0019570023,-0.062903084,-0.24783124
1332.2725,0.9836072,0.4470006,0.81112105,-0.54837835,-0.001963514,-0.06320303,-0.24846138
1356.5267,0.9833252,0.4540949,0.8126247,-0.5492267,-0.0019696266,-0.06349753,-0.2490838
1381.0571,0.9830498,0.46121266,0.81412375,-0.5500728,-0.0019756402,-0.06378634,-0.24969839
1405.8666,0.9827803,0.46835238,0.8156182,-0.5509189,-0.0019814076,-0.064070575,-0.2503063
1430.9591,0.98251605,0.47551304,0.8171085,-0.5517636,-0.00198648,-0.064348504,-0.250906
1456.3308,0.9822411,0.48271483,0.81859064,-0.5526206,-0.0019913136,-0.064618245,-0.2514992
1481.9841,0.98197013,0.4899324,0.8200683,-0.5534779,-0.0019956438,-0.0648832,-0.25208393
1507.9231,0.981704,0.4971631,0.8215408,-0.5543327,-0.0019996946,-0.065142125,-0.25266123
1534.1493,0.9814421,0.5044068,0.82300913,-0.5551876,-0.0020037545,-0.0653957,-0.25323242
1560.667,0.981183,0.5116618,0.8244736,-0.5560402,-0.002006594,-0.065644026,-0.2537954
1587.4781,0.9809266,0.5189283,0.825935,-0.5568944,-0.0020095012,-0.06588785,-0.25435072
1614.5677,0.9806221,0.5264105,0.82742167,-0.5578236,-0.0020269668,-0.06616445,-0.25492263
1641.9248,0.98029035,0.53403544,0.82892036,-0.5588019,-0.0020551193,-0.06646216,-0.25550213
1669.5552,0.9799697,0.54164267,0.83040756,-0.5597726,-0.0020816887,-0.06675327,-0.2560721
1697.4481,0.979649,0.5495029,0.83178514,-0.5607811,-0.0021260919,-0.06702998,-0.25643027
1725.6133,0.979415,0.5583392,0.83317715,-0.56189543,-0.0021083413,-0.06709035,-0.25687608
1754.0458,0.9791959,0.5672687,0.8345125,-0.56301546,-0.002119721,-0.06724765,-0.25729755
1782.7534,0.9789847,0.57615995,0.8358365,-0.564123,-0.0021306835,-0.067399494,-0.25770926
1811.742,0.9787785,0.5850098,0.83715075,-0.56521785,-0.0021429725,-0.067547314,-0.25810975
1841.0182,0.97857726,0.59381783,0.8384558,-0.5663026,-0.0021547345,-0.06768914,-0.25850016
1870.5864,0.9783775,0.6025825,0.83975244,-0.5673768,-0.0021648724,-0.06782699,-0.2588798
1900.4498,0.9781798,0.6113048,0.8410424,-0.5684409,-0.002175802,-0.06796057,-0.2592489
1930.6157,0.97798187,0.61998254,0.8423252,-0.56949633,-0.0021860737,-0.068089366,-0.2596076
1961.0883,0.9777833,0.6286174,0.8436026,-0.5705437,-0.0021964626,-0.06821464,-0.25995517
1991.8708,0.97758293,0.63721037,0.84487516,-0.57158357,-0.002206516,-0.06833511,-0.26029277
2022.9668,0.9773799,0.64575976,0.84614295,-0.5726152,-0.0022160076,-0.06845167,-0.2606194
2054.3787,0.97717446,0.6542644,0.8474064,-0.57364106,-0.0022253136,-0.06856446,-0.26093632
2086.112,0.9769652,0.66272545,0.8486661,-0.57466006,-0.0022337313,-0.06867354,-0.26124293
