,foc_kplus,foc_lambd,kkt_mu_fb,foc_TATplus,foc_MATplus,foc_MUOplus,foc_MLOplus,foc_TOCplus
count,5.120e+03,5.120e+03,5.120e+03,5.120e+03,5.120e+03,5.120e+03,5.120e+03,5.120e+03
mean,2.496e-04,9.712e-04,5.098e-04,1.842e-04,9.870e-05,1.412e-04,1.229e-05,4.931e-05
std,1.590e-04,1.319e-04,5.516e-04,1.476e-04,7.893e-05,1.432e-04,1.177e-05,3.625e-05
min,1.669e-06,3.502e-04,0.000e+00,7.451e-08,1.192e-07,2.980e-07,1.237e-07,4.470e-08
0.1%,1.669e-06,3.502e-04,0.000e+00,7.451e-08,1.192e-07,2.980e-07,1.237e-07,4.470e-08
25%,1.456e-04,8.881e-04,0.000e+00,6.243e-05,4.432e-05,5.589e-05,4.093e-06,1.784e-05
50%,2.079e-04,9.438e-04,4.056e-04,1.519e-04,8.956e-05,8.783e-05,8.157e-06,4.339e-05
75%,3.410e-04,1.008e-03,8.447e-04,2.716e-04,1.258e-04,1.978e-04,1.701e-05,7.596e-05
99.9%,7.890e-04,1.418e-03,2.227e-03,7.860e-04,6.893e-04,9.357e-04,7.457e-05,1.461e-04
max,7.890e-04,1.418e-03,2.227e-03,7.860e-04,6.893e-04,9.357e-04,7.457e-05,1.461e-04
