kx,MATx,MUOx,MLOx,TATx,TOCx,taux
223.00183,854.0,1531.0,37181.0,1.1,0.27,0.0
228.35066,855.45667,1538.1776,37181.883,1.1532677,0.27571872,0.014888048
234.0892,857.2538,1545.1448,37182.78,1.195053,0.28176504,0.029554427
240.21512,859.35114,1551.9425,37183.695,1.2286104,0.2880576,0.044002473
246.72089,861.7133,1558.6058,37184.633,1.256324,0.294538,0.058235407
253.59642,864.3087,1565.1652,37185.582,1.2799349,0.3011647,0.072256446
260.82928,867.10974,1571.6465,37186.547,1.300708,0.30790842,0.08606875
268.40628,870.09174,1578.072,37187.53,1.3195585,0.3147488,0.09967542
276.31406,873.2333,1584.461,37188.53,1.3371428,0.32167193,0.11307949
284.53912,876.5153,1590.8297,37189.543,1.353929,0.32866853,0.126284
293.069,879.921,1597.1913,37190.574,1.3702465,0.33573258,0.13929194
301.89157,883.43555,1603.5577,37191.62,1.3863239,0.34286037,0.15210623
310.99567,887.0456,1609.9384,37192.684,1.4023168,0.35004982,0.16472971
320.37183,890.7397,1616.3412,37193.766,1.4183278,0.35729995,0.17716527
330.0105,894.5072,1622.773,37194.86,1.434422,0.36461043,0.1894157
339.90408,898.3391,1629.2389,37195.97,1.4506375,0.37198144,0.20148373
350.0453,902.2269,1635.743,37197.094,1.4669939,0.37941337,0.21337211
360.42792,906.16327,1642.2885,37198.24,1.4834976,0.3869068,0.22508347
371.0467,910.1415,1648.8778,37199.395,1.5001463,0.39446232,0.23662049
381.89725,914.1554,1655.513,37200.566,1.5169317,0.40208048,0.24798572
392.97598,918.19965,1662.1947,37201.754,1.5338418,0.4097618,0.25918174
404.27917,922.2692,1668.9235,37202.96,1.5508628,0.4175067,0.2702111
415.8045,926.35956,1675.6995,37204.184,1.5679796,0.42531553,0.28107625
427.54993,930.4664,1682.5223,37205.426,1.5851767,0.4331885,0.29177964
439.51385,934.5859,1689.3912,37206.684,1.6024389,0.4411257,0.3023237
451.69492,938.7144,1696.3054,37207.957,1.6197513,0.44912714,0.31271076
464.0922,942.8489,1703.2632,37209.25,1.6370997,0.45719275,0.32294315
476.70563,946.98584,1710.263,37210.56,1.6544708,0.46532232,0.33302325
489.53482,951.1226,1717.3031,37211.887,1.6718515,0.47351554,0.34295326
502.57962,955.2564,1724.3818,37213.23,1.6892301,0.48177207,0.35273546
515.8402,959.3846,1731.497,37214.594,1.7065954,0.49009144,0.36237198
529.31714,963.50464,1738.6461,37215.973,1.7239368,0.49847317,0.37186503
543.01117,967.6143,1745.827,37217.367,1.7412448,0.5069166,0.38121676
556.92303,971.7113,1753.0374,37218.785,1.7585102,0.5154211,0.39042926
571.05347,975.79333,1760.2744,37220.22,1.7757242,0.523986,0.3995046
585.40393,979.8585,1767.5355,37221.67,1.7928789,0.5326105,0.40844482
599.9753,983.9048,1774.8182,37223.14,1.8099668,0.54129374,0.41725194
614.76886,987.9302,1782.1196,37224.63,1.8269808,0.5500349,0.42592794
629.78534,991.9328,1789.4368,37226.137,1.8439144,0.55883306,0.43447477
645.0271,995.9109,1796.7672,37227.66,1.8607609,0.5676873,0.44289434
660.49457,999.8627,1804.1079,37229.207,1.8775147,0.57659656,0.45118856
676.1902,1003.7863,1811.456,37230.77,1.89417,0.5855599,0.4593593
692.1154,1007.6804,1818.8087,37232.348,1.9107213,0.59457624,0.46740842
708.2709,1011.54315,1826.163,37233.95,1.9271637,0.6036445,0.47533768
724.6596,1015.37286,1833.516,37235.566,1.9434925,0.6127635,0.48314893
741.2822,1019.1683,1840.8647,37237.203,1.9597027,0.62193227,0.49084383
758.1403,1022.9276,1848.2065,37238.855,1.9757901,0.63114953,0.49842417
775.2367,1026.6495,1855.5382,37240.53,1.9917504,0.6404141,0.5058917
792.5721,1030.3328,1862.8569,37242.223,2.0075793,0.64972484,0.513248
810.14856,1033.9758,1870.16,37243.93,2.0232737,0.65908045,0.5204948
827.9687,1037.5773,1877.4443,37245.66,2.038829,0.66847974,0.5276337
846.03284,1041.1359,1884.7072,37247.402,2.0542424,0.6779215,0.53466636
864.3443,1044.6505,1891.9456,37249.164,2.06951,0.68740433,0.54159427
882.90393,1048.1199,1899.1569,37250.94,2.0846288,0.6969271,0.54841906
901.7138,1051.5427,1906.3381,37252.74,2.099596,0.7064883,0.5551423
920.7762,1054.918,1913.4866,37254.555,2.1144085,0.7160868,0.5617654
940.0925,1058.2445,1920.5997,37256.387,2.1290634,0.72572124,0.5682899
959.6651,1061.5211,1927.6746,37258.234,2.1435578,0.73539025,0.5747172
979.49585,1064.7471,1934.7084,37260.105,2.1578894,0.7450925,0.58104885
999.5863,1067.9213,1941.6987,37261.99,2.172056,0.75482666,0.58728623
1019.93866,1071.0427,1948.643,37263.895,2.1860552,0.7645914,0.59343076
1040.5558,1074.1107,1955.5385,37265.816,2.1998844,0.7743853,0.59948385
1061.4381,1077.1241,1962.3827,37267.754,2.2135425,0.784207,0.60544676
1082.588,1080.0823,1969.1732,37269.71,2.2270265,0.7940551,0.6113209
1104.0084,1082.9845,1975.9077,37271.684,2.2403352,0.80392826,0.6171076
1125.7004,1085.8298,1982.5836,37273.67,2.2534668,0.8138251,0.62280816
1147.6599,1088.6178,1989.1987,37275.676,2.2664201,0.8237442,0.6284238
1169.848,1091.3469,1995.7506,37277.7,2.279193,0.8336842,0.63395584
1192.2716,1094.0176,2002.2373,37279.74,2.291784,0.8436438,0.6394055
1214.9443,1096.6282,2008.656,37281.797,2.304192,0.8536215,0.6447741
1237.8705,1099.1788,2015.0051,37283.867,2.3164155,0.86361593,0.65006274
1261.0553,1101.6692,2021.2825,37285.953,2.3284535,0.8736257,0.65527266
1284.5012,1104.0992,2027.4856,37288.055,2.340305,0.88364947,0.66040504
1308.2135,1106.469,2033.6129,37290.17,2.3519697,0.8936858,0.665461
1332.1934,1108.7783,2039.6628,37292.305,2.3634474,0.9037334,0.6704416
1356.4474,1111.0271,2045.6328,37294.453,2.3747382,0.9137908,0.6753481
1380.9775,1113.2151,2051.522,37296.613,2.385842,0.92385674,0.6801815
1405.7865,1115.3423,2057.3284,37298.785,2.396759,0.9339298,0.68494296
1430.8787,1117.4087,2063.0505,37300.977,2.4074893,0.9440087,0.6896336
1456.2502,1119.4137,2068.6868,37303.18,2.4180326,0.9540921,0.6942544
1481.9037,1121.3575,2074.2356,37305.402,2.4283898,0.9641786,0.6988064
1507.8416,1123.2401,2079.6963,37307.633,2.4385602,0.97426707,0.70329064
1534.0674,1125.0616,2085.067,37309.88,2.4485445,0.98435605,0.7077081
1560.5851,1126.8221,2090.3462,37312.137,2.4583426,0.9944443,0.71205986
1587.3961,1128.522,2095.5332,37314.41,2.4679554,1.0045305,0.71634674
1614.4847,1130.1571,2100.6267,37316.695,2.4773831,1.0146135,0.72056985
1641.8414,1131.7257,2105.6257,37318.996,2.486624,1.0246919,0.7247301
1669.4706,1133.2288,2110.5283,37321.31,2.4956746,1.0347646,0.7288283
1697.3639,1134.6624,2115.333,37323.633,2.5045335,1.0448303,0.7328656
1725.5283,1136.0093,2120.0388,37325.965,2.513197,1.0548877,0.7368427
1753.9601,1137.2705,2124.642,37328.312,2.5216498,1.0649354,0.74076056
1782.6674,1138.4491,2129.1401,37330.668,2.5298812,1.0749722,0.7446202
1811.6564,1139.5481,2133.5303,37333.04,2.5378857,1.0849965,0.7484224
1840.932,1140.5702,2137.811,37335.418,2.5456612,1.0950068,0.75216794
1870.4993,1141.5176,2141.9802,37337.81,2.5532086,1.1050018,0.7558577
1900.3619,1142.3927,2146.0366,37340.215,2.560529,1.11498,0.7594925
1930.5277,1143.1975,2149.9785,37342.625,2.5676265,1.1249398,0.76307327
1960.9999,1143.9337,2153.806,37345.043,2.5745044,1.13488,0.76660067
1991.7823,1144.603,2157.5176,37347.47,2.5811665,1.144799,0.77007556
2022.8762,1145.2069,2161.113,37349.906,2.5876172,1.1546955,0.7734987
2054.2893,1145.747,2164.5918,37352.35,2.5938606,1.1645683,0.7768709
2086.0208,1146.2244,2167.9536,37354.81,2.5999005,1.1744162,0.78019285
2118.076,1146.6405,2171.1987,37357.273,2.6057417,1.1842377,0.7834654
2150.4568,1146.9967,2174.3271,37359.746,2.6113873,1.1940318,0.78668916
2183.165,1147.2942,2177.3389,37362.223,2.616841,1.2037975,0.78986496
2216.2048,1147.5338,2180.234,37364.71,2.6221066,1.2135333,0.7929935
2249.5784,1147.7168,2183.013,37367.207,2.6271873,1.2232383,0.79607546
2283.285,1147.8444,2185.676,37369.71,2.6320863,1.2329116,0.79911155
2317.3289,1147.9174,2188.224,37372.215,2.636807,1.2425519,0.80210245
2351.7144,1147.937,2190.6575,37374.73,2.641352,1.2521583,0.8050488
2386.4392,1147.9044,2192.9768,37377.25,2.6457243,1.2617298,0.8079513
2421.5076,1147.8202,2195.1829,37379.777,2.6499267,1.2712655,0.81081057
2456.917,1147.6857,2197.2764,37382.31,2.6539617,1.2807645,0.81362724
2492.6748,1147.5018,2199.258,37384.848,2.657832,1.2902257,0.81640196
2528.7786,1147.2698,2201.129,37387.387,2.66154,1.2996485,0.8191354
