con,Omega,Theta,ygross,ynet,inv,Eind,scc,carbontax,Abatement,Dam,Emissions
76.92273,0.008470001,0.0015373048,105.17594,104.2851,27.202051,28.546013,50.00794,50.65383,0.16168748,0.8908403,31.146011
79.331795,0.009263752,0.0015991249,108.64175,107.635315,28.131397,28.84573,51.244278,52.28517,0.17373173,1.0064303,31.386614
81.83662,0.009926002,0.0016590367,112.2179,111.10403,29.08308,29.150297,52.559322,53.881752,0.1861736,1.113875,31.633408
84.432205,0.010485807,0.0017256999,115.90043,114.68512,30.054998,29.439545,53.941154,55.61707,0.20000935,1.2153095,31.866194
87.12214,0.010967777,0.0017897523,119.687065,118.37437,31.04037,29.731516,55.40078,57.304623,0.21421021,1.3127011,32.102993
89.910706,0.011391731,0.0018556726,123.57752,122.169754,32.03234,30.015871,56.923916,59.034,0.22931942,1.4077618,32.333427
92.77256,0.011773281,0.0019151609,127.57237,126.07042,33.056416,30.309399,58.51772,60.643616,0.24432161,1.5019453,32.574257
95.692406,0.01212444,0.0019700935,131.66666,130.07027,34.121605,30.606405,60.172344,62.172245,0.2593956,1.5963843,32.819763
98.71437,0.012454401,0.002034716,135.85797,134.16594,35.178585,30.875477,61.90364,63.89698,0.2764324,1.6920296,33.038513
101.81543,0.012770113,0.0021020183,140.15004,138.3603,36.254025,31.131552,63.698658,65.68099,0.29459795,1.7897317,33.245403
104.9862,0.013076632,0.002169887,144.5408,142.6507,37.354958,31.378143,65.556206,67.483574,0.3136372,1.8901067,33.44393
108.220985,0.013377662,0.0022366575,149.02695,147.03331,38.48346,31.617386,67.47347,69.27372,0.33332223,1.9936322,33.6362
111.538925,0.013675887,0.0023159839,153.60716,151.50644,39.61663,31.819279,69.4566,71.31107,0.3557517,2.1007142,33.79219
114.93411,0.01397325,0.0023997906,158.28168,156.06996,40.76132,32.000515,71.49963,73.440544,0.37984285,2.2117093,33.928566
118.392685,0.014270989,0.0024844806,163.04755,160.72069,41.9287,32.168,73.596664,75.59397,0.40508842,2.3268497,34.052216
121.91449,0.014569905,0.0025715667,167.90504,165.4587,43.118713,32.317966,75.74736,77.80038,0.43177903,2.4463606,34.15934
125.509384,0.014870518,0.0026602824,172.85416,170.28372,44.321335,32.45191,77.96181,80.04546,0.45984086,2.5704308,34.25141
129.16893,0.015173119,0.0027501052,177.89418,175.19496,45.544228,32.57029,80.231224,82.32027,0.48922768,2.6992092,34.32888
132.88742,0.0154778315,0.0028404088,183.02432,180.1915,46.792267,32.674248,82.54837,84.61361,0.51986384,2.8328197,34.39285
136.667,0.015784685,0.0029308398,188.24449,185.2731,48.0631,32.764065,84.914215,86.92003,0.5517144,2.9713798,34.443592
140.51852,0.016093623,0.0030272151,193.55493,190.43991,49.344902,32.827072,87.33633,89.34579,0.58593243,3.115,34.46841
144.43385,0.016404541,0.0031282401,198.95703,195.69322,50.6472,32.866096,89.81102,91.866844,0.6223854,3.2637987,34.47011
148.41104,0.016717235,0.0032305701,204.44957,201.03174,51.971256,32.88788,92.332825,94.422806,0.66048867,3.4178317,34.455425
152.45229,0.017031435,0.003333992,210.03195,206.45482,53.314224,32.892685,94.90375,97.01038,0.7002449,3.5771453,34.424587
156.56056,0.017346874,0.0034382567,215.70404,211.96225,54.672916,32.880722,97.52647,99.62596,0.7416459,3.7417908,34.377792
160.73112,0.017663287,0.0035436638,221.46587,217.55405,56.05199,32.851433,100.19519,102.275246,0.7848006,3.9118152,34.31447
164.96165,0.01798041,0.0036529235,227.3179,223.23065,57.45353,32.798676,102.91513,105.007126,0.83037496,4.0872693,34.228443
169.25104,0.018297983,0.0037678718,233.26112,228.99292,58.879063,32.718742,105.690216,107.853714,0.87889796,4.268208,34.116
173.60379,0.018615704,0.003884015,239.29626,234.84158,60.325653,32.62112,108.513245,110.73619,0.92943025,4.454668,33.98661
178.02159,0.018933246,0.004002972,245.42395,240.77727,61.791847,32.502472,111.3912,113.683334,0.9824252,4.646672,33.83691
182.50655,0.019250287,0.0041255276,251.64348,246.79926,63.27455,32.36085,114.32451,116.70931,1.038162,4.844209,33.66495
187.04561,0.019566508,0.004249875,257.95486,252.9076,64.78716,32.200176,117.296844,119.7829,1.0962759,5.047276,33.47462
191.64784,0.01988159,0.004375423,264.3599,259.10397,66.32248,32.021816,120.316536,122.89464,1.1566863,5.2558947,33.267284
196.31482,0.020195216,0.0045018573,270.85928,265.3892,67.87962,31.826485,123.38609,126.03986,1.2193696,5.4700613,33.043633
201.04594,0.020507107,0.0046294504,277.45273,271.76297,69.45891,31.613596,126.50355,129.22389,1.2844536,5.6897526,32.803066
205.83844,0.02081698,0.004758447,284.14102,278.22607,71.06371,31.382586,129.66873,132.45177,1.3520701,5.914958,32.545017
210.69713,0.021124577,0.004888042,290.92584,284.78015,72.690994,31.135365,132.88416,135.71048,1.4220579,6.1456857,32.271362
215.6224,0.021429641,0.0050181104,297.80783,291.42587,74.341064,30.87232,136.15016,138.99849,1.4944323,6.3819146,31.982487
220.61296,0.02173192,0.005149125,304.7875,298.16388,76.01564,30.592379,139.46593,142.32484,1.5693889,6.6236176,31.677303
225.6645,0.022031177,0.0052833334,311.86502,304.99426,77.71835,30.29076,142.82826,145.7284,1.647687,6.8707533,31.351019
230.78625,0.022327187,0.005420939,319.03848,311.91528,79.438156,29.966862,146.24435,149.21313,1.7294884,7.1232324,31.00301
235.97794,0.02261969,0.005560202,326.309,318.92798,81.17675,29.62461,149.71465,152.75003,1.8143439,7.3810077,30.6372
241.23378,0.0229084,0.005700739,333.67844,326.03442,82.94199,29.26498,153.2331,156.33344,1.9022137,7.644039,30.254547
246.5494,0.023193045,0.0058435374,341.14774,333.23544,84.73879,28.886044,156.79756,159.98058,1.9935095,7.912254,29.85311
251.93474,0.023473356,0.0059860107,348.7183,340.53268,86.55949,28.493324,160.415,163.64897,2.0874312,8.185588,29.4384
257.3885,0.02374907,0.006128369,356.39075,347.9268,88.406075,28.086605,164.08514,167.34273,2.1840937,8.463948,29.010193
262.91122,0.024019957,0.0062711197,364.1644,355.41714,90.27707,27.664726,167.80716,171.07129,2.2837183,8.747212,28.567312
268.50638,0.024285786,0.0064153206,372.03806,363.0028,92.16764,27.225399,171.5798,174.85327,2.3867433,9.035236,28.107466
274.17444,0.02454635,0.006560802,380.0102,370.68237,94.07593,26.769056,175.40797,178.68634,2.4931717,9.327863,27.631067
279.91986,0.024801437,0.006708735,388.08246,378.45743,95.9986,26.293264,179.298,182.5913,2.6035423,9.625003,27.135674
285.73328,0.025050815,0.006856653,396.25717,386.3306,97.9484,25.803679,183.23628,186.52713,2.7169979,9.926565,26.626934
291.6188,0.025294239,0.00700352,404.53476,394.30237,99.92206,25.302544,187.22733,190.47755,2.8331676,10.232399,26.107079
297.5712,0.025531488,0.0071505764,412.91595,402.37363,101.9252,24.787445,191.2675,194.46394,2.9525871,10.542359,25.573689
303.58914,0.025762375,0.007298005,421.40125,410.54498,103.95967,24.257978,195.35558,198.4905,3.0753884,10.8562975,25.026342
309.67816,0.025986703,0.0074446737,429.99097,418.8169,106.02078,23.716822,199.49321,202.53862,3.2011423,11.174047,24.467716
315.83224,0.026204294,0.007596776,438.6864,427.19092,108.113396,23.150875,203.682,206.71324,3.332602,11.495466,23.884699
322.04712,0.02641497,0.007760715,447.48798,435.66757,110.23937,22.546865,207.93117,211.12196,3.472827,11.820382,23.264
328.33722,0.02661849,0.007922582,456.3962,444.24762,112.39081,21.934376,212.23561,215.53299,3.6158366,12.148578,22.635206
334.70306,0.026814487,0.008082032,465.41177,452.93198,114.568306,21.314291,216.59581,219.94136,3.761473,12.479778,21.999184
341.14532,0.027002675,0.008238717,474.53522,461.72147,116.77211,20.68755,221.0121,224.34178,3.9095612,12.813721,21.35687
347.66077,0.027182851,0.0083976425,483.7669,470.61673,119.0039,20.043583,225.4848,228.81947,4.0625014,13.150165,20.697685
354.24905,0.027354868,0.008559282,493.11215,479.62308,121.26883,19.381807,230.01772,233.38301,4.220686,13.4890175,20.02104
360.90485,0.027518539,0.008719934,502.5732,488.74316,123.57649,18.71033,234.60283,237.97081,4.3824058,13.830082,19.335024
367.64096,0.02767368,0.00887606,512.14655,497.9736,125.912605,18.036526,239.24884,242.5244,4.5458436,14.17298,18.647017
374.45496,0.027820118,0.009037056,521.8324,507.31494,128.27533,17.340641,243.94644,247.2029,4.7158284,14.517439,17.937252
381.3666,0.027957743,0.009211626,531.63196,516.76874,130.64186,16.604656,248.71832,252.1533,4.8971944,14.863231,17.1877
388.3566,0.028086392,0.009383151,541.5409,526.331,133.03574,15.863602,253.5455,257.09735,5.0813603,15.2099285,16.43339
395.4171,0.028205717,0.0095534315,551.5602,536.00305,135.46527,15.113874,258.41812,262.066,5.2692924,15.55715,15.670708
402.5445,0.028315485,0.009721162,561.6935,545.7888,137.93858,14.358498,263.3342,267.03802,5.460313,15.904623,14.902669
409.75598,0.028415525,0.009882302,571.94226,555.69025,140.44273,13.606142,268.3122,271.94565,5.6521063,16.25204,14.137941
417.0541,0.0285057,0.010038573,582.30664,565.7076,142.97464,12.853367,273.35425,276.81833,5.845528,16.59906,13.373075
424.44592,0.02858598,0.010216896,592.78723,575.84186,145.5126,12.043728,278.476,282.11398,6.0564456,16.945404,12.551618
431.89734,0.028656375,0.010399366,603.37946,586.08875,148.0965,11.215046,283.64246,287.53055,6.274763,17.290668,11.711388
439.43372,0.028716559,0.010574824,614.08746,596.453,150.71191,10.390938,288.86923,292.8792,6.493867,17.63448,10.875994
447.0482,0.028766217,0.010746658,624.9107,606.9343,153.36366,9.564615,294.15057,298.21744,6.715701,17.976315,10.038643
454.77087,0.0288052,0.010918921,635.85144,617.5356,156.02191,8.727584,299.512,303.6162,6.9428115,18.315828,9.190831
462.6084,0.028833421,0.01109709,646.9073,628.25476,158.67453,7.868703,304.9582,309.16937,7.1787887,18.65255,8.321419
470.5312,0.028850805,0.011272825,658.0743,639.0883,161.35281,7.005545,310.4622,314.73553,7.418357,18.985973,7.447967
478.54025,0.028857183,0.01144137,669.3542,650.03845,164.06093,6.148279,316.0236,320.2334,7.6583285,19.315676,6.5806417
486.63794,0.028852433,0.011601158,680.7479,661.1067,166.79912,5.300399,321.64258,325.6357,7.8974648,19.641233,5.72293
494.82715,0.028836578,0.011751498,692.2569,672.29456,169.56697,4.4635296,327.32098,330.93054,8.135056,19.962318,4.876454
503.1085,0.028809702,0.01189268,703.88226,683.6036,172.36523,3.6374352,333.0582,336.12137,8.371046,20.278637,4.040971
511.48184,0.028771985,0.012025501,715.6238,695.0339,175.19391,2.8206213,338.85156,341.22177,8.605734,20.589914,3.2149806
519.95514,0.028723625,0.012141894,727.4794,706.5835,178.04907,2.0304122,344.72372,346.08862,8.832976,20.895842,2.4158049
528.55927,0.028664866,0.012237524,739.449,718.25275,180.90376,1.276323,350.70215,350.64294,9.049025,21.196207,1.6529529
537.27045,0.028596062,0.012306504,751.5283,730.0376,183.78299,0.5714925,356.77036,354.77487,9.248686,21.490753,0.9395585
546.1506,0.02851771,0.01225746,763.7162,741.93677,186.6919,0.112012446,363.01193,356.84158,9.36122,21.779438,0.47170952
555.1372,0.028430464,0.0120471455,776.0096,753.94727,189.72711,0.0,369.37592,355.99527,9.3487,22.062311,0.35151836
564.2114,0.028336374,0.011789834,788.439,766.0975,192.85388,0.0,375.8361,354.21964,9.295565,22.341501,0.3435256
573.38806,0.028239045,0.0115378145,801.0072,778.38745,196.01862,0.0,382.39212,352.45297,9.241872,22.619678,0.33571473
582.6621,0.028141627,0.011291017,813.71204,790.81287,199.22165,0.0,389.0454,350.6951,9.187636,22.899181,0.3280814
592.0335,0.028046116,0.0110493,826.55334,803.37164,202.46147,0.0,395.79593,348.946,9.132836,23.18161,0.32062155
601.5045,0.027953763,0.010812577,839.5299,816.06195,205.73372,0.0,402.63968,347.20557,9.077481,23.46802,0.31333125
611.0743,0.027865263,0.010580756,852.64087,828.8818,209.03734,0.0,409.576,345.47385,9.021585,23.759064,0.30620688
620.7425,0.02778094,0.010353737,865.8855,841.8303,212.37175,0.0,416.6044,343.75082,8.965151,24.055113,0.29924446
630.5075,0.027700868,0.010131402,879.2634,854.90704,215.73814,0.0,423.72534,342.0363,8.908171,24.35636,0.2924403
640.36487,0.027624965,0.009913702,892.77496,868.1121,219.14107,0.0,430.94098,340.3304,8.850705,24.662878,0.28579083
650.32104,0.027553037,0.009700501,906.421,881.4463,222.57478,0.0,438.24997,338.63303,8.792738,24.974648,0.2792926
660.3761,0.027484851,0.009491713,920.20105,894.9095,226.03908,0.0,445.65204,336.944,8.734283,25.291586,0.27294213
670.52423,0.027420135,0.009287285,934.11395,908.50037,229.53856,0.0,453.14374,335.2635,8.675382,25.613531,0.26673612
680.7543,0.027358608,0.009087094,948.1596,922.21924,233.08469,0.0,460.71875,333.5913,8.616015,25.940325,0.26067114
