kplusy,lambd_haty,muy,nuAT_haty,nuUO_haty,nuLO_haty,etaAT_haty,etaOC_haty
227.90518,0.986666,0.22524545,2.4331007,-1.7459842,-0.45035172,-0.10428396,-0.556815
233.18118,0.9957365,0.23047142,2.4263272,-1.7366508,-0.44682315,-0.106431656,-0.55580276
238.8721,1.0035138,0.23558015,2.420015,-1.7283055,-0.44362423,-0.10818402,-0.5549309
244.95166,1.0101743,0.24104597,2.4136508,-1.7203015,-0.4405818,-0.10986462,-0.5541711
251.40746,1.0157386,0.24636018,2.4077308,-1.7129837,-0.43779173,-0.11136855,-0.5534577
258.23654,1.0202204,0.25176656,2.4015274,-1.7057964,-0.43501744,-0.112634495,-0.55273527
265.39746,1.0241109,0.25683665,2.396457,-1.6996187,-0.43254253,-0.11360349,-0.55222625
272.8692,1.027699,0.26168048,2.3924856,-1.6943086,-0.43035114,-0.114514224,-0.55206317
280.67117,1.0303423,0.26702744,2.3884351,-1.6890166,-0.42821282,-0.11554509,-0.55187345
288.78473,1.0324603,0.27251327,2.38473,-1.6841546,-0.42626902,-0.116548404,-0.55167073
297.18445,1.0342344,0.27803138,2.3817127,-1.6797796,-0.42444286,-0.11745888,-0.55163366
305.85693,1.0357757,0.2835029,2.3793619,-1.675906,-0.42272285,-0.1183811,-0.551767
314.8009,1.0368497,0.28958926,2.3771503,-1.6722138,-0.42102805,-0.119426176,-0.55179477
323.99405,1.0375777,0.2958874,2.3752015,-1.6688832,-0.41955316,-0.120389655,-0.55199105
333.4343,1.038168,0.30222347,2.3737252,-1.6659058,-0.41816792,-0.121308446,-0.55228645
343.11905,1.0386399,0.30867,2.3726544,-1.6632409,-0.416879,-0.122222885,-0.55270845
353.04025,1.0388889,0.31519076,2.3719847,-1.6608251,-0.41572973,-0.12315815,-0.5531427
363.19067,1.0390369,0.32176363,2.3716183,-1.6586604,-0.41465068,-0.12415703,-0.553588
373.56674,1.039161,0.32836172,2.3714862,-1.6567339,-0.4136182,-0.12519827,-0.5541214
384.16678,1.0392444,0.33497274,2.3715951,-1.6550187,-0.41264912,-0.12621918,-0.5546817
394.99872,1.039179,0.34185195,2.371852,-1.6535975,-0.41183075,-0.12722626,-0.55527043
406.0499,1.0390648,0.3489379,2.3723338,-1.6524307,-0.41111097,-0.12823968,-0.555844
417.31488,1.0389314,0.3560854,2.3729668,-1.6514412,-0.41039723,-0.1292181,-0.5564057
428.79037,1.0387619,0.3632868,2.3737204,-1.6505893,-0.40972617,-0.13019748,-0.556968
440.47314,1.0385343,0.37053412,2.3745856,-1.6498317,-0.4091141,-0.13118343,-0.557532
452.3651,1.0383029,0.37784106,2.3755362,-1.6491619,-0.40853274,-0.13215557,-0.55809975
464.46814,1.0380919,0.38531995,2.376775,-1.648657,-0.40804437,-0.13307583,-0.55867916
476.78555,1.0379148,0.39304188,2.3784194,-1.6483601,-0.40768436,-0.13392209,-0.5592745
489.31915,1.0377336,0.40082526,2.3801315,-1.6481409,-0.40735152,-0.13475458,-0.55987006
502.06223,1.0375375,0.40873498,2.381959,-1.6480559,-0.40704516,-0.13566317,-0.56049836
515.0115,1.0373135,0.4168016,2.383847,-1.6481067,-0.40677646,-0.13666274,-0.56117374
528.17645,1.0371721,0.42495444,2.3857732,-1.648221,-0.40656045,-0.13765065,-0.56186426
541.5598,1.03704,0.43317252,2.387738,-1.6483926,-0.40637028,-0.13862243,-0.56255084
555.1566,1.0369072,0.44144583,2.3897612,-1.6486322,-0.4062052,-0.13957432,-0.5632317
568.9693,1.036782,0.44978645,2.3918145,-1.6489221,-0.4060599,-0.14050916,-0.5639058
583.00684,1.0366869,0.45820564,2.3939407,-1.649305,-0.40593913,-0.14142291,-0.56458974
597.27155,1.0365882,0.46667534,2.3960958,-1.6497369,-0.4058389,-0.14231898,-0.5652641
