,foc_kplus,foc_lambd,kkt_mu_fb,foc_TATplus,foc_MATplus,foc_MUOplus,foc_MLOplus,foc_TOCplus
count,5.120e+03,5.120e+03,5.120e+03,5.120e+03,5.120e+03,5.120e+03,5.120e+03,5.120e+03
mean,2.150e-04,3.302e-04,3.547e-04,1.471e-04,5.576e-04,1.825e-04,4.851e-05,8.117e-05
std,2.027e-04,1.022e-04,2.568e-04,1.414e-04,1.613e-04,8.695e-05,3.209e-05,4.403e-05
min,2.384e-07,2.861e-06,0.000e+00,6.855e-07,6.080e-05,3.576e-07,5.960e-07,1.073e-06
0.1%,2.384e-07,2.861e-06,0.000e+00,6.855e-07,6.080e-05,3.576e-07,5.960e-07,1.073e-06
25%,4.402e-05,2.451e-04,1.498e-04,4.339e-05,4.137e-04,1.170e-04,2.161e-05,4.970e-05
50%,1.333e-04,3.688e-04,2.597e-04,9.584e-05,6.237e-04,1.801e-04,4.347e-05,7.981e-05
75%,3.909e-04,4.078e-04,5.965e-04,2.084e-04,6.854e-04,2.624e-04,7.562e-05,1.219e-04
99.9%,8.541e-04,4.673e-04,9.952e-04,5.970e-04,7.753e-04,4.803e-04,1.486e-04,1.631e-04
max,8.541e-04,4.673e-04,9.952e-04,5.970e-04,7.753e-04,4.803e-04,1.486e-04,1.631e-04
