kx,MATx,MUOx,MLOx,TATx,TOCx,taux
223.00183,851.0,983.0,1377.0,1.1,0.27,0.0
227.82329,853.2616,987.276,1378.9583,1.1503882,0.27571872,0.014888048
233.10123,855.6724,991.43427,1380.9507,1.1907982,0.2817452,0.029554427
238.79385,858.2157,995.49475,1382.9758,1.2239169,0.28800857,0.044002473
244.87477,860.87146,999.47485,1385.0323,1.2517289,0.294457,0.058235407
251.33214,863.62726,1003.3891,1387.1191,1.275692,0.3010526,0.072256446
258.16226,866.4698,1007.2502,1389.2354,1.2968798,0.30776787,0.08606875
265.32437,869.39197,1011.0687,1391.3802,1.3160785,0.31458285,0.09967542
272.79703,872.3864,1014.85394,1393.553,1.3338666,0.32148317,0.11307949
280.59976,875.43823,1018.61395,1395.7533,1.3506671,0.3284585,0.126284
288.71414,878.53827,1022.3552,1397.9806,1.366781,0.3355015,0.13929194
297.1144,881.67944,1026.0829,1400.2345,1.3824234,0.34260702,0.15210623
305.78766,884.8559,1029.8013,1402.5146,1.3977475,0.34977135,0.16472971
314.73196,888.0547,1033.514,1404.8209,1.4128618,0.35699192,0.17716527
323.92532,891.26825,1037.2234,1407.1528,1.427835,0.36426687,0.1894157
333.36603,894.4919,1040.9307,1409.5105,1.442711,0.37159485,0.20148373
343.05103,897.72015,1044.6372,1411.8934,1.4575183,0.37897483,0.21337211
352.9727,900.94855,1048.3434,1414.3018,1.4722731,0.386406,0.22508347
363.1234,904.17303,1052.0497,1416.7351,1.4869831,0.39388764,0.23662049
373.49966,907.39026,1055.7559,1419.1932,1.5016507,0.40141907,0.24798572
384.09995,910.5971,1059.4613,1421.6763,1.5162747,0.40899968,0.25918174
394.93173,913.7873,1063.1656,1424.184,1.5308514,0.4166288,0.2702111
405.98315,916.95575,1066.8677,1426.716,1.5453725,0.4243058,0.28107625
417.24832,920.09955,1070.5662,1429.2723,1.5598276,0.43202993,0.29177964
428.72388,923.21594,1074.2595,1431.8527,1.5742061,0.43980047,0.3023237
440.4069,926.3023,1077.9463,1434.4569,1.5884982,0.44761652,0.31271076
452.2987,929.35614,1081.6248,1437.0848,1.6026946,0.45547718,0.32294315
464.40186,932.3733,1085.2931,1439.736,1.6167861,0.4633815,0.33302325
476.7195,935.3487,1088.9495,1442.4104,1.6307625,0.47132847,0.34295326
489.25314,938.2802,1092.5914,1445.1075,1.6446122,0.47931698,0.35273546
501.9959,941.16486,1096.217,1447.8274,1.6583247,0.48734587,0.36237198
514.9454,943.9991,1099.8237,1450.5693,1.6718898,0.49541393,0.37186503
