kplusy,lambd_haty,nuAT_haty,nuUO_haty,nuLO_haty,etaAT_haty,etaOC_haty
228.32011,0.9804966,0.92525053,-0.67218137,-0.0018202793,-0.03424152,-0.23636
234.03508,0.98696715,0.92443264,-0.6694679,-0.0018118313,-0.034920037,-0.23713247
240.16776,0.99239063,0.92374396,-0.6670626,-0.0018345509,-0.03548624,-0.23783179
246.6826,0.99698097,0.92322624,-0.6649594,-0.0018025404,-0.036061864,-0.23869483
253.56258,1.0008249,0.92302483,-0.6632561,-0.0017761774,-0.036616568,-0.23963292
260.789,1.0039604,0.9230828,-0.66163516,-0.0017113136,-0.037096396,-0.24071278
268.3462,1.0065298,0.9234144,-0.6603773,-0.0016623558,-0.037593756,-0.24186547
276.21976,1.0086052,0.9239927,-0.65943664,-0.0016274201,-0.038111623,-0.24309336
284.39587,1.0102524,0.9247913,-0.658771,-0.0016044611,-0.03865253,-0.24439228
292.862,1.0115306,0.92578536,-0.6583427,-0.0015918035,-0.039215494,-0.24575955
301.6071,1.0124918,0.92695445,-0.6581219,-0.0015884563,-0.039800033,-0.24719074
310.624,1.0131844,0.9283263,-0.6580927,-0.0015931698,-0.04038918,-0.24871466
319.90546,1.013624,0.92989284,-0.65825355,-0.0016062846,-0.040988356,-0.25033796
329.44427,1.0138538,0.9316049,-0.65856594,-0.0016263248,-0.041601337,-0.25202933
339.23282,1.0139107,0.9334269,-0.65899956,-0.0016519492,-0.04222945,-0.25376666
349.26535,1.0138226,0.93534434,-0.6595377,-0.0016824873,-0.04287116,-0.2555462
359.5366,1.0136127,0.9373447,-0.6601655,-0.0017172974,-0.043524805,-0.257362
370.0422,1.0133014,0.9394178,-0.6608732,-0.001754553,-0.044188313,-0.25921172
380.77835,1.0129051,0.9415544,-0.66164875,-0.0017954623,-0.044861577,-0.2610892
391.74216,1.0124394,0.94374645,-0.662484,-0.0018382492,-0.04554222,-0.26299357
402.93088,1.0119165,0.94598746,-0.6633715,-0.0018828791,-0.04623011,-0.26492038
414.3425,1.0113479,0.94827116,-0.6643048,-0.0019295821,-0.04692329,-0.26686704
425.9761,1.0107421,0.95059174,-0.6652779,-0.0019777715,-0.047622148,-0.2688318
437.83017,1.0101055,0.95294595,-0.66628724,-0.0020275945,-0.048324473,-0.27081317
449.90424,1.0094465,0.9553298,-0.66732836,-0.0020781578,-0.04903102,-0.27280778
462.19806,1.008769,0.9577395,-0.66839886,-0.002129021,-0.04974045,-0.2748158
474.7111,1.0080789,0.9601725,-0.669494,-0.0021819733,-0.050451666,-0.2768351
487.44412,1.0073794,0.9626267,-0.6706122,-0.0022342894,-0.051165543,-0.27886522
500.3935,1.0066773,0.96506774,-0.67176557,-0.0022506295,-0.051853906,-0.28092957
513.55994,1.0059764,0.9675225,-0.6729357,-0.0022662235,-0.052542284,-0.28300345
526.9441,1.0052776,0.9699907,-0.6741216,-0.0022821575,-0.053231016,-0.28508282
540.54755,1.0045834,0.9724704,-0.67532235,-0.002298018,-0.053919937,-0.28716856
554.3671,1.0039003,0.97493815,-0.67651325,-0.0023009805,-0.054617446,-0.28927964
568.39795,1.0032339,0.97737277,-0.67767227,-0.0023076935,-0.055310804,-0.29139754
582.6422,1.0025835,0.97981185,-0.67883885,-0.0023141634,-0.056003317,-0.29351693
597.1026,1.0019493,0.9822548,-0.68001103,-0.0023205979,-0.056694597,-0.29563838
611.7814,1.00133,0.9847023,-0.6811921,-0.0023267716,-0.057384565,-0.2977621
626.6803,1.0007242,0.98715323,-0.68237936,-0.002333006,-0.058073416,-0.29988682
641.8017,1.0001339,0.989612,-0.68357915,-0.0023401575,-0.058763403,-0.302018
657.1449,0.999568,0.99210256,-0.68483627,-0.0023780754,-0.05947611,-0.30419865
672.7025,0.999015,0.99457496,-0.6860752,-0.0024211807,-0.060178455,-0.30636227
688.465,0.9984864,0.99702483,-0.68729824,-0.0024626236,-0.060875673,-0.30850983
704.43726,0.9979881,0.9994703,-0.6885188,-0.0025041131,-0.06157046,-0.3106542
720.6224,0.99751496,1.0019119,-0.6897403,-0.0025457311,-0.062262353,-0.31279737
737.0246,0.9970656,1.0043515,-0.69096255,-0.0025863843,-0.0629519,-0.31493753
753.64703,0.9966374,1.0067885,-0.69218636,-0.0026277732,-0.06363907,-0.3170751
770.49023,0.996216,1.0092018,-0.69345444,-0.002672161,-0.0643213,-0.31923297
787.55707,0.99580777,1.0116022,-0.6947436,-0.0027180696,-0.06499987,-0.32139915
804.8501,0.9954175,1.0140018,-0.69603527,-0.00276413,-0.06567545,-0.3235637
822.3719,0.9950438,1.0164003,-0.6973293,-0.0028096735,-0.06634906,-0.3257262
840.125,0.9946858,1.0187988,-0.6986267,-0.0028548585,-0.06701943,-0.32788587
858.11316,0.99434197,1.0211966,-0.69992745,-0.0029009208,-0.06768754,-0.33004415
876.3365,0.9940106,1.0235949,-0.7012323,-0.0029457808,-0.068353735,-0.33220118
894.79584,0.99368614,1.0259684,-0.7025815,-0.002978471,-0.06900188,-0.33439252
913.48047,0.9934373,1.0283087,-0.7040063,-0.0030053258,-0.069677666,-0.3365729
932.3833,0.99326366,1.0306165,-0.70548224,-0.0030294424,-0.07037922,-0.33873266
951.50836,0.993114,1.0329188,-0.70695543,-0.0030537937,-0.07107748,-0.34088716
970.86,0.9929856,1.0352149,-0.70842636,-0.0030776495,-0.07177281,-0.34303665
990.443,0.99287575,1.0375074,-0.70989686,-0.0031012641,-0.07246444,-0.34518218
1010.26044,0.99278235,1.0397966,-0.7113657,-0.0031252764,-0.073152825,-0.34732333
1030.3143,0.9927037,1.0420828,-0.7128357,-0.003148364,-0.07383799,-0.34946057
1050.6096,0.99263936,1.044366,-0.7143048,-0.0031720847,-0.074519984,-0.35159412
1071.1473,0.9925866,1.0466472,-0.715776,-0.003195391,-0.07519802,-0.35372385
1091.9299,0.9925447,1.0489258,-0.71724844,-0.0032181796,-0.07587333,-0.35584947
1112.9587,0.9925135,1.0512028,-0.7187222,-0.0032414468,-0.07654495,-0.35797206
1134.2383,0.9924921,1.0534778,-0.7201963,-0.0032638833,-0.07721326,-0.3600906
1155.7687,0.9924795,1.0557511,-0.7216724,-0.0032867212,-0.07787793,-0.362205
1177.5519,0.9924745,1.0580227,-0.7231511,-0.0033097314,-0.07853901,-0.36431634
1199.5896,0.99247843,1.0602922,-0.72463024,-0.0033314722,-0.079197206,-0.3664243
1221.8851,0.99248976,1.0625601,-0.72611,-0.0033543408,-0.07985142,-0.36852753
1244.4379,0.99250704,1.0648265,-0.72759306,-0.0033756616,-0.08050252,-0.37062752
1267.2509,0.99253166,1.0670907,-0.72907704,-0.00339761,-0.08114901,-0.3727232
1290.3239,0.99256325,1.069353,-0.73056173,-0.0034195278,-0.08179314,-0.3748143
1313.6603,0.9926005,1.071613,-0.7320466,-0.003441113,-0.08243298,-0.3769015
