,foc_kplus,foc_lambd,foc_TATplus,foc_MATplus,foc_MUOplus,foc_MLOplus,foc_TOCplus
count,5.120e+03,5.120e+03,5.120e+03,5.120e+03,5.120e+03,5.120e+03,5.120e+03
mean,2.780e-04,8.400e-04,3.862e-04,2.432e-04,2.314e-04,2.628e-05,7.105e-05
std,1.368e-04,2.195e-04,2.089e-04,1.733e-04,1.443e-04,1.610e-05,5.291e-05
min,4.292e-06,1.216e-05,2.608e-07,1.073e-06,1.848e-06,6.263e-08,8.941e-08
0.1%,4.292e-06,1.216e-05,2.608e-07,1.073e-06,1.848e-06,6.263e-08,8.941e-08
25%,1.785e-04,7.281e-04,2.179e-04,1.017e-04,1.360e-04,1.188e-05,3.187e-05
50%,2.792e-04,8.080e-04,4.078e-04,2.223e-04,2.340e-04,2.609e-05,6.872e-05
75%,3.909e-04,8.649e-04,5.215e-04,3.003e-04,2.900e-04,3.758e-05,8.719e-05
99.9%,7.142e-04,1.808e-03,8.741e-04,8.782e-04,7.722e-04,6.063e-05,2.575e-04
max,7.142e-04,1.808e-03,8.741e-04,8.782e-04,7.722e-04,6.063e-05,2.575e-04
