con,Omega,Theta,ygross,ynet,inv,Eind,scc,carbontax,Abatement,Dam,Emissions
77.11079,0.0028556,0.00014813399,105.17594,104.8756,27.749283,33.470592,18.291817,12.003743,0.015580132,0.3003404,36.070595
79.70158,0.0031179856,0.00016249556,108.72541,108.386406,28.667217,33.925667,18.843174,12.801958,0.017667394,0.33900425,36.46655
82.36018,0.003347494,0.00017609024,112.36213,111.986,29.606106,34.386723,19.4172,13.551356,0.019785875,0.37613153,36.86983
85.08813,0.0035513986,0.00018914086,116.09205,115.679756,30.56974,34.852165,20.014154,14.266851,0.021957751,0.41228914,37.278812
87.88891,0.0037358473,0.00020188182,119.91891,119.4709,31.557877,35.32005,20.636627,14.9620905,0.024209445,0.4479987,37.691525
90.76466,0.0039058456,0.00021452476,123.845184,123.361465,32.57034,35.788284,21.286245,15.648477,0.026567858,0.48372012,38.105835
93.7164,0.0040653744,0.00022725352,127.87214,127.352295,33.60695,36.254913,21.963932,16.335289,0.029059393,0.5198481,38.519768
96.7445,0.004217551,0.00024022462,132.0004,131.44368,34.667603,36.718052,22.670084,17.03003,0.031709746,0.5567184,38.93141
99.848755,0.0043647876,0.00025356942,136.22987,135.63525,35.752113,37.17582,23.404802,17.738718,0.03454373,0.5946145,39.338852
103.0287,0.0045089307,0.00026740003,140.5601,139.92633,36.86022,37.626507,24.167908,18.466223,0.037585776,0.6337758,39.74036
106.28359,0.004651388,0.0002818131,144.99039,144.31598,37.991722,38.068714,24.959074,19.216503,0.040860187,0.6744066,40.134502
109.6126,0.0047932216,0.00029688978,149.51978,148.80309,39.146324,38.50076,25.777897,19.992798,0.044390894,0.71668136,40.519573
113.014885,0.004935223,0.00031270285,154.1474,153.38666,40.32381,38.92156,26.623924,20.797745,0.04820233,0.76075184,40.894478
116.48957,0.00507798,0.00032931558,158.87228,158.06555,41.523914,39.329704,27.49667,21.633615,0.05231912,0.8067503,41.257763
120.03571,0.0052219224,0.00034678643,163.69336,162.83856,42.74638,39.724285,28.395668,22.502281,0.056766637,0.854794,41.608505
123.65244,0.0053673554,0.00036517004,168.6098,167.7048,43.99113,40.104107,29.320436,23.405535,0.061571244,0.90498877,41.94548
127.33904,0.0055144886,0.0003845203,173.6209,172.66345,45.25802,40.468506,30.270596,24.344923,0.066760756,0.9574304,42.268013
131.09558,0.0056634643,0.0004048802,178.72585,177.71365,46.546112,40.81645,31.245674,25.321693,0.072362565,1.0122075,42.57504
134.9224,0.005814364,0.0004263098,183.92416,182.85477,47.85442,41.147385,32.24523,26.337543,0.07840867,1.0694021,42.86599
138.81784,0.0059672287,0.00044883735,189.21544,188.08635,49.18409,41.460567,33.269215,27.39309,0.084926955,1.1290919,43.1401
142.7815,0.0061220634,0.00047250095,194.59933,193.40799,50.535103,41.75563,34.317413,28.489176,0.091948375,1.1913494,43.396973
146.81297,0.0062788483,0.00049734255,200.07536,198.8191,51.907246,42.03202,35.38961,29.626835,0.09950598,1.2562429,43.63604
150.91585,0.0064375475,0.0005234364,205.6435,204.31966,53.296852,42.289013,36.48907,30.80828,0.107641295,1.3238398,43.856564
155.08646,0.006598101,0.00055078906,211.30371,209.90948,54.70742,42.526543,37.612495,32.033188,0.11638377,1.3942032,44.058445
159.32455,0.006760441,0.00057943165,217.05586,215.58846,56.138985,42.74413,38.759743,33.30224,0.12576903,1.4673935,44.2412
163.62996,0.006924493,0.0006094042,222.9001,221.35663,57.591778,42.94171,39.930695,34.616245,0.13583624,1.5434703,44.404747
168.00244,0.007090169,0.00064074056,228.8364,227.21391,59.06587,43.11877,41.12524,35.976063,0.14662477,1.6224886,44.54854
172.44226,0.00725738,0.0006734698,234.865,233.16049,60.56119,43.275402,42.34341,37.382122,0.15817448,1.7045045,44.672665
176.94943,0.007426031,0.0007076122,240.98611,239.19655,62.077827,43.411224,43.58516,38.83484,0.17052472,1.7895703,44.77671
181.5239,0.007596021,0.0007432006,247.19992,245.32219,63.61596,43.52626,44.850468,40.33485,0.18371914,1.8777359,44.860703
186.16573,0.0077672484,0.0007802557,253.50662,251.53757,65.175575,43.620316,46.13933,41.882557,0.1978,1.9690489,44.924408
190.87503,0.007939608,0.00081879675,259.90656,257.843,66.756836,43.693443,47.45177,43.478218,0.21281062,2.0635562,44.967888
195.6521,0.008112995,0.0008588408,266.40018,264.23886,68.35983,43.745567,48.787872,45.122173,0.22879535,2.1613033,44.99103
200.49706,0.0082873,0.0009004032,272.9878,270.72546,69.98464,43.776672,50.147705,46.81467,0.2457991,2.262332,44.993824
205.41006,0.008462419,0.00094349583,279.66998,277.3033,71.63161,43.78692,51.531322,48.555855,0.26386747,2.3666847,44.97639
