kplusy,lambd_haty,muy,nuAT_haty,nuUO_haty,nuLO_haty,etaAT_haty,etaOC_haty
228.4907,0.9831788,0.09158962,0.8894083,-0.6513789,-0.0022239524,-0.032216568,-0.20480604
234.18176,0.9890448,0.09564852,0.8890186,-0.64808077,-0.0020011356,-0.032761004,-0.20527886
240.19115,0.994277,0.09942071,0.8888275,-0.6452885,-0.0019308565,-0.03328534,-0.20586796
246.53668,0.9989025,0.10299115,0.8888029,-0.64291245,-0.0018719885,-0.033787217,-0.2064361
253.22714,1.0029144,0.10643198,0.88897806,-0.6409383,-0.0018253351,-0.034281947,-0.20701022
260.2648,1.0063317,0.10980047,0.88936627,-0.6393418,-0.0017910594,-0.034779884,-0.2076079
267.64658,1.0091894,0.11314115,0.8899677,-0.638093,-0.0017679959,-0.035287876,-0.20823886
275.3671,1.0115333,0.11648852,0.8907738,-0.63715947,-0.0017554393,-0.035809133,-0.20890835
283.41797,1.0134126,0.119869046,0.8917726,-0.63650817,-0.0017523404,-0.036345616,-0.20961793
291.78992,1.0148776,0.123303145,0.89294744,-0.63610804,-0.0017577553,-0.036897816,-0.21036679
300.47318,1.0159789,0.1268065,0.8942821,-0.63592803,-0.0017703961,-0.03746532,-0.21115339
309.45758,1.0167629,0.13039117,0.89575976,-0.6359405,-0.0017893758,-0.03804679,-0.21197432
318.73352,1.017273,0.13406625,0.8973636,-0.63612014,-0.0018135194,-0.038641185,-0.21282694
328.29156,1.0175492,0.13783903,0.8990785,-0.63644373,-0.0018421361,-0.039247066,-0.21370746
338.12228,1.0176268,0.14171483,0.90089077,-0.6368911,-0.0018743888,-0.0398629,-0.21461228
348.2184,1.0175396,0.14569846,0.9027866,-0.6374438,-0.0019098603,-0.040488455,-0.21553943
358.57208,1.0173147,0.14979361,0.9047549,-0.63808644,-0.0019490347,-0.04112306,-0.21648623
369.17728,1.0169684,0.15400265,0.9067913,-0.6388135,-0.0019753005,-0.041743487,-0.21744694
