foc_kplus,foc_lambd,kkt_mu_fb,foc_TATplus,foc_MATplus,foc_MUOplus,foc_MLOplus,foc_TOCplus
1.324e-03,5.226e-04,3.228e-03,7.197e-04,8.938e-04,9.320e-04,1.983e-04,1.974e-04
7.391e-04,6.714e-04,3.087e-03,8.256e-04,7.223e-04,6.250e-04,4.632e-05,2.425e-04
2.376e-04,1.294e-03,2.981e-03,8.976e-04,5.395e-04,4.015e-04,3.540e-05,1.545e-04
1.405e-04,1.578e-03,2.903e-03,9.588e-04,4.171e-04,1.860e-04,2.367e-05,9.815e-05
4.220e-04,1.637e-03,2.845e-03,1.009e-03,3.381e-04,1.150e-05,1.185e-05,6.440e-05
6.274e-04,1.553e-03,2.804e-03,1.048e-03,2.912e-04,1.853e-04,1.201e-06,4.554e-05
7.740e-04,1.391e-03,2.774e-03,1.075e-03,2.670e-04,3.328e-04,8.643e-06,3.685e-05
8.731e-04,1.189e-03,2.752e-03,1.092e-03,2.601e-04,4.535e-04,1.742e-05,3.457e-05
9.348e-04,9.801e-04,2.735e-03,1.100e-03,2.642e-04,5.492e-04,2.515e-05,3.603e-05
9.688e-04,7.820e-04,2.722e-03,1.099e-03,2.773e-04,6.201e-04,3.162e-05,4.011e-05
9.794e-04,6.046e-04,2.709e-03,1.089e-03,2.962e-04,6.694e-04,3.706e-05,4.481e-05
9.731e-04,4.559e-04,2.697e-03,1.074e-03,3.187e-04,6.995e-04,4.131e-05,5.051e-05
9.538e-04,3.371e-04,2.682e-03,1.052e-03,3.440e-04,7.124e-04,4.484e-05,5.582e-05
9.242e-04,2.496e-04,2.666e-03,1.025e-03,3.714e-04,7.110e-04,4.747e-05,6.071e-05
8.899e-04,1.938e-04,2.646e-03,9.950e-04,3.996e-04,6.968e-04,4.962e-05,6.661e-05
8.492e-04,1.612e-04,2.622e-03,9.615e-04,4.303e-04,6.733e-04,5.235e-05,7.261e-05
7.976e-04,1.557e-04,2.595e-03,9.083e-04,4.528e-04,6.496e-04,3.856e-05,7.342e-05
7.333e-04,1.626e-04,2.562e-03,8.355e-04,4.494e-04,6.328e-04,3.069e-06,6.790e-05
6.825e-04,1.717e-04,2.525e-03,8.086e-04,4.295e-04,5.900e-04,1.641e-06,6.431e-05
