,foc_kplus,foc_lambd,kkt_mu_fb,foc_TATplus,foc_MATplus,foc_MUOplus,foc_MLOplus,foc_TOCplus
count,5.120e+03,5.120e+03,5.120e+03,5.120e+03,5.120e+03,5.120e+03,5.120e+03,5.120e+03
mean,2.354e-04,5.381e-04,1.418e-03,4.635e-04,2.162e-04,3.057e-04,3.973e-05,5.880e-05
std,2.113e-04,1.890e-04,1.385e-03,2.619e-04,1.404e-04,1.652e-04,2.853e-05,3.729e-05
min,3.576e-06,1.557e-04,0.000e+00,4.232e-06,2.623e-06,1.192e-07,1.430e-07,1.311e-06
0.1%,3.576e-06,1.557e-04,0.000e+00,4.232e-06,2.623e-06,1.192e-07,1.430e-07,1.311e-06
25%,1.008e-04,4.480e-04,0.000e+00,2.499e-04,1.053e-04,1.819e-04,1.684e-05,3.093e-05
50%,1.785e-04,4.998e-04,1.241e-03,4.752e-04,1.916e-04,3.229e-04,3.791e-05,5.348e-05
75%,3.123e-04,6.045e-04,2.649e-03,6.692e-04,3.234e-04,4.034e-04,5.838e-05,7.557e-05
99.9%,1.324e-03,1.637e-03,4.458e-03,1.100e-03,8.938e-04,9.320e-04,1.983e-04,2.425e-04
max,1.324e-03,1.637e-03,4.458e-03,1.100e-03,8.938e-04,9.320e-04,1.983e-04,2.425e-04
