con,Omega,Theta,ygross,ynet,inv,Eind,scc,carbontax,Abatement,Dam,Emissions
77.12665,0.0028556,0.00020590199,105.17594,104.8756,27.72737,33.014957,17.279884,14.700102,0.021655936,0.3003404,35.61496
79.65222,0.0031232077,0.00023473162,108.717094,108.37755,28.699888,33.37788,17.725943,16.05358,0.02551934,0.33954605,35.918762
82.26603,0.00335305,0.00026121308,112.37007,111.99328,29.698004,33.76739,18.206146,17.273224,0.02935253,0.37678245,36.2505
84.978935,0.0035533116,0.00028637782,116.12715,115.71451,30.702427,34.170307,18.720562,18.415865,0.033256244,0.41263592,36.596954
87.78876,0.0037309711,0.00031051878,119.989075,119.5414,31.715519,34.582596,19.269981,19.501293,0.037258863,0.44767576,36.95407
90.67572,0.0038917237,0.00033336176,123.956314,123.4739,32.757023,35.004086,19.849007,20.524866,0.041322295,0.4824037,37.321644
93.637405,0.0040400983,0.0003547118,128.02419,127.50695,33.824326,35.433083,20.450033,21.484276,0.045411695,0.51723033,37.69794
96.68794,0.004179637,0.00037487078,132.1896,131.6371,34.899803,35.865654,21.083015,22.394796,0.04955402,0.55250454,38.079014
99.82684,0.0043130782,0.00039468883,136.45215,135.86362,35.983154,36.295654,21.746704,23.290201,0.05385614,0.5885288,38.458687
103.034225,0.0044425186,0.00041296004,140.81357,140.18799,37.095867,36.72981,22.430998,24.128473,0.058150377,0.62556684,38.843662
106.30829,0.00456954,0.00043096713,145.27036,144.60654,38.23594,37.159126,23.136787,24.957575,0.062606744,0.66381866,39.224915
109.65165,0.004695346,0.00044834416,149.82254,149.11905,39.40055,37.584938,23.863398,25.765434,0.06717206,0.7034687,39.603756
113.08094,0.0048208307,0.00046553797,154.46725,153.72261,40.5701,38.003635,24.616722,26.56862,0.071910374,0.7446605,39.976555
116.59219,0.0049466603,0.00048281203,159.20364,158.41614,41.74745,38.412792,25.397152,27.376947,0.07686544,0.78752637,40.34085
120.169235,0.0050733197,0.00049954624,164.0324,163.2002,42.94944,38.81599,26.195705,28.169127,0.08194176,0.8321887,40.700203
123.8109,0.0052011544,0.00051595643,168.95262,168.07387,44.17625,39.21116,27.01132,28.953346,0.08717219,0.87874866,41.052532
127.52355,0.005330413,0.0005324822,173.96407,173.03676,45.42106,39.595547,27.848106,29.745077,0.09263278,0.9273003,41.395054
131.30331,0.00546127,0.0005490886,179.0661,178.08818,46.687077,39.968674,28.703417,30.543436,0.098323144,0.97792834,41.72726
135.1529,0.005593835,0.00056593516,184.25813,183.22743,47.97082,40.329365,29.578167,31.354008,0.104278155,1.0307095,42.047966
139.0657,0.005728175,0.00058287516,189.54019,188.45447,49.27892,40.67801,30.47117,32.172066,0.110478275,1.0857193,42.35754
143.04716,0.005864318,0.00060020783,194.91304,193.77002,50.606552,41.01287,31.385447,33.00789,0.11698834,1.1430321,42.65421
147.09572,0.006002268,0.00061763613,200.37833,199.17561,51.956886,41.3358,32.31795,33.851574,0.123760894,1.2027246,42.93982
151.21115,0.0061420095,0.0006351514,205.93683,204.67197,53.33082,41.64667,33.27045,34.703075,0.13080107,1.264866,43.21422
155.38918,0.006283512,0.00065285835,211.58775,210.25824,54.731777,41.944534,34.240627,35.566097,0.13813683,1.3295143,43.476437
159.63034,0.0064267376,0.00067082624,217.3295,215.93279,56.15758,42.22829,35.227596,36.44321,0.14579034,1.3967197,43.72536
163.93608,0.0065716403,0.00068914646,223.16193,221.69537,57.606518,42.49743,36.232166,37.337505,0.15379126,1.46654,43.960464
168.33018,0.006718165,0.00070910226,229.08519,227.54616,59.05462,42.743866,37.26479,38.291904,0.16244483,1.5390322,44.173634
172.78625,0.0068662544,0.0007296032,235.1037,233.4894,60.532776,42.975014,38.320072,39.269924,0.1715324,1.6142818,44.372276
177.30919,0.007015826,0.00075041736,241.21535,239.52303,62.034103,43.19144,39.393803,40.264145,0.18101218,1.692325,44.556927
181.91708,0.007166803,0.0007723667,247.42082,245.6476,63.540783,43.388355,40.494854,41.30172,0.19109961,1.7732162,44.722794
186.5959,0.007319107,0.00079512456,253.71649,251.8595,65.06336,43.566875,41.616024,42.371925,0.2017362,1.8569782,44.870975
191.32811,0.0074726525,0.00081860734,260.10202,258.15836,66.61892,43.72743,42.751698,43.472027,0.21292141,1.9436518,45.001877
196.12552,0.0076273517,0.0008426444,266.57996,264.54663,68.1982,43.87133,43.905457,44.5966,0.22463211,2.033299,45.1168
200.9874,0.007783116,0.00086733454,273.1513,271.02533,69.80289,43.998066,45.07655,45.749016,0.23691356,2.1259682,45.215214
205.91367,0.0079398565,0.0008926845,279.8171,277.5954,71.433945,44.10777,46.26487,46.929565,0.24978842,2.2217078,45.29724
210.90733,0.008097486,0.0009185265,286.57822,284.25766,73.089226,44.201397,47.47182,48.13304,0.2632297,2.320563,45.363827
215.9698,0.008255916,0.0009448208,293.43573,291.01315,74.76839,44.279312,48.69814,49.358368,0.2772442,2.4225807,45.41531
221.10368,0.008415065,0.00097209116,300.3905,297.8627,76.469475,44.33855,49.952717,50.622486,0.29200694,2.5278058,45.448715
226.31348,0.008574854,0.0010000279,307.443,304.80673,78.18841,44.380856,51.237206,51.915653,0.30745155,2.6362786,45.465782
231.58908,0.008735192,0.0010284538,314.5932,311.84518,79.93537,44.407253,52.541718,53.2324,0.3235446,2.7480319,45.467506
236.93379,0.008895995,0.0010574147,321.8411,318.978,81.706924,44.417427,53.866688,54.57441,0.34031948,2.8630967,45.453575
242.3486,0.009057182,0.0010868856,329.18768,326.20618,83.50302,44.411713,55.212387,55.94109,0.35778937,2.9815128,45.4243
247.82487,0.009218674,0.0011170987,336.63394,333.53064,85.33315,44.388763,56.576828,57.340076,0.37605336,3.103319,45.37833
253.38025,0.009380386,0.0011479362,344.17853,340.94995,87.17833,44.349194,57.965504,58.767765,0.395095,3.2285275,45.316265
259.0116,0.00954224,0.0011795989,351.8231,348.4659,89.04327,44.291862,59.378906,60.230854,0.41501015,3.35718,45.236935
264.71338,0.0097041465,0.0012119182,359.57025,356.08093,90.936,44.218254,60.81501,61.724144,0.43576974,3.4893224,45.14184
270.4871,0.009866032,0.0012446207,367.4191,363.7941,92.854256,44.129757,62.27287,63.239376,0.4572974,3.6249683,45.03235
276.3374,0.010027808,0.0012774755,375.37033,371.6062,94.79407,44.02781,63.75651,64.76968,0.47952643,3.7641418,44.909878
282.2641,0.010189391,0.0013109951,383.42285,379.516,96.754326,43.909405,65.26499,66.33129,0.5026654,3.906845,44.771416
288.26102,0.010350712,0.0013451761,391.57712,387.524,98.741684,43.774456,66.79526,67.92455,0.5267402,4.0531015,44.61687
294.32742,0.010511698,0.0013800965,399.83423,395.63132,100.75789,43.622887,68.34723,69.55199,0.5518099,4.2029366,44.446144
300.4668,0.010672262,0.0014155183,408.1942,403.83783,102.7994,43.456,69.92174,71.20659,0.5778064,4.356355,44.260536
306.68015,0.0108323265,0.0014513916,416.65805,412.14468,104.866325,43.27435,71.5191,72.88706,0.604734,4.5133758,44.06059
312.96786,0.010991816,0.0014876807,425.2266,420.5526,106.95905,43.07807,73.13954,74.59281,0.6326014,4.6740127,43.846436
319.33075,0.011150655,0.0015243423,433.90073,429.06247,109.07766,42.86774,74.78336,76.32268,0.66141325,4.8382773,43.618633
325.7693,0.011308763,0.0015613291,442.6814,437.67517,111.22254,42.64357,76.45077,78.07573,0.6911714,5.0061793,43.377388
332.28387,0.011466073,0.0015986086,451.569,446.39127,113.3938,42.406036,78.14202,79.85117,0.72188205,5.177723,43.12317
338.87622,0.011622513,0.0016360943,460.5643,455.21143,115.59044,42.155655,79.857765,81.64682,0.7535266,5.3529143,42.856483
345.54056,0.011778008,0.0016748244,469.66748,464.1357,117.81784,41.886642,81.59738,83.49489,0.7866105,5.5317473,42.571537
352.28732,0.011932499,0.0017141001,478.87952,473.16528,120.06687,41.603214,83.36208,85.374176,0.82084745,5.714229,42.27254
359.11258,0.012085905,0.0017537345,488.20074,482.30045,122.34198,41.306335,85.15538,87.27952,0.85617447,5.900348,41.96044
366.016,0.012238159,0.001793618,497.63132,491.54126,124.64367,40.996803,86.974434,89.207855,0.8925605,6.090091,41.636032
372.99472,0.012389183,0.0018337918,507.17178,500.88834,126.975075,40.674606,88.816826,91.160736,0.9300475,6.2834444,41.2993
380.0471,0.012538912,0.0018743243,516.82227,510.34186,129.33821,40.339344,90.681404,93.140755,0.96869254,6.480389,40.949837
387.1775,0.012687276,0.0019150537,526.5819,519.901,131.72792,39.99188,92.57105,95.143486,1.0084327,6.6808906,40.588486
394.3867,0.012834206,0.001955928,536.45197,529.567,134.14455,39.632854,94.48607,97.1675,1.0492615,6.884935,40.2159
401.67502,0.012979644,0.0019968909,546.43274,539.3402,136.58821,39.26261,96.42666,99.21164,1.0911666,7.0925026,39.832394
409.0432,0.013123529,0.0020378833,556.5251,549.22156,139.0591,38.88163,98.39314,101.27444,1.1341332,7.303573,39.438465
416.49176,0.013265808,0.0020788512,566.72955,559.2114,141.55714,38.490353,100.38574,103.35468,1.1781464,7.5181255,39.034523
424.0221,0.013406423,0.0021198676,577.0472,569.31104,144.08209,38.088535,102.40533,105.454994,1.2232635,7.7361383,38.620335
431.63422,0.013545321,0.0021608244,587.4782,579.5206,146.63408,37.676907,104.45187,107.57244,1.2694372,7.9575815,38.19661
439.32346,0.013682452,0.0022021588,598.0238,589.8414,149.219,37.253242,106.52501,109.72081,1.3169433,8.182431,37.761135
447.09354,0.013817767,0.0022434138,608.68225,600.27167,151.83142,36.820072,108.62485,111.88654,1.3655262,8.410629,37.31641
454.94592,0.013951211,0.0022844893,619.4547,610.81256,154.47127,36.378014,110.75175,114.06698,1.4151376,8.642143,36.863075
462.88068,0.0140827345,0.0023253353,630.3411,621.4642,157.1384,35.927723,112.905846,116.26067,1.4657544,8.876926,36.401752
470.8975,0.014212295,0.0023661174,641.3428,632.2278,159.83435,35.468147,115.08736,118.47352,1.5174923,9.114952,35.931396
478.99826,0.014339851,0.002406687,652.46204,643.10583,162.55978,35.00062,117.2972,120.70092,1.570272,9.356209,35.45334
487.18384,0.014465354,0.0024466754,663.70245,654.10175,165.3175,34.52732,119.53582,122.931984,1.6238645,9.60069,34.969746
495.43005,0.014588767,0.0024872057,675.0639,665.2156,168.13103,34.042297,121.795166,125.20173,1.6790229,9.84835,34.47466
503.76102,0.014710056,0.002527377,686.54205,676.44293,170.97234,33.550312,124.082756,127.48269,1.7351506,10.0990715,33.972843
512.1771,0.014829176,0.002567628,698.1375,687.7847,173.84163,33.049088,126.398994,129.78894,1.7925575,10.352803,33.462013
520.68176,0.01494609,0.0026094147,709.85297,699.24347,176.73701,32.531235,128.75778,132.16599,1.8523009,10.609528,32.93477
529.26654,0.015060755,0.002653455,721.6883,710.8191,179.66635,31.992908,131.1625,134.63718,1.9149672,10.86917,32.38727
537.9405,0.015173111,0.0026978632,733.64215,722.51056,182.62076,31.44449,133.60188,137.1441,1.9792662,11.131635,31.829884
546.7008,0.015283076,0.0027421373,745.71497,734.3182,185.60384,30.888697,136.0737,139.67175,2.0448527,11.396819,31.265326
555.54095,0.0153905805,0.002787186,757.90906,746.2444,188.62357,30.320988,138.57668,142.24892,2.1124334,11.66466,30.689054
564.4703,0.015495563,0.0028319927,770.225,758.28986,191.67213,29.746956,141.11209,144.8442,2.1812713,11.93507,30.106651
573.4809,0.015597956,0.0028765467,782.6627,770.45483,194.75766,29.16681,143.67308,147.4576,2.251366,12.207938,29.518328
582.5832,0.015697716,0.0029200485,795.2252,782.74194,197.87314,28.585005,146.26562,150.06421,2.3220963,12.483219,28.928528
