kplusy,lambd_haty,muy,nuAT_haty,nuUO_haty,nuLO_haty,etaAT_haty,etaOC_haty
228.43253,0.9828856,0.10395575,0.83878756,-0.6065965,-0.1610086,-0.036104076,-0.20611888
234.23698,0.98993355,0.110182576,0.8357046,-0.60334367,-0.15986314,-0.0366368,-0.20598382
240.43332,0.9959274,0.11570336,0.83327746,-0.60095406,-0.1588219,-0.03702704,-0.20599124
247.01782,1.0007641,0.12080639,0.831408,-0.5986621,-0.15789142,-0.03725385,-0.20605583
253.98537,1.004574,0.12560058,0.83000714,-0.5964384,-0.15697934,-0.03748013,-0.20610487
261.29773,1.0077633,0.13008714,0.8289774,-0.59463334,-0.15606724,-0.037798792,-0.2062897
268.92755,1.0104243,0.13427395,0.82812315,-0.5931148,-0.15528336,-0.03806784,-0.20657384
276.86765,1.0123913,0.13823418,0.82752913,-0.59172964,-0.15463534,-0.038481392,-0.20690912
285.12506,1.0137352,0.1421065,0.8272514,-0.59033144,-0.15392537,-0.03890153,-0.20725138
293.67224,1.0147988,0.14573672,0.82715225,-0.5891676,-0.1533058,-0.03924925,-0.2076776
302.50598,1.0156368,0.14931262,0.8271503,-0.5881659,-0.15272094,-0.039696105,-0.20821647
311.60306,1.0162377,0.15279199,0.8272383,-0.58728087,-0.152205,-0.040169753,-0.2087566
320.955,1.0164114,0.15623918,0.82743746,-0.5865133,-0.15177967,-0.040670455,-0.20937249
330.5634,1.0162507,0.15969163,0.8277687,-0.5859761,-0.15143907,-0.041222543,-0.21005172
340.4193,1.0159876,0.163073,0.82817084,-0.58557475,-0.15107597,-0.04172519,-0.21071748
350.5179,1.015652,0.16641505,0.82860464,-0.5852604,-0.15072206,-0.042201996,-0.21136561
360.85275,1.0151811,0.1697745,0.8290946,-0.58497953,-0.15044157,-0.042712644,-0.21198788
371.4163,1.0146363,0.17314857,0.82965326,-0.5847354,-0.1501577,-0.043179557,-0.21266113
382.20685,1.0139993,0.17655724,0.830272,-0.58452183,-0.14987329,-0.04361417,-0.21337362
393.22598,1.0133536,0.17998399,0.8309396,-0.5843337,-0.14958733,-0.044061996,-0.21406622
404.4834,1.0126494,0.18346483,0.83166134,-0.5841857,-0.14937024,-0.044556532,-0.21469721
415.9795,1.0119116,0.18696515,0.832403,-0.5840956,-0.14917974,-0.045034874,-0.21530725
427.7081,1.0111518,0.19048513,0.8332056,-0.5840577,-0.14904657,-0.045509644,-0.2159088
439.65622,1.0104156,0.1940376,0.83403635,-0.5840328,-0.1489657,-0.045988392,-0.21651472
451.81827,1.0097013,0.19763133,0.8348737,-0.5840411,-0.14889777,-0.04646261,-0.21719308
464.1948,1.0089993,0.20127665,0.83571804,-0.5840838,-0.14884433,-0.046943363,-0.21785657
476.81122,1.0081061,0.20511697,0.8366924,-0.5842514,-0.14886871,-0.047349945,-0.21854833
489.65085,1.0072652,0.20902799,0.8378059,-0.58445287,-0.14890613,-0.047760624,-0.21924493
502.71707,1.0064367,0.21298458,0.83892393,-0.5846782,-0.1489498,-0.048164915,-0.21993452
515.9816,1.0054781,0.2170758,0.84005606,-0.58503467,-0.14896163,-0.048627052,-0.2207099
529.4407,1.0045135,0.2212648,0.8411925,-0.58542585,-0.14897263,-0.04909181,-0.2214934
543.10693,1.0036805,0.22554167,0.842333,-0.5858334,-0.14900415,-0.049562182,-0.222289
556.98724,1.0028863,0.22988805,0.84347576,-0.5862553,-0.14904459,-0.050030496,-0.22308104
571.0836,1.0021371,0.23431416,0.84461236,-0.5867224,-0.1490782,-0.050488964,-0.22385739
585.4002,1.0014336,0.23882027,0.84574133,-0.5872389,-0.14910267,-0.050935607,-0.22461589
599.9419,1.0007558,0.24338923,0.8468709,-0.5877683,-0.14913946,-0.051375482,-0.22536314
614.7129,1.0000951,0.2480173,0.8480029,-0.5883136,-0.14918265,-0.05181097,-0.22610289
629.7126,0.999437,0.25275707,0.8493056,-0.5889604,-0.14927341,-0.05220725,-0.22686444
644.93915,0.9987548,0.25757712,0.85076296,-0.5896977,-0.14940022,-0.052575383,-0.22762634
660.3902,0.99811745,0.26245993,0.8522282,-0.5904336,-0.14953384,-0.052953023,-0.22838715
676.0689,0.99750423,0.26741043,0.85369563,-0.5911802,-0.14967404,-0.053328622,-0.22914247
691.9802,0.9969105,0.2724264,0.8551642,-0.591939,-0.14982039,-0.053700395,-0.22989151
708.11334,0.99638814,0.2775306,0.8566382,-0.5927139,-0.14994663,-0.05408045,-0.23067133
724.47595,0.9958344,0.28271163,0.8581031,-0.5935186,-0.15009877,-0.054479815,-0.23150025
741.08356,0.99527156,0.2879889,0.85958976,-0.5943675,-0.15028039,-0.05488435,-0.23223588
757.92944,0.99473274,0.29334617,0.86109054,-0.59528303,-0.15045027,-0.055291474,-0.23298746
775.01294,0.99421036,0.2987586,0.8626016,-0.59620833,-0.15062661,-0.05568012,-0.23372513
792.3256,0.9936826,0.30420595,0.8641643,-0.5971042,-0.1508135,-0.056048375,-0.23444572
809.87164,0.9931522,0.30973592,0.86573374,-0.5979817,-0.15100455,-0.056436412,-0.23516771
827.65015,0.99265206,0.31534898,0.8673054,-0.59887326,-0.15121473,-0.056823723,-0.23588282
845.6634,0.9921875,0.32105199,0.8688805,-0.5997833,-0.15145192,-0.057210848,-0.23659052
863.91486,0.99174,0.3268242,0.8704551,-0.6006992,-0.15169343,-0.057595003,-0.23729165
882.408,0.9913063,0.33266166,0.8720286,-0.60162175,-0.15193906,-0.05797573,-0.23798557
901.1462,0.99088585,0.3385626,0.8736011,-0.60255075,-0.15218851,-0.058353014,-0.23867239
920.1332,0.99047637,0.34452367,0.87517244,-0.6034862,-0.15244131,-0.05872653,-0.2393518
939.3726,0.99007684,0.3505422,0.87674236,-0.6044281,-0.15269735,-0.059095714,-0.24002336
958.86633,0.98968583,0.35661596,0.87831086,-0.6053765,-0.1529565,-0.059461292,-0.2406874
978.6111,0.98929745,0.3627389,0.8798713,-0.60632324,-0.15321139,-0.059833333,-0.24135144
998.6145,0.98893803,0.3690003,0.8814523,-0.6073271,-0.15348604,-0.060187284,-0.2420165
1018.8761,0.98856413,0.3753406,0.8830515,-0.60838926,-0.15376723,-0.060480822,-0.24265905
1039.3949,0.98819387,0.38174543,0.8846677,-0.60946226,-0.1540272,-0.06080445,-0.24326828
1060.1718,0.98783046,0.38820642,0.8862859,-0.6105413,-0.15428466,-0.061131768,-0.243864
1081.2057,0.9874848,0.39472795,0.8878969,-0.61161625,-0.1545462,-0.061451115,-0.24444431
1102.4924,0.98716396,0.40131697,0.88949674,-0.6126807,-0.15481317,-0.06176041,-0.24500546
1124.0337,0.98685163,0.40796155,0.89109486,-0.61374843,-0.15508235,-0.06206716,-0.2455589
1145.8337,0.9865462,0.41465813,0.8926908,-0.6148195,-0.15535356,-0.062371083,-0.24610457
1167.8943,0.98624665,0.42140365,0.89428437,-0.61589396,-0.15562677,-0.06267196,-0.24664226
1190.2198,0.9859515,0.42819467,0.89587533,-0.6169716,-0.15590134,-0.06297008,-0.24717218
1212.8113,0.9856596,0.43502814,0.89746374,-0.61805236,-0.15617754,-0.063264735,-0.2476936
1235.6742,0.9853681,0.44191134,0.8990516,-0.61912775,-0.15645632,-0.06355871,-0.24820349
1258.8092,0.9850765,0.4488368,0.9006376,-0.62020147,-0.15673706,-0.06385076,-0.24870256
1282.2085,0.9848034,0.45584083,0.90222853,-0.6213153,-0.15706176,-0.0641438,-0.24924272
1305.8737,0.9845341,0.4628879,0.9038167,-0.6224331,-0.15739076,-0.06443435,-0.24977817
1329.8086,0.98426676,0.46997193,0.90540105,-0.62355137,-0.15771976,-0.06472245,-0.25030506
1354.0148,0.98399997,0.47708923,0.90698195,-0.6246699,-0.15804866,-0.065006964,-0.25082287
1378.512,0.983737,0.4842555,0.90857744,-0.62582546,-0.158382,-0.0652597,-0.25127533
