foc_kplus,foc_lambd,kkt_mu_fb,foc_TATplus,foc_MATplus,foc_MUOplus,foc_MLOplus,foc_TOCplus
2.551e-05,4.697e-05,1.444e-03,2.836e-04,4.556e-04,4.118e-04,4.187e-06,3.900e-05
7.498e-05,2.756e-04,1.014e-03,2.634e-04,4.441e-05,1.566e-04,1.436e-05,2.874e-05
6.688e-05,6.652e-05,6.716e-04,2.658e-04,1.252e-04,7.927e-06,4.461e-05,5.960e-07
2.060e-04,4.196e-05,3.896e-04,1.390e-04,1.930e-04,1.276e-04,1.197e-05,9.395e-05
5.221e-05,2.673e-04,1.563e-04,3.473e-05,2.559e-04,9.376e-05,7.895e-05,2.508e-05
9.048e-05,2.475e-04,3.111e-05,6.321e-05,1.099e-04,1.876e-04,1.356e-05,5.782e-06
2.861e-05,3.195e-05,1.755e-04,2.338e-04,1.646e-04,1.500e-04,6.200e-05,6.273e-06
1.575e-04,7.153e-07,2.820e-04,2.539e-04,2.663e-04,4.768e-07,5.496e-05,3.253e-05
1.240e-05,2.708e-04,3.656e-04,2.089e-04,1.910e-04,1.014e-04,1.617e-05,8.345e-07
1.237e-04,2.823e-04,4.138e-04,3.061e-04,1.258e-04,1.359e-04,2.939e-05,7.410e-05
1.889e-04,2.789e-04,4.488e-04,3.210e-04,8.637e-05,1.328e-04,5.811e-06,4.190e-05
1.097e-05,1.051e-04,4.660e-04,3.253e-04,9.674e-05,1.385e-04,4.125e-05,8.851e-05
1.113e-04,5.364e-05,4.702e-04,3.379e-04,1.824e-04,2.567e-04,8.461e-05,1.294e-04
3.219e-05,1.712e-04,4.660e-04,2.623e-04,1.821e-04,2.814e-04,2.478e-05,9.158e-05
4.613e-05,2.162e-04,4.483e-04,2.170e-04,1.352e-04,2.605e-04,8.345e-07,4.999e-05
3.350e-05,2.198e-04,4.215e-04,2.219e-04,1.431e-04,1.951e-04,3.871e-05,6.780e-06
6.032e-05,2.203e-04,3.906e-04,1.609e-04,1.350e-04,1.417e-04,3.815e-06,3.710e-05
5.078e-05,1.855e-04,3.558e-04,1.205e-04,9.829e-05,8.994e-05,2.617e-05,5.405e-05
1.100e-04,1.745e-04,3.191e-04,1.222e-04,6.384e-05,4.041e-05,5.524e-05,1.545e-05
1.041e-04,1.664e-04,2.797e-04,1.450e-04,7.296e-05,1.240e-05,1.325e-05,5.674e-05
1.073e-04,2.480e-04,2.407e-04,1.093e-04,4.405e-05,4.649e-06,1.237e-05,8.744e-05
1.087e-04,3.378e-04,1.994e-04,8.805e-05,5.752e-05,3.815e-06,1.961e-05,1.041e-04
1.462e-04,3.803e-04,1.550e-04,7.369e-05,4.417e-05,4.494e-05,4.706e-05,1.057e-04
1.748e-04,3.138e-04,1.101e-04,5.327e-05,1.293e-05,6.306e-05,3.627e-05,4.014e-05
1.891e-04,2.017e-04,6.568e-05,4.257e-05,6.914e-06,7.790e-05,2.807e-05,5.902e-05
1.001e-05,8.464e-05,2.265e-05,3.086e-05,4.601e-05,5.960e-08,8.345e-05,4.148e-05
3.219e-05,2.587e-04,9.596e-06,2.618e-05,1.053e-04,3.517e-06,7.483e-05,4.575e-05
2.980e-05,2.906e-04,4.065e-05,2.998e-05,3.117e-05,1.478e-05,6.065e-05,6.078e-05
1.237e-04,3.350e-04,7.147e-05,1.425e-05,1.943e-05,7.415e-05,1.080e-05,2.170e-05
1.472e-04,3.192e-04,9.567e-05,2.325e-06,5.722e-06,6.723e-05,6.750e-06,2.778e-05
2.670e-05,3.026e-04,1.153e-04,6.977e-06,2.980e-07,4.458e-05,2.593e-06,3.915e-05
1.192e-07,2.851e-04,1.298e-04,2.311e-05,4.053e-06,2.205e-05,9.134e-06,3.585e-05
3.183e-05,2.832e-04,1.418e-04,4.457e-05,1.621e-05,2.897e-05,3.037e-05,2.098e-05
6.509e-05,2.768e-04,1.504e-04,6.467e-05,2.980e-05,3.821e-05,5.241e-05,4.217e-06
7.653e-05,2.644e-04,1.558e-04,7.800e-05,3.517e-05,1.299e-05,5.263e-05,5.305e-06
7.892e-05,2.668e-04,1.597e-04,8.816e-05,3.749e-05,7.987e-06,5.801e-05,1.049e-05
6.437e-05,2.811e-04,1.629e-04,1.230e-04,9.733e-05,6.109e-05,2.199e-05,1.021e-05
2.182e-05,2.983e-04,1.636e-04,1.399e-04,1.931e-04,1.229e-04,2.578e-06,7.421e-06
4.900e-05,3.269e-04,1.650e-04,1.219e-04,1.511e-04,9.602e-05,1.699e-06,5.081e-06
5.555e-05,3.219e-04,1.653e-04,1.152e-04,1.059e-04,8.255e-05,5.618e-06,9.835e-07
5.805e-05,3.231e-04,1.644e-04,1.097e-04,6.145e-05,7.182e-05,9.492e-06,7.242e-06
1.130e-04,3.340e-04,1.625e-04,9.394e-05,3.076e-05,6.568e-05,3.849e-05,2.424e-05
6.437e-05,2.580e-04,1.571e-04,7.310e-05,4.470e-06,7.248e-05,2.141e-05,7.538e-05
3.910e-05,2.458e-04,1.506e-04,6.928e-05,1.669e-05,9.334e-05,8.047e-07,1.214e-05
4.685e-05,3.059e-04,1.416e-04,6.916e-05,2.950e-05,1.326e-04,2.022e-05,1.003e-05
4.625e-05,3.235e-04,1.310e-04,8.583e-05,2.968e-05,1.172e-04,2.107e-05,1.401e-06
2.384e-05,3.347e-04,1.209e-04,1.001e-04,5.394e-05,6.968e-05,1.788e-05,1.121e-05
5.841e-06,3.192e-04,1.138e-04,8.022e-05,4.697e-05,3.684e-05,2.097e-05,2.891e-06
2.193e-05,3.278e-04,1.053e-04,8.155e-05,3.868e-05,3.749e-05,9.105e-06,2.250e-06
4.554e-05,3.264e-04,9.489e-05,8.257e-05,3.618e-05,4.262e-05,1.043e-05,1.222e-06
5.150e-05,3.073e-04,8.202e-05,8.651e-05,3.105e-05,3.612e-05,7.749e-06,8.941e-07
5.496e-05,2.971e-04,6.860e-05,9.090e-05,2.664e-05,3.111e-05,5.037e-06,2.876e-06
5.841e-05,2.930e-04,5.496e-05,9.534e-05,2.384e-05,2.676e-05,2.176e-06,5.350e-06
6.008e-05,2.949e-04,4.131e-05,1.000e-04,2.211e-05,2.289e-05,7.153e-07,7.659e-06
6.139e-05,3.033e-04,2.795e-05,1.050e-04,2.122e-05,1.979e-05,3.427e-06,9.999e-06
6.104e-05,3.169e-04,1.508e-05,1.094e-04,2.152e-05,1.734e-05,6.050e-06,1.267e-05
5.472e-05,3.357e-04,2.921e-06,1.064e-04,2.259e-05,7.153e-06,1.569e-05,2.415e-05
7.594e-05,3.428e-04,8.106e-06,1.239e-04,4.691e-05,5.358e-05,1.192e-06,3.521e-05
5.245e-05,3.545e-04,2.408e-05,1.691e-04,3.737e-05,9.811e-05,4.470e-07,1.784e-05
4.780e-05,3.777e-04,4.017e-05,1.331e-04,4.750e-05,9.584e-05,2.462e-05,6.065e-06
4.661e-05,3.963e-04,5.555e-05,1.258e-04,4.816e-05,8.935e-05,3.088e-05,9.283e-06
5.734e-05,4.160e-04,6.998e-05,1.288e-04,3.856e-05,7.379e-05,3.012e-05,1.401e-05
7.606e-05,4.184e-04,8.404e-05,1.323e-04,2.229e-05,5.281e-05,2.815e-05,2.272e-05
7.915e-05,3.927e-04,9.853e-05,1.289e-04,1.711e-05,4.637e-05,2.918e-05,1.976e-05
8.178e-05,3.724e-04,1.121e-04,1.262e-04,1.365e-05,4.041e-05,3.006e-05,1.642e-05
8.416e-05,3.572e-04,1.245e-04,1.241e-04,1.180e-05,3.487e-05,3.107e-05,1.316e-05
8.559e-05,3.471e-04,1.355e-04,1.223e-04,1.150e-05,2.939e-05,3.229e-05,9.581e-06
8.667e-05,3.431e-04,1.448e-04,1.215e-04,1.317e-05,2.456e-05,3.326e-05,6.199e-06
8.512e-05,3.424e-04,1.525e-04,1.192e-04,1.889e-05,1.210e-05,3.316e-05,5.499e-06
8.368e-05,3.502e-04,1.587e-04,1.190e-04,2.551e-05,4.411e-06,3.344e-05,3.532e-06
1.007e-04,3.629e-04,1.633e-04,1.168e-04,4.506e-05,3.624e-05,7.436e-06,4.938e-05
1.045e-04,3.428e-04,1.683e-04,1.188e-04,5.919e-05,3.213e-05,8.807e-06,5.673e-05
1.067e-04,3.250e-04,1.718e-04,1.216e-04,7.427e-05,2.480e-05,5.960e-06,6.041e-05
1.087e-04,3.130e-04,1.732e-04,1.258e-04,9.108e-05,1.782e-05,3.204e-06,6.390e-05
1.143e-04,3.068e-04,1.725e-04,1.514e-04,1.118e-04,4.590e-05,5.379e-06,1.001e-05
1.140e-04,3.374e-04,1.703e-04,1.740e-04,1.183e-04,7.695e-05,7.302e-06,5.198e-05
1.099e-04,4.096e-04,1.658e-04,1.713e-04,1.066e-04,7.564e-05,9.641e-06,4.953e-05
1.766e-04,4.756e-04,1.577e-04,1.656e-04,9.525e-05,3.719e-05,2.123e-05,5.817e-05
1.720e-04,4.191e-04,1.522e-04,1.538e-04,6.807e-05,3.016e-05,1.782e-05,5.913e-05
1.672e-04,3.743e-04,1.445e-04,1.599e-04,4.047e-05,2.480e-05,4.992e-06,7.161e-05
