,foc_kplus,foc_lambd,kkt_mu_fb,foc_TATplus,foc_MATplus,foc_MUOplus,foc_MLOplus,foc_TOCplus
count,5.120e+03,5.120e+03,5.120e+03,5.120e+03,5.120e+03,5.120e+03,5.120e+03,5.120e+03
mean,9.271e-05,3.789e-04,6.637e-04,1.414e-04,7.037e-05,8.050e-05,2.880e-05,3.926e-05
std,4.718e-05,1.008e-04,5.488e-04,8.036e-05,5.672e-05,6.952e-05,2.310e-05,3.319e-05
min,1.192e-07,7.153e-07,0.000e+00,1.810e-06,2.980e-07,5.960e-08,2.980e-08,1.192e-07
0.1%,1.192e-07,7.153e-07,0.000e+00,1.810e-06,2.980e-07,5.960e-08,2.980e-08,1.192e-07
25%,5.798e-05,3.168e-04,1.490e-04,7.797e-05,2.299e-05,2.924e-05,9.403e-06,1.175e-05
50%,8.455e-05,4.109e-04,4.979e-04,1.381e-04,5.627e-05,5.630e-05,2.476e-05,3.548e-05
75%,1.137e-04,4.492e-04,1.237e-03,1.993e-04,1.135e-04,1.114e-04,4.125e-05,5.509e-05
99.9%,2.241e-04,5.896e-04,1.655e-03,3.379e-04,4.556e-04,4.118e-04,1.098e-04,1.703e-04
max,2.241e-04,5.896e-04,1.655e-03,3.379e-04,4.556e-04,4.118e-04,1.098e-04,1.703e-04
