con,Omega,Theta,ygross,ynet,inv,Eind,scc,carbontax,Abatement,Dam,Emissions
77.0607,0.0028556,0.00029305054,105.17594,104.8756,27.78417,32.458065,18.745909,18.26618,0.030821867,0.3003404,35.05806
79.63303,0.0031232077,0.0003166527,108.721725,108.38216,28.714806,32.874928,19.268513,19.300964,0.03442703,0.33956054,35.41581
82.289795,0.0033522318,0.00033657652,112.37276,111.996056,29.668566,33.31573,19.826132,20.189255,0.03782203,0.3766995,35.79884
85.018745,0.0035511495,0.0003544885,116.123764,115.711395,30.651638,33.76777,20.415125,20.99981,0.04116454,0.41237283,36.194416
87.82652,0.0037271723,0.00037133798,119.97203,119.52487,31.653961,34.22396,21.034548,21.77045,0.04455017,0.44715643,36.59544
90.71984,0.0038861714,0.0003885953,123.91943,123.43786,32.67005,34.675827,21.685402,22.555565,0.048154507,0.48157215,36.99338
93.68545,0.0040327935,0.00040422275,127.96823,127.452156,33.715195,35.134483,22.364225,23.283098,0.05172767,0.5160695,37.399338
96.719406,0.0041706436,0.00041868116,132.1152,131.5642,34.789703,35.59576,23.068554,23.971033,0.055314146,0.55100536,37.80912
99.83181,0.004302504,0.00043453992,136.35785,135.77116,35.88036,36.04413,23.804138,24.710459,0.05925293,0.5866802,38.20716
103.027985,0.004430494,0.00045208828,140.69756,140.0742,36.98288,36.47771,24.573082,25.510788,0.063607715,0.6233596,38.591564
106.288216,0.004556197,0.00046884775,145.13535,144.47409,38.118126,36.909996,25.36729,26.285599,0.06804638,0.66126525,38.975784
109.61727,0.0046807798,0.00048564348,149.66977,148.9692,39.27957,37.335262,26.189377,27.06419,0.07268614,0.70057124,39.35408
113.02345,0.004805116,0.00050421216,154.29688,153.55545,40.45457,37.742615,27.041641,27.90597,0.07779835,0.74141437,39.715534
116.503685,0.0049298503,0.0005247123,159.0188,158.23485,41.648136,38.13102,27.921585,28.815552,0.08343912,0.7839388,40.059074
120.05001,0.0050554317,0.00054534094,163.83629,163.00801,42.86911,38.510387,28.828627,29.73137,0.089346625,0.8282631,40.394608
123.66795,0.005182166,0.0005666733,168.7483,167.87383,44.11073,38.876644,29.768175,30.673058,0.095625155,0.8744818,40.718018
127.35501,0.005310266,0.00058846554,173.75267,172.83002,45.373287,39.23043,30.734608,31.632431,0.10224746,0.92267287,41.029938
131.10968,0.005439871,0.0006104954,178.85017,177.87724,46.65899,39.57258,31.727625,32.602448,0.109187216,0.97292197,41.33117
134.93192,0.005571068,0.0006330543,184.04153,183.01624,47.968445,39.901512,32.749546,33.59282,0.11650828,1.0253079,41.620113
138.82191,0.0057039033,0.0006560913,189.32767,188.24776,49.302338,40.21714,33.799896,34.60212,0.12421624,1.0799067,41.89667
142.7783,0.0058383914,0.0006794834,194.70752,193.57074,50.660908,40.519753,34.875683,35.626476,0.13230054,1.1367788,42.161095
