kplusy,lambd_haty,muy,nuAT_haty,nuUO_haty,nuLO_haty,etaAT_haty,etaOC_haty
228.10477,0.99198335,0.10284788,0.78797704,-0.5561517,-0.12702306,-0.03599616,-0.19591577
233.86095,0.99630505,0.108977035,0.7818348,-0.5510185,-0.12523217,-0.036807314,-0.19508207
240.22993,0.9996354,0.11426193,0.77677476,-0.54646087,-0.12365872,-0.036953222,-0.19440018
247.10907,1.0019989,0.11880601,0.77236074,-0.5423199,-0.12220197,-0.036948193,-0.1938868
254.43553,1.0037167,0.122877285,0.7685505,-0.5383841,-0.12070027,-0.037016116,-0.19329673
262.15903,1.0049145,0.12657122,0.7651992,-0.5344988,-0.11927957,-0.037223626,-0.1928444
270.2378,1.005684,0.12994306,0.762196,-0.530833,-0.117986836,-0.03746536,-0.19252007
278.63373,1.0062367,0.13309534,0.7594247,-0.5274344,-0.116721325,-0.037823774,-0.19227709
287.3139,1.0064836,0.13607998,0.7568667,-0.5242485,-0.11546703,-0.038179185,-0.19207896
296.25662,1.0066017,0.1389433,0.7544928,-0.5212026,-0.11428784,-0.038597226,-0.19194658
305.45242,1.0066,0.141711,0.75229234,-0.5183022,-0.11315082,-0.039076876,-0.19180383
314.89175,1.006493,0.1443936,0.75019044,-0.51556563,-0.11204188,-0.03952498,-0.1916642
324.555,1.0063084,0.14709707,0.748233,-0.5129344,-0.111054495,-0.039949637,-0.19161811
334.41696,1.0059508,0.14982192,0.7465436,-0.51047266,-0.11013118,-0.040343426,-0.19162712
344.47495,1.005588,0.15254025,0.74492496,-0.50807464,-0.10920682,-0.04079128,-0.19162422
354.7205,1.0052198,0.15526578,0.74336916,-0.50575256,-0.10831461,-0.041265067,-0.19167113
365.15494,1.0048512,0.15802693,0.7418453,-0.5035052,-0.10744793,-0.0417564,-0.1917731
375.77783,1.004492,0.16084437,0.7403793,-0.5014112,-0.106572665,-0.04231272,-0.19187379
386.5914,1.0041397,0.16368742,0.7389261,-0.4993514,-0.10570902,-0.04285987,-0.19197325
397.5981,1.0037949,0.16655698,0.73748523,-0.4973246,-0.10485721,-0.043398388,-0.19207181
408.78705,1.0034316,0.16941042,0.7360909,-0.49539804,-0.10408937,-0.04391468,-0.1921948
420.15732,1.0030737,0.17230226,0.7347056,-0.4935255,-0.10336338,-0.044416413,-0.1923184
431.71442,1.0027187,0.17524391,0.7333158,-0.4916833,-0.10265351,-0.044944294,-0.19244236
443.4443,1.0023195,0.17827092,0.7319326,-0.4898603,-0.10203153,-0.04543122,-0.1925417
455.3466,1.0019362,0.18135603,0.73055506,-0.48803183,-0.10142391,-0.045885526,-0.19263835
467.411,1.0016848,0.18450919,0.7292047,-0.48619345,-0.10086872,-0.046370495,-0.1926968
479.66425,1.0013509,0.1877508,0.7279314,-0.48448563,-0.100337595,-0.046740893,-0.19285339
492.12323,1.0010687,0.1910476,0.7268221,-0.48288813,-0.099810466,-0.0470534,-0.19294496
504.78552,1.0008014,0.19441397,0.7257219,-0.48140815,-0.099273205,-0.04747326,-0.19314119
517.6299,1.0005229,0.19779782,0.7247149,-0.4800506,-0.09872669,-0.047910053,-0.1933797
530.6511,1.000242,0.20123343,0.72374684,-0.47873524,-0.09822642,-0.048362672,-0.19361387
543.85376,0.9999913,0.2047251,0.72278225,-0.47743347,-0.097734466,-0.048814263,-0.19384891
557.2424,0.99976766,0.20827025,0.7218219,-0.4761465,-0.09725057,-0.049264394,-0.1940841
570.8164,0.99949807,0.21183868,0.7208815,-0.47487038,-0.09676516,-0.04967267,-0.19430204
584.5799,0.99924576,0.21545517,0.7199475,-0.47360945,-0.09628662,-0.050075017,-0.19451796
598.53625,0.99901414,0.21912044,0.7190192,-0.4723648,-0.09581523,-0.050474733,-0.19473328
612.6895,0.9988014,0.2228327,0.718097,-0.47113734,-0.09535086,-0.050871253,-0.19494736
627.0423,0.99862766,0.22660372,0.7171743,-0.4699709,-0.09486789,-0.051258467,-0.19514649
641.59625,0.9984622,0.23043925,0.7162675,-0.46884143,-0.09438247,-0.051659923,-0.19532616
656.34717,0.99828327,0.2343503,0.7154433,-0.46780485,-0.09400903,-0.0520753,-0.19552268
671.2972,0.9981071,0.23831178,0.714634,-0.46675518,-0.0936312,-0.05246727,-0.19573694
686.4386,0.99790555,0.24232557,0.7138739,-0.46559453,-0.09321324,-0.0527803,-0.19603442
701.7754,0.997725,0.24639238,0.7131185,-0.46444765,-0.09280142,-0.05309242,-0.19633028
717.2875,0.99754214,0.2505491,0.71248907,-0.4634956,-0.09239275,-0.05341115,-0.19661514
732.96576,0.9972967,0.2548143,0.71203375,-0.46277863,-0.09204761,-0.053774603,-0.19686936
748.8147,0.9970843,0.25915262,0.7115807,-0.46206912,-0.09170846,-0.054139234,-0.1971233
764.8404,0.99690026,0.2635595,0.7111303,-0.46136838,-0.09137517,-0.054503996,-0.19737642
781.04724,0.99674135,0.26803166,0.7106829,-0.46067727,-0.0910472,-0.05486868,-0.19762798
797.4587,0.9966184,0.27257884,0.7102695,-0.45995715,-0.09075985,-0.05521325,-0.19787936
814.0925,0.99652076,0.2771835,0.7098847,-0.45922142,-0.090505704,-0.05553871,-0.19812903
830.95154,0.99642473,0.28182414,0.7095044,-0.45850283,-0.09025401,-0.055858944,-0.19837396
848.03687,0.99633056,0.28650036,0.70912886,-0.4578008,-0.09000515,-0.056173645,-0.19861478
865.3444,0.9962441,0.29122213,0.7087604,-0.45711455,-0.08977032,-0.05649526,-0.19884433
882.8723,0.99615216,0.2959576,0.70842683,-0.4564654,-0.08955155,-0.056857258,-0.19907978
900.61615,0.9960771,0.3007361,0.70810086,-0.4558614,-0.08932657,-0.05723731,-0.19933604
918.56854,0.9959708,0.30549064,0.7077945,-0.45527267,-0.08906823,-0.05762822,-0.19955726
936.72925,0.9958695,0.31025326,0.7074985,-0.45470202,-0.08879441,-0.05802781,-0.19976556
955.1036,0.99579257,0.31506023,0.70720464,-0.45414674,-0.08852496,-0.05842758,-0.19997655
973.68335,0.99569744,0.31991854,0.70691967,-0.45362014,-0.08822758,-0.05876691,-0.20014547
992.4624,0.99559236,0.32483092,0.70664215,-0.4531174,-0.0879087,-0.05905756,-0.20028009
1011.44434,0.99550027,0.32979453,0.70636743,-0.4526231,-0.08759394,-0.05934619,-0.2004122
1030.6337,0.9954192,0.33480656,0.7060955,-0.45213705,-0.08728312,-0.059632216,-0.20054147
1050.0336,0.99534714,0.33986476,0.7058264,-0.4516601,-0.086975954,-0.05991512,-0.20066784
1069.6836,0.9952877,0.34495634,0.70555234,-0.45123082,-0.08671854,-0.06017031,-0.20078307
1089.5859,0.9952333,0.3501237,0.705299,-0.45078707,-0.08648826,-0.06042808,-0.2008971
1109.7354,0.9951982,0.35537603,0.7051751,-0.45028484,-0.08625091,-0.060769398,-0.20107098
1130.1324,0.9951601,0.36064228,0.7050608,-0.44978637,-0.08601058,-0.061111085,-0.20124207
1150.7776,0.9951188,0.36593404,0.70494884,-0.4493007,-0.08577281,-0.06144664,-0.20140894
1171.6718,0.9950745,0.37125057,0.70483905,-0.44882774,-0.0855373,-0.061776247,-0.20157161
1192.817,0.99502635,0.37659085,0.70473146,-0.4483671,-0.08530387,-0.062100023,-0.20172958
1214.2086,0.994969,0.3819592,0.70462257,-0.4479152,-0.08507274,-0.062412098,-0.20187797
1235.8204,0.9948801,0.38738918,0.7045056,-0.4474635,-0.08484253,-0.062689066,-0.20198254
1257.6559,0.9948043,0.3928631,0.7044043,-0.44702536,-0.08462289,-0.062956125,-0.2020867
1279.7228,0.9947309,0.3983689,0.70430976,-0.44659466,-0.08440732,-0.06322103,-0.20218842
1302.0181,0.994664,0.40391302,0.7042152,-0.4461822,-0.084203616,-0.06348702,-0.20229666
1324.5317,0.9946125,0.40950885,0.7041157,-0.4458119,-0.08403543,-0.06376529,-0.2024353
1347.2675,0.9945659,0.41514283,0.70401806,-0.4454479,-0.08386943,-0.06404107,-0.2025703
1370.2283,0.9945233,0.42081285,0.7039226,-0.44509003,-0.08370538,-0.06431419,-0.20270176
1393.4316,0.99448574,0.4265258,0.7038482,-0.44476974,-0.08355739,-0.06455976,-0.20280847
1416.8951,0.99443924,0.432287,0.7037961,-0.4444905,-0.0834212,-0.064775236,-0.20288847
1440.6058,0.9943738,0.43808842,0.70374495,-0.44422275,-0.08326563,-0.064987555,-0.20296432
1464.5499,0.99432,0.4439653,0.70369834,-0.44394308,-0.08317976,-0.06522672,-0.20300214
1488.7211,0.99425924,0.44989634,0.703669,-0.4436533,-0.08308255,-0.06549063,-0.20304583
1513.1426,0.9941948,0.455838,0.70366,-0.44332817,-0.082937434,-0.06569639,-0.20310067
1537.7954,0.9941501,0.46186054,0.7036414,-0.4430166,-0.08276133,-0.06590454,-0.20316486
1562.667,0.9941009,0.46796608,0.7036293,-0.44272274,-0.08258881,-0.06613589,-0.20320807
1587.7493,0.99402875,0.4741575,0.703636,-0.4424183,-0.08243433,-0.0663766,-0.20321758
1613.0475,0.99395907,0.48038456,0.703644,-0.44211635,-0.08228165,-0.0666158,-0.20322374
1638.5997,0.9938866,0.48657623,0.70366186,-0.44182873,-0.08216977,-0.06685141,-0.20323677
