kx,MATx,MUOx,MLOx,TATx,TOCx,taux
223.00183,851.0,983.0,1377.0,1.1,0.27,0.0
228.02275,854.49176,987.276,1378.9583,1.1503882,0.27571872,0.014888048
233.78064,858.0527,991.5289,1380.9507,1.1919771,0.2817452,0.029554427
240.15123,861.68854,995.7656,1382.9768,1.2270713,0.2880167,0.044002473
247.03162,865.40283,999.9936,1385.0363,1.257392,0.2944868,0.058235407
254.35924,869.1951,1004.21954,1387.1285,1.2842243,0.3011212,0.072256446
262.08353,873.0638,1008.44977,1389.2539,1.3085232,0.3078948,0.08606875
270.1633,877.0067,1012.6902,1391.4115,1.3309985,0.31478912,0.09967542
278.55997,881.02057,1016.94586,1393.6018,1.3521761,0.32179078,0.11307949
287.24078,885.10144,1021.2214,1395.8245,1.3724434,0.32889014,0.126284
296.18405,889.24536,1025.5208,1398.0796,1.3920852,0.33608022,0.13929194
305.38022,893.4482,1029.8473,1400.3674,1.411309,0.3433561,0.15210623
314.82004,897.70605,1034.2037,1402.6877,1.4302652,0.3507143,0.16472971
324.4837,902.01416,1038.5925,1405.0409,1.4490615,0.3581524,0.17716527
334.34613,906.3679,1043.0155,1407.4269,1.4677737,0.36566874,0.1894157
344.4044,910.76324,1047.4738,1409.8458,1.486453,0.37326226,0.20148373
354.65036,915.1963,1051.9684,1412.2981,1.5051343,0.38093215,0.21337211
365.0849,919.663,1056.4998,1414.7837,1.5238392,0.3886779,0.22508347
375.70798,924.15936,1061.068,1417.3029,1.5425801,0.39649916,0.23662049
386.52197,928.68207,1065.6731,1419.8558,1.5613623,0.40439564,0.24798572
397.52896,933.228,1070.3147,1422.4427,1.580187,0.41236714,0.25918174
408.71793,937.7949,1074.9921,1425.0638,1.5990516,0.4204134,0.2702111
420.08823,942.3797,1079.7046,1427.7192,1.6179528,0.4285342,0.28107625
431.64578,946.97943,1084.4515,1430.409,1.6368846,0.4367293,0.29177964
443.37543,951.59064,1089.2316,1433.1335,1.6558404,0.44499838,0.3023237
455.278,956.21063,1094.0435,1435.893,1.6748121,0.4533411,0.31271076
467.34232,960.83636,1098.886,1438.6871,1.693791,0.46175703,0.32294315
479.59583,965.4646,1103.7576,1441.5162,1.712769,0.47024575,0.33302325
492.05524,970.093,1108.6565,1444.3805,1.7317364,0.47880673,0.34295326
504.71722,974.71924,1113.581,1447.28,1.7506845,0.48743942,0.35273546
517.56146,979.3417,1118.5295,1450.2147,1.7696048,0.4961432,0.36237198
530.5826,983.9582,1123.5004,1453.1847,1.78849,0.5049173,0.37186503
543.78534,988.5664,1128.4915,1456.19,1.8073328,0.51376116,0.38121676
557.17377,993.1642,1133.5007,1459.2307,1.826126,0.52267385,0.39042926
570.7481,997.74994,1138.5266,1462.3066,1.8448626,0.53165466,0.3995046
584.5116,1002.3217,1143.5673,1465.4176,1.8635361,0.54070264,0.40844482
598.46796,1006.8777,1148.6207,1468.5638,1.8821409,0.54981697,0.41725194
612.621,1011.41595,1153.685,1471.7451,1.9006708,0.5589967,0.42592794
626.9734,1015.93445,1158.7584,1474.9614,1.9191201,0.5682408,0.43447477
641.52747,1020.4314,1163.8389,1478.2125,1.9374834,0.5775484,0.44289434
656.27844,1024.9047,1168.9244,1481.4984,1.9557552,0.58691835,0.45118856
671.22833,1029.3523,1174.0132,1484.8188,1.9739301,0.59634966,0.4593593
686.3696,1033.7728,1179.103,1488.1736,1.9920027,0.60584116,0.46740842
701.7062,1038.1644,1184.192,1491.5625,2.0099683,0.6153918,0.47533768
717.2188,1042.5248,1189.2783,1494.9854,2.0278218,0.6250004,0.48314893
732.8964,1046.8514,1194.36,1498.4418,2.0455582,0.63466585,0.49084383
748.7453,1051.1422,1199.4349,1501.9316,2.0631723,0.6443869,0.49842417
764.7709,1055.3954,1204.5009,1505.4547,2.0806584,0.65416235,0.5058917
780.9776,1059.6091,1209.5562,1509.0105,2.0980113,0.6639909,0.513248
797.3886,1063.7817,1214.5984,1512.5989,2.1152265,0.67387134,0.5204948
814.02295,1067.9119,1219.6256,1516.2194,2.1322992,0.68380225,0.5276337
830.8816,1071.9985,1224.6359,1519.8716,2.1492255,0.6937824,0.53466636
847.96625,1076.0408,1229.6272,1523.5553,2.1660018,0.7038104,0.54159427
865.2737,1080.0377,1234.5979,1527.2699,2.1826248,0.7138849,0.54841906
882.80164,1083.9886,1239.5459,1531.0149,2.1990924,0.7240045,0.5551423
900.5452,1087.8926,1244.4697,1534.7902,2.2154021,0.7341679,0.5617654
918.4973,1091.7494,1249.3674,1538.5951,2.2315521,0.74437356,0.5682899
936.6578,1095.5587,1254.2375,1542.4292,2.2475412,0.7546202,0.5747172
955.0319,1099.3192,1259.0785,1546.292,2.2633684,0.7649064,0.58104885
973.61194,1103.0297,1263.8889,1550.183,2.2790322,0.7752308,0.58728623
992.39026,1106.6885,1268.6672,1554.1017,2.2945309,0.785592,0.59343076
1011.37244,1110.2947,1273.4119,1558.0476,2.3098626,0.7959886,0.59948385
1030.5614,1113.847,1278.1215,1562.02,2.325025,0.8064192,0.60544676
1049.9612,1117.3444,1282.7946,1566.0186,2.3400166,0.8168824,0.6113209
1069.61,1120.786,1287.4297,1570.0426,2.3548346,0.8273768,0.6171076
1089.5128,1124.1708,1292.0253,1574.0916,2.3694775,0.837901,0.62280816
1109.6622,1127.4968,1296.5801,1578.1648,2.383943,0.8484536,0.6284238
1130.0586,1130.7643,1301.0925,1582.262,2.3982294,0.8590331,0.63395584
1150.703,1133.9725,1305.5612,1586.3822,2.4123347,0.86963814,0.6394055
1171.5975,1137.1213,1309.9849,1590.5249,2.4262576,0.8802673,0.6447741
1192.7421,1140.2103,1314.3625,1594.6896,2.4399974,0.8909192,0.65006274
