con,Omega,Theta,ygross,ynet,inv,Eind,scc,carbontax,Abatement,Dam,Emissions
77.26476,0.0028556,0.00034449113,105.17594,104.8756,27.574707,32.17651,21.736189,20.177603,0.036232177,0.3003404,34.776512
79.821365,0.0031336462,0.00036269473,108.720604,108.37991,28.519243,32.626015,22.418516,20.982676,0.039432388,0.3406919,35.166893
82.4637,0.0033814025,0.00037948068,112.37479,111.994804,29.4886,33.0863,23.132502,21.736294,0.042644057,0.37998438,35.569412
85.19204,0.0036054498,0.00039548724,116.13655,115.71783,30.480032,33.552357,23.880041,22.462847,0.045930523,0.4187245,35.979004
88.00392,0.003811417,0.0004112002,120.00309,119.5457,31.492619,34.019962,24.660795,23.180304,0.049345292,0.45738178,36.391434
90.89623,0.0040039364,0.00042717994,123.971924,123.47555,32.526573,34.484596,25.475298,23.908602,0.05295832,0.4963757,36.802155
93.86313,0.0041867276,0.00044303673,128.0387,127.502625,33.583008,34.946384,26.31951,24.634558,0.056725845,0.53606313,37.211243
96.90242,0.0043627196,0.00045841132,132.2025,131.62575,34.662983,35.406258,27.19115,25.346363,0.060603127,0.57676244,37.619617
100.0209,0.004534201,0.00047466013,136.46547,135.84671,35.76134,35.857018,28.095808,26.090519,0.06477472,0.6187619,38.020046
103.21709,0.0047029452,0.0004918954,140.82603,140.16376,36.87771,36.296974,29.03292,26.870604,0.06927168,0.6622972,38.410824
106.487724,0.0048703086,0.0005102445,145.28285,144.57529,38.013798,36.724644,30.00065,27.69052,0.07412978,0.70757234,38.790432
109.83363,0.0050373166,0.00052980246,149.83606,149.08128,39.16866,37.13879,30.999752,28.553173,0.07938351,0.75477165,39.157608
113.25586,0.0052047423,0.0005504581,154.48543,153.68138,40.34092,37.53961,32.031414,29.454388,0.08503776,0.8040569,39.512524
116.7545,0.005373158,0.0005718315,159.23056,158.37497,41.52991,37.928295,33.09673,30.381527,0.09105305,0.8555709,39.85635
120.32866,0.005542982,0.0005945394,164.07101,163.16156,42.735893,38.30126,34.193996,31.354475,0.097546674,0.90944266,40.185482
123.96047,0.0057145217,0.0006189367,169.0067,168.04091,43.976425,38.656,35.305763,32.384308,0.10460446,0.96579254,40.49737
127.65871,0.005887989,0.00064468296,174.03261,173.0079,45.23766,38.993,36.442467,33.459335,0.11219585,1.0247021,40.792507
131.42584,0.0060635176,0.00067168707,179.14789,178.06161,46.516167,39.31205,37.60674,34.57635,0.12033133,1.0862664,41.07064
