tfp,gr_tfp,lab,gr_lab,sigma,theta1,Eland,Fex,beta_hat
5.1149154,0.0226765,7403.0,0.01483177,0.35032,0.07410616,2.6000006,0.5,0.98968095
5.196549,0.0225634,7511.3413,0.014231287,0.34503254,0.072623625,2.540883,0.5058823,0.9891372
5.279068,0.022450864,7616.8174,0.013663093,0.33981997,0.071169734,2.4831097,0.5117647,0.9886254
5.3624773,0.022338891,7719.5044,0.013124842,0.33468065,0.06974379,2.42665,0.517647,0.9881432
5.4467773,0.022227475,7819.476,0.012614404,0.32961428,0.068345435,2.3714743,0.5235294,0.9876885
5.531974,0.022116615,7916.804,0.012129852,0.32461932,0.06697402,2.3175528,0.52941173,0.9872592
5.6180663,0.022006309,8011.558,0.011669419,0.31969544,0.065629184,2.2648573,0.5352941,0.9868538
5.70506,0.02189655,8103.807,0.011231506,0.3148417,0.06431042,2.21336,0.54117644,0.98647046
5.792957,0.021787344,8193.616,0.01081465,0.31005654,0.06301711,2.1630337,0.5470588,0.98610777
5.881759,0.021678677,8281.05,0.010417501,0.3053391,0.061748803,2.1138518,0.55294114,0.9857644
5.97147,0.021570554,8366.172,0.01003883,0.30068967,0.060505264,2.0657883,0.55882347,0.9854391
6.0620904,0.021462971,8449.043,0.009677502,0.29610565,0.059285693,2.0188172,0.56470585,0.9851308
6.153625,0.021355925,8529.723,0.009332474,0.29158783,0.058089968,1.9729146,0.5705882,0.9848384
6.2460756,0.02124941,8608.27,0.0090027815,0.28713372,0.056917313,1.9280552,0.57647055,0.98456097
6.3394423,0.021143429,8684.738,0.00868754,0.28274405,0.055767637,1.8842158,0.58235294,0.9842976
6.4337287,0.021037975,8759.186,0.008385921,0.27841645,0.05464019,1.8413734,0.58823526,0.9840475
6.5289364,0.020933049,8831.664,0.008097161,0.27415162,0.053534854,1.799505,0.59411764,0.98380977
6.625068,0.020828644,8902.226,0.007820555,0.2699472,0.052450925,1.7585889,0.6,0.9835839
6.7221246,0.02072476,8970.921,0.007555445,0.2658039,0.051388297,1.718603,0.60588235,0.9833691
6.820108,0.020621397,9037.801,0.007301217,0.26171947,0.050346285,1.6795262,0.61176467,0.98316497
6.9190216,0.020518545,9102.911,0.007057301,0.25769404,0.04932468,1.641338,0.61764705,0.98297065
7.0188637,0.02041621,9166.3,0.006823164,0.25372684,0.04832311,1.604018,0.6235294,0.98278576
7.1196404,0.020314382,9228.013,0.0065983078,0.24981667,0.0473411,1.5675465,0.62941176,0.98260987
7.2213497,0.020213064,9288.093,0.0063822684,0.24596316,0.046378378,1.5319043,0.63529414,0.9824424
7.3239923,0.020112252,9346.585,0.0061746095,0.24216472,0.04543441,1.4970726,0.6411765,0.98228294
7.4275723,0.020011941,9403.53,0.005974925,0.2384219,0.044509087,1.463033,0.64705884,0.9821311
7.5320883,0.019912131,9458.969,0.0057828305,0.23473269,0.043601822,1.4297671,0.6529412,0.9819866
7.637544,0.019812819,9512.942,0.0055979663,0.23109764,0.042712513,1.3972578,0.65882355,0.98184896
7.7439404,0.019714,9565.488,0.0054199942,0.22751473,0.041840572,1.3654873,0.66470593,0.9817178
7.8512774,0.019615674,9616.6455,0.005248598,0.22398414,0.04098584,1.3344394,0.6705883,0.9815931
7.9595537,0.019517843,9666.449,0.0050834767,0.22050473,0.040147923,1.3040975,0.6764707,0.9814742
8.068771,0.019420497,9714.936,0.0049243495,0.21707621,0.039326556,1.2744458,0.682353,0.98136103
8.178933,0.019323636,9762.14,0.0047709467,0.21369752,0.038521364,1.2454678,0.6882354,0.9812532
8.290036,0.01922726,9808.096,0.00462302,0.21036799,0.03773205,1.217149,0.6941178,0.9811506
8.402085,0.019131364,9852.837,0.0044803307,0.20708735,0.036958374,1.1894739,0.70000017,0.981053
8.515079,0.019035945,9896.395,0.0043426543,0.20385452,0.03619996,1.1624283,0.7058825,0.9809601
8.629016,0.018941002,9938.801,0.004209778,0.20066887,0.035456534,1.1359975,0.7117648,0.9808716
8.743898,0.018846532,9980.085,0.0040814993,0.1975302,0.034727883,1.1101676,0.7176472,0.9807875
8.859725,0.018752536,10020.277,0.00395763,0.19443738,0.03401364,1.0849252,0.7235296,0.9807075
8.976497,0.018659007,10059.408,0.0038379862,0.19138989,0.033313546,1.0602567,0.72941196,0.9806315
9.094214,0.018565945,10097.503,0.0037223978,0.1883871,0.032627333,1.0361491,0.7352943,0.9805592
9.212876,0.018473348,10134.591,0.0036107004,0.18542871,0.031954784,1.0125897,0.7411766,0.9804905
9.332485,0.01838121,10170.697,0.0035027391,0.18251382,0.031295594,0.9895659,0.747059,0.9804253
9.453036,0.018289534,10205.85,0.0033983672,0.17964213,0.030649554,0.9670655,0.75294137,0.9803635
9.5745325,0.018198315,10240.072,0.0032974428,0.17681244,0.03001631,0.9450767,0.75882375,0.9803047
9.696973,0.01810755,10273.391,0.0031998337,0.17402479,0.029395726,0.9235881,0.7647061,0.9802491
