kplusy,lambd_haty,muy,nuAT_haty,nuUO_haty,nuLO_haty,nuLF_haty,etaAT_haty,etaOC_haty
228.45714,0.980339,0.12671173,1.0552526,-0.37805182,-0.00050431443,-0.94747895,-0.030219896,-0.21232389
234.26952,0.9868933,0.13025475,1.0566221,-0.3758018,-0.0005022879,-0.9459704,-0.031093283,-0.2130648
240.49825,0.99246764,0.13357604,1.0579813,-0.37391496,-0.00049528433,-0.94470495,-0.03187488,-0.2137916
247.11401,0.9971363,0.13677613,1.059375,-0.37229976,-0.00049570156,-0.94367063,-0.032632574,-0.214551
254.09201,1.0010146,0.13992697,1.0608232,-0.37091577,-0.0005076821,-0.94284976,-0.033390865,-0.21535163
261.39642,1.0042204,0.14310524,1.0623788,-0.3696802,-0.0004911418,-0.942219,-0.034188792,-0.21620123
269.01498,1.0069027,0.1462621,1.0640125,-0.36860648,-0.00045672012,-0.9417623,-0.034973428,-0.21708341
276.9578,1.0091438,0.14935534,1.0656978,-0.36772862,-0.00042110635,-0.94147766,-0.035701677,-0.21798857
285.20917,1.0108845,0.15255709,1.06746,-0.36698493,-0.0004039402,-0.94134724,-0.03647475,-0.21893956
293.7567,1.012193,0.1558785,1.0692952,-0.36635774,-0.00040310575,-0.9413538,-0.037292525,-0.21993132
302.59695,1.0131562,0.15933162,1.0711944,-0.36586308,-0.0004103179,-0.94149256,-0.038132653,-0.22094168
311.72556,1.0137972,0.16292441,1.0731592,-0.36548033,-0.00042766286,-0.94174874,-0.03900127,-0.22197549
321.1358,1.014136,0.16663955,1.0751919,-0.36517662,-0.0004577632,-0.9421216,-0.039919958,-0.22305328
330.82306,1.014203,0.17043059,1.0772969,-0.36492673,-0.0005041654,-0.94261825,-0.040917084,-0.22420515
340.78256,1.0140364,0.17436564,1.0794557,-0.3647452,-0.0005619223,-0.94320107,-0.04194282,-0.22537838
350.97873,1.0138754,0.17848018,1.0815985,-0.36449248,-0.000575542,-0.943905,-0.0426486,-0.22654472
361.4024,1.013623,0.18273063,1.0837709,-0.36426157,-0.00058686687,-0.9446709,-0.043297037,-0.22770806
372.05566,1.0132649,0.18710363,1.0859706,-0.36406592,-0.00060731126,-0.9454831,-0.043957755,-0.2288778
382.94012,1.0128087,0.19160125,1.0881969,-0.36390385,-0.0006360705,-0.9463411,-0.04462926,-0.23005337
394.05853,1.0122612,0.19622545,1.0904486,-0.36377397,-0.0006722207,-0.9472411,-0.045311615,-0.23123364
405.41327,1.0116274,0.2009772,1.0927246,-0.36367384,-0.0007168348,-0.9481825,-0.046003267,-0.23241775
417.0067,1.0109134,0.20585765,1.0950235,-0.36360344,-0.0007694359,-0.9491628,-0.046701595,-0.2336048
428.83823,1.0101326,0.2108745,1.0973125,-0.36355656,-0.0008258219,-0.9501723,-0.047425315,-0.23479135
440.88922,1.0093347,0.21605374,1.0994484,-0.36351207,-0.0008721347,-0.95117927,-0.048244163,-0.23596165
453.1644,1.0085022,0.22135258,1.1015927,-0.3634866,-0.00092542125,-0.9522072,-0.049065277,-0.23712844
465.64178,1.0077554,0.2267953,1.1037664,-0.3634684,-0.0009174342,-0.9531733,-0.049777433,-0.23825206
478.32156,1.0070331,0.232352,1.1059477,-0.36346012,-0.0008990164,-0.95413154,-0.05045919,-0.23935772
491.21033,1.0063068,0.23801628,1.1081325,-0.36346227,-0.0008864994,-0.9551001,-0.0511363,-0.24045385
504.31442,1.005572,0.24379006,1.110319,-0.36347538,-0.00087898923,-0.9560813,-0.0518087,-0.24154142
517.6397,1.0048239,0.2496757,1.1125089,-0.3635024,-0.00087669445,-0.95707685,-0.052478537,-0.24262032
531.1917,1.0040588,0.25567484,1.1147025,-0.3635434,-0.0008797939,-0.95808554,-0.053145215,-0.24369128
544.9758,1.0032749,0.2617882,1.1168988,-0.36359787,-0.0008872743,-0.9591088,-0.053809747,-0.2447541
558.99677,1.0024687,0.2680167,1.1190985,-0.36366782,-0.00089973165,-0.96014774,-0.05447291,-0.24580969
