,foc_kplus,foc_lambd,kkt_mu_fb,foc_TATplus,foc_MATplus,foc_MUOplus,foc_MLOplus,foc_MLFplus,foc_TOCplus
count,5.120e+03,5.120e+03,5.120e+03,5.120e+03,5.120e+03,5.120e+03,5.120e+03,5.120e+03,5.120e+03
mean,5.386e-04,3.057e-03,7.767e-04,6.103e-04,2.197e-04,1.521e-04,1.507e-05,1.686e-04,1.736e-04
std,3.465e-04,2.563e-04,9.674e-04,3.332e-04,2.046e-04,1.267e-04,1.222e-05,1.304e-04,1.396e-04
min,2.027e-06,2.374e-03,0.000e+00,4.254e-06,9.537e-07,4.172e-07,6.061e-07,1.073e-06,1.073e-06
0.1%,2.027e-06,2.374e-03,0.000e+00,4.254e-06,9.537e-07,4.172e-07,6.061e-07,1.073e-06,1.073e-06
25%,2.114e-04,2.898e-03,0.000e+00,3.926e-04,7.921e-05,5.189e-05,7.104e-06,6.053e-05,3.484e-05
50%,5.513e-04,3.025e-03,4.502e-05,6.377e-04,1.560e-04,1.143e-04,1.214e-05,1.280e-04,1.547e-04
75%,8.127e-04,3.230e-03,1.475e-03,7.423e-04,3.223e-04,2.433e-04,1.764e-05,2.567e-04,2.700e-04
99.9%,1.245e-03,3.714e-03,3.269e-03,1.615e-03,1.529e-03,5.397e-04,6.634e-05,5.125e-04,5.499e-04
max,1.245e-03,3.714e-03,3.269e-03,1.615e-03,1.529e-03,5.397e-04,6.634e-05,5.125e-04,5.499e-04
