kx,MATx,MUOx,MLOx,MLFx,TATx,TOCx,taux
223.00183,853.0,870.0,37191.0,333.0,1.1,0.27,0.0
228.37495,858.2409,872.21906,37191.156,334.87497,1.1523091,0.27571872,0.014888048
234.18932,863.5135,874.47974,37191.312,336.77982,1.1969953,0.28175843,0.029554427
240.41942,868.82275,876.7819,37191.473,338.7127,1.236015,0.28806442,0.044002473
247.03665,874.1721,879.12585,37191.637,340.67227,1.2708293,0.2945958,0.058235407
254.01593,879.56323,881.5113,37191.805,342.65744,1.3025296,0.30132204,0.072256446
261.32138,884.9964,883.9384,37191.977,344.6673,1.3319298,0.30822036,0.08606875
268.94092,890.4719,886.40735,37192.15,346.701,1.359636,0.3152737,0.09967542
276.8844,895.9901,888.9181,37192.33,348.7579,1.3860995,0.32246935,0.11307949
285.1367,901.5493,891.4707,37192.51,350.83737,1.4116563,0.32979777,0.126284
293.6847,907.1474,894.0653,37192.7,352.9388,1.4365549,0.33725178,0.13929194
302.52557,912.7819,896.70184,37192.89,355.06155,1.4609778,0.34482598,0.15210623
311.6546,918.44995,899.38043,37193.086,357.205,1.4850587,0.35251626,0.16472971
321.06534,924.149,902.1009,37193.28,359.36826,1.5088942,0.3603195,0.17716527
330.75287,929.8768,904.8632,37193.484,361.5507,1.5325538,0.36823317,0.1894157
340.71292,935.63007,907.66724,37193.69,363.75146,1.5560873,0.37625533,0.20148373
350.90915,941.40515,910.5128,37193.902,365.96976,1.5795286,0.38438436,0.21337211
361.33304,947.19855,913.39984,37194.113,368.20462,1.6028996,0.3926189,0.22508347
371.98636,953.0067,916.32794,37194.332,370.45508,1.6262136,0.40095773,0.23662049
382.87122,958.8262,919.29706,37194.555,372.72012,1.6494775,0.40939975,0.24798572
393.99002,964.65344,922.30664,37194.777,374.9987,1.6726935,0.4179439,0.25918174
405.34457,970.485,925.35657,37195.01,377.28964,1.6958606,0.42658913,0.2702111
416.93848,976.3173,928.4463,37195.246,379.59192,1.718975,0.4353344,0.28107625
428.77002,982.1469,931.57544,37195.49,381.90427,1.7420307,0.4441787,0.29177964
440.82083,987.9697,934.74347,37195.73,384.22552,1.7650213,0.4531209,0.3023237
453.0961,993.7823,937.9498,37195.984,386.5544,1.7879386,0.46215987,0.31271076
465.5734,999.58075,941.19403,37196.24,388.88968,1.8107737,0.4712945,0.32294315
478.25327,1005.3617,944.47546,37196.5,391.22998,1.8335176,0.4805235,0.33302325
491.14197,1011.12164,947.7935,37196.76,393.57407,1.856161,0.48984563,0.34295326
504.24603,1016.8572,951.1475,37197.03,395.9205,1.8786942,0.49925953,0.35273546
517.5715,1022.5649,954.5366,37197.31,398.26807,1.9011081,0.50876385,0.36237198
531.1232,1028.2416,957.96027,37197.586,400.61536,1.923394,0.5183571,0.37186503
544.90704,1033.8842,961.4175,37197.87,402.96106,1.9455426,0.5280378,0.38121676
558.9281,1039.4891,964.9076,37198.16,405.3038,1.9675453,0.53780437,0.39042926
573.1521,1045.0531,968.4297,37198.457,407.64227,1.9893935,0.5476553,0.3995046
587.54944,1050.5729,971.983,37198.758,409.9751,2.011079,0.5575889,0.40844482
602.1316,1056.0455,975.5664,37199.062,412.30096,2.0325935,0.5676034,0.41725194
616.9094,1061.4681,979.1791,37199.375,414.61856,2.053929,0.5776972,0.42592794
631.8912,1066.8379,982.8201,37199.69,416.9265,2.0750782,0.58786845,0.43447477
647.08655,1072.1521,986.4885,37200.01,419.22354,2.096034,0.5981153,0.44289434
662.5022,1077.408,990.18317,37200.34,421.5084,2.1167893,0.608436,0.45118856
678.1361,1082.6028,993.90314,37200.67,423.7798,2.1373382,0.61882854,0.4593593
693.97626,1087.7338,997.64734,37201.01,426.03644,2.157674,0.62929106,0.46740842
