foc_kplus,foc_lambd,foc_TATplus,foc_MATplus,foc_MUOplus,foc_MLOplus,foc_MLFplus,foc_TOCplus
1.562e-03,3.384e-03,2.945e-04,1.364e-04,2.615e-04,2.438e-04,1.825e-04,7.410e-05
4.820e-04,1.938e-03,4.525e-04,3.368e-05,2.212e-04,9.744e-05,2.561e-04,9.793e-05
1.050e-04,1.466e-03,4.524e-04,2.617e-04,3.216e-05,4.944e-05,9.006e-05,4.634e-06
1.277e-04,1.646e-03,5.825e-04,4.820e-04,6.419e-05,1.241e-04,3.117e-05,7.689e-05
2.527e-04,2.278e-03,7.023e-04,3.890e-04,4.214e-05,1.193e-04,3.660e-05,1.203e-04
9.396e-04,2.596e-03,8.281e-04,1.429e-04,6.375e-05,2.574e-05,1.960e-04,9.789e-05
2.247e-04,1.869e-03,8.812e-04,1.985e-05,6.527e-06,6.999e-05,1.397e-04,1.337e-04
6.580e-05,1.782e-03,9.044e-04,1.078e-04,7.460e-05,9.878e-05,5.329e-05,1.725e-04
7.143e-04,2.057e-03,8.810e-04,6.378e-06,6.449e-05,4.858e-05,1.497e-04,5.290e-05
7.068e-04,1.771e-03,8.919e-04,1.031e-05,9.540e-05,3.199e-05,1.721e-04,9.209e-06
2.670e-04,1.467e-03,9.166e-04,1.131e-04,2.018e-05,4.795e-05,9.674e-05,4.677e-05
7.029e-04,1.490e-03,9.389e-04,2.623e-05,1.056e-04,4.183e-05,1.776e-04,3.412e-05
5.902e-04,1.226e-03,9.529e-04,1.812e-05,1.061e-04,4.413e-05,1.891e-04,5.874e-05
2.127e-04,1.002e-03,9.520e-04,9.865e-05,3.886e-05,5.057e-05,1.243e-04,2.508e-05
2.468e-04,9.866e-04,9.619e-04,7.778e-05,6.559e-05,3.736e-05,1.747e-04,2.405e-05
2.939e-04,1.016e-03,9.571e-04,6.056e-05,1.129e-04,7.075e-05,1.886e-04,1.438e-05
1.450e-04,1.107e-03,9.283e-04,8.738e-05,6.288e-05,6.821e-05,1.306e-04,8.553e-06
5.853e-05,1.230e-03,8.962e-04,1.087e-04,1.913e-05,6.650e-05,7.868e-05,2.697e-05
2.623e-06,1.347e-03,8.616e-04,1.279e-04,2.047e-05,6.613e-05,3.421e-05,4.178e-05
3.898e-05,1.432e-03,8.257e-04,1.417e-04,5.594e-05,6.656e-05,5.126e-06,5.792e-05
6.044e-05,1.474e-03,7.879e-04,1.519e-04,8.702e-05,6.765e-05,3.380e-05,6.983e-05
2.444e-05,1.470e-03,7.548e-04,1.508e-04,1.115e-04,7.496e-05,4.733e-05,7.594e-05
1.264e-05,1.427e-03,7.042e-04,1.209e-04,5.683e-05,1.122e-04,1.004e-04,5.078e-05
3.397e-05,1.469e-03,6.577e-04,9.185e-05,2.100e-04,1.492e-04,2.267e-04,1.682e-04
1.121e-04,1.563e-03,5.825e-04,1.107e-04,9.128e-05,4.573e-05,1.894e-04,1.906e-04
1.034e-04,1.615e-03,5.648e-04,1.504e-04,5.624e-05,3.794e-05,1.540e-04,1.743e-04
7.641e-05,1.611e-03,5.542e-04,1.914e-04,3.400e-05,3.865e-05,1.274e-04,1.559e-04
