,foc_kplus,foc_lambd,foc_TATplus,foc_MATplus,foc_MUOplus,foc_MLOplus,foc_MLFplus,foc_TOCplus
count,5.120e+03,5.120e+03,5.120e+03,5.120e+03,5.120e+03,5.120e+03,5.120e+03,5.120e+03
mean,1.478e-04,9.971e-04,3.218e-04,2.778e-04,1.017e-04,3.269e-05,1.110e-04,8.163e-05
std,1.525e-04,3.476e-04,2.925e-04,1.351e-04,7.333e-05,2.544e-05,7.457e-05,5.569e-05
min,1.431e-06,3.512e-04,2.086e-07,4.768e-07,6.855e-07,1.938e-07,1.192e-07,1.967e-06
0.1%,1.431e-06,3.512e-04,2.086e-07,4.768e-07,6.855e-07,1.938e-07,1.192e-07,1.967e-06
25%,6.008e-05,7.911e-04,1.166e-04,1.699e-04,4.804e-05,1.909e-05,6.425e-05,3.265e-05
50%,1.180e-04,9.412e-04,2.152e-04,2.910e-04,7.865e-05,2.756e-05,1.025e-04,7.536e-05
75%,2.056e-04,1.091e-03,4.940e-04,3.882e-04,1.379e-04,4.484e-05,1.358e-04,1.179e-04
99.9%,1.562e-03,3.384e-03,1.279e-03,5.611e-04,3.112e-04,2.438e-04,4.007e-04,2.384e-04
max,1.562e-03,3.384e-03,1.279e-03,5.611e-04,3.112e-04,2.438e-04,4.007e-04,2.384e-04
