con,Omega,Theta,ygross,ynet,inv,Eind,carbontax,Abatement,Dam,Emissions
72.50191,0.0028556,0.07410616,105.17594,104.8756,24.601776,0.0,550.0,7.794185,0.3003404,2.6000004
74.58666,0.0031179856,0.072623625,108.22586,107.88842,25.46651,0.0,547.25684,7.859754,0.33744666,2.5408828
76.75965,0.0032952905,0.071169734,111.38762,111.02056,26.359604,0.0,544.5275,7.927427,0.36705455,2.4831097
79.00955,0.003408133,0.06974379,114.679276,114.28844,27.307966,0.0,541.8116,7.9981675,0.39084223,2.4266498
81.347145,0.0034739124,0.068345435,118.10605,117.695755,28.30464,0.0,539.1093,8.072009,0.4102901,2.371474
83.79291,0.003506374,0.06697402,121.66949,121.24287,29.329834,0.0,536.4205,8.148695,0.4266187,2.3175528
86.36095,0.0035159283,0.065629184,125.37123,124.93044,30.370413,0.0,533.7451,8.228011,0.44079626,2.2648573
89.0359,0.0035102412,0.06431042,129.20491,128.75139,31.435421,0.0,531.08307,8.309222,0.4535404,2.21336
91.818665,0.0034948238,0.06301711,133.16945,132.70404,32.52276,0.0,528.4342,8.391954,0.46540374,2.1630335
94.70662,0.0034735631,0.061748803,137.26251,136.78572,33.63276,0.0,525.79865,8.475796,0.47679,2.1138515
97.69622,0.0034491434,0.060505264,141.48096,140.99297,34.76593,0.0,523.1762,8.560343,0.48798808,2.065788
100.779686,0.0034233783,0.059285693,145.82126,145.32207,35.926865,0.0,520.5669,8.645115,0.49920133,2.018817
103.95798,0.0033974596,0.058089968,150.28036,149.76978,37.111683,0.0,517.9706,8.729781,0.5105714,1.9729145
107.22825,0.0033721428,0.056917313,154.85477,154.33257,38.320137,0.0,515.3871,8.813918,0.52219236,1.9280552
110.58777,0.0033478772,0.055767637,159.54106,159.00693,39.551716,0.0,512.81665,8.897227,0.5341239,1.8842158
114.0343,0.0033249045,0.05464019,164.33636,163.78996,40.806152,0.0,510.25897,8.97937,0.54640275,1.8413734
117.56578,0.003303329,0.053534854,169.23804,168.67897,42.082993,0.0,507.71402,9.060133,0.55904883,1.799505
121.17804,0.0032831645,0.052450925,174.24376,173.67169,43.38442,0.0,505.18176,9.139246,0.57207096,1.7585889
124.87485,0.0032643669,0.051388297,179.35487,178.76938,44.707867,0.0,502.66214,9.2167425,0.5854801,1.718603
128.65454,0.0032468606,0.050346285,184.5693,183.97003,46.05329,0.0,500.15515,9.292378,0.5992707,1.6795262
