kplusy,lambd_haty
225.01007,1.075085
227.4798,1.0888907
230.58545,1.1011707
234.3308,1.1122378
238.69983,1.121946
243.6812,1.129978
249.21507,1.1361746
255.28177,1.1409557
261.85458,1.1444142
268.90546,1.1467049
276.40527,1.1479896
284.329,1.148488
292.6504,1.1482602
301.3453,1.1474222
310.39163,1.1460761
319.77042,1.1443101
329.46487,1.1422004
339.48148,1.1398441
349.8046,1.1372232
360.42154,1.1343932
371.32117,1.1313996
382.49426,1.1282808
393.9341,1.1250663
405.63437,1.121782
417.5903,1.1184486
429.79858,1.1150842
442.25604,1.1117011
454.96118,1.1083112
467.91226,1.1049232
481.10873,1.1015443
494.55017,1.098181
508.23605,1.0948368
522.16736,1.0915155
536.345,1.0882208
550.76965,1.0849539
565.4424,1.0817157
580.3642,1.07851
595.5365,1.0753356
610.9614,1.0721929
626.6289,1.0691403
642.50476,1.0663302
658.59625,1.0635918
674.90845,1.0609177
691.4471,1.0583024
708.21765,1.05574
725.22424,1.0532259
742.47107,1.0507572
759.9609,1.0483297
777.69775,1.0459417
795.68445,1.0435913
813.9244,1.0412756
832.4197,1.0389931
851.17224,1.0367442
870.1855,1.0345238
889.46075,1.0323346
909.0009,1.0301734
928.8075,1.0280405
948.883,1.0259349
969.229,1.0238545
989.8462,1.021802
1010.7377,1.0197732
1031.9055,1.0177692
1053.3502,1.0157894
1075.074,1.0138334
1097.0779,1.0119011
1119.3253,1.0102215
1141.8086,1.0086613
1164.5352,1.0071411
1187.5127,1.0056558
1210.7455,1.0042009
1234.4205,1.003144
1258.5139,1.0020199
1283.0001,1.0008465
1307.866,0.9996377
1333.0947,0.99840367
1358.677,0.99715245
1384.605,0.9958915
1410.8711,0.99462515
1437.4707,0.9933581
1464.3998,0.9920927
1491.6556,0.9908327
1519.234,0.9895793
1547.136,0.9883332
1575.3586,0.98709714
1603.9017,0.9858709
1632.764,0.9846555
1661.9459,0.98345083
1691.4474,0.98225844
1721.2672,0.9810776
1751.4069,0.9799083
1781.8656,0.9787524
1812.6405,0.97761357
1843.7084,0.976516
1875.0767,0.9754386
1906.7455,0.97437996
1938.7211,0.97333795
1971.0056,0.97231203
2003.608,0.9713044
2036.5308,0.97030973
2069.7725,0.9693265
2103.3384,0.96835357
2137.2231,0.9673919
2171.432,0.9664406
2205.962,0.9655
2240.8154,0.9645693
2275.9907,0.9636497
2311.492,0.96274
2347.3147,0.9618399
2383.4612,0.9609504
2419.9326,0.96007043
2456.7278,0.95919967
2493.8474,0.9583403
2531.29,0.9574882
2569.0583,0.9566468
2607.1501,0.955814
2645.5767,0.95499843
2684.3684,0.95422125
2723.5166,0.9534537
2763.016,0.9526986
2802.8562,0.9519454
2843.0347,0.95119643
2883.5527,0.9504581
2924.426,0.9497514
2965.6494,0.94904584
3007.2158,0.948342
3049.1218,0.9476417
3091.36,0.94694644
3133.9336,0.946256
3176.8389,0.9455709
3220.0725,0.94489247
3263.6348,0.94421864
3307.523,0.94355255
3351.7368,0.9428927
3396.2764,0.94223887
3441.1426,0.94159186
3486.3262,0.9409513
3531.8333,0.9403172
3577.5725,0.939698
3623.5645,0.9391021
3669.8235,0.938525
3716.3606,0.9379629
3763.1768,0.93741477
3810.29,0.93687695
