foc_kplus,foc_lambd
2.513e-03,3.557e-03
1.276e-03,5.038e-03
7.153e-05,4.993e-03
1.031e-03,4.808e-03
1.417e-03,4.640e-03
1.389e-03,4.229e-03
1.566e-03,3.991e-03
1.618e-03,3.654e-03
1.626e-03,3.290e-03
1.613e-03,2.950e-03
1.662e-03,2.669e-03
1.627e-03,2.474e-03
1.585e-03,2.357e-03
1.539e-03,2.313e-03
1.494e-03,2.333e-03
1.450e-03,2.406e-03
1.443e-03,2.519e-03
1.356e-03,2.523e-03
1.276e-03,2.564e-03
1.202e-03,2.630e-03
1.134e-03,2.715e-03
1.071e-03,2.809e-03
1.013e-03,2.905e-03
9.582e-04,2.999e-03
9.077e-04,3.085e-03
8.593e-04,3.160e-03
8.138e-04,3.223e-03
7.707e-04,3.270e-03
7.290e-04,3.302e-03
6.895e-04,3.315e-03
6.498e-04,3.310e-03
6.120e-04,3.287e-03
5.765e-04,3.246e-03
5.394e-04,3.186e-03
5.033e-04,3.106e-03
4.692e-04,3.007e-03
4.342e-04,2.893e-03
3.994e-04,2.760e-03
4.238e-04,2.608e-03
6.071e-04,2.522e-03
6.235e-04,2.701e-03
6.377e-04,2.847e-03
6.523e-04,2.967e-03
6.648e-04,3.065e-03
6.768e-04,3.139e-03
6.883e-04,3.194e-03
6.976e-04,3.230e-03
7.075e-04,3.250e-03
7.172e-04,3.252e-03
7.253e-04,3.242e-03
7.328e-04,3.217e-03
7.404e-04,3.178e-03
7.451e-04,3.128e-03
7.520e-04,3.065e-03
7.571e-04,2.992e-03
7.629e-04,2.908e-03
7.671e-04,2.815e-03
7.701e-04,2.711e-03
7.750e-04,2.597e-03
7.774e-04,2.478e-03
7.801e-04,2.348e-03
7.831e-04,2.209e-03
7.856e-04,2.064e-03
7.871e-04,1.912e-03
1.024e-03,1.752e-03
1.128e-03,1.841e-03
1.155e-03,2.005e-03
1.181e-03,2.152e-03
1.205e-03,2.284e-03
1.605e-03,2.402e-03
1.520e-03,2.333e-03
1.442e-03,2.293e-03
1.372e-03,2.278e-03
1.306e-03,2.279e-03
1.244e-03,2.290e-03
1.186e-03,2.310e-03
1.131e-03,2.334e-03
1.080e-03,2.360e-03
1.030e-03,2.389e-03
9.828e-04,2.417e-03
9.369e-04,2.443e-03
8.925e-04,2.468e-03
8.502e-04,2.489e-03
8.098e-04,2.507e-03
7.701e-04,2.522e-03
7.310e-04,2.535e-03
6.942e-04,2.542e-03
6.576e-04,2.546e-03
6.219e-04,2.547e-03
5.887e-04,2.543e-03
5.609e-04,2.537e-03
5.582e-04,2.538e-03
5.370e-04,2.593e-03
5.158e-04,2.639e-03
4.945e-04,2.679e-03
4.736e-04,2.712e-03
4.562e-04,2.740e-03
4.349e-04,2.756e-03
4.127e-04,2.766e-03
3.905e-04,2.774e-03
3.694e-04,2.776e-03
3.486e-04,2.779e-03
3.285e-04,2.778e-03
3.088e-04,2.773e-03
2.912e-04,2.766e-03
2.729e-04,2.757e-03
2.547e-04,2.745e-03
2.381e-04,2.731e-03
2.218e-04,2.715e-03
2.057e-04,2.697e-03
1.917e-04,2.676e-03
1.752e-04,2.655e-03
1.621e-04,2.629e-03
1.476e-04,2.604e-03
1.430e-04,2.576e-03
1.593e-04,2.542e-03
1.469e-04,2.491e-03
1.357e-04,2.453e-03
1.141e-04,2.426e-03
9.459e-05,2.401e-03
8.261e-05,2.378e-03
9.233e-05,2.355e-03
6.974e-05,2.333e-03
4.858e-05,2.312e-03
2.915e-05,2.293e-03
1.109e-05,2.275e-03
6.437e-06,2.256e-03
2.271e-05,2.238e-03
3.785e-05,2.220e-03
5.382e-05,2.201e-03
6.706e-05,2.180e-03
8.094e-05,2.159e-03
9.412e-05,2.137e-03
1.065e-04,2.114e-03
1.187e-04,2.090e-03
1.302e-04,2.067e-03
1.323e-04,2.041e-03
1.231e-04,2.104e-03
1.171e-04,2.156e-03
1.128e-04,2.199e-03
1.092e-04,2.235e-03
1.072e-04,2.270e-03
1.059e-04,2.296e-03
1.040e-04,2.323e-03
1.029e-04,2.345e-03
1.013e-04,2.365e-03
1.006e-04,2.383e-03
9.912e-05,2.399e-03
9.781e-05,2.415e-03
9.584e-05,2.431e-03
9.453e-05,2.443e-03
9.346e-05,2.455e-03
9.060e-05,2.466e-03
8.941e-05,2.477e-03
