kx,MATx,MUOx,MLOx,MLFx,TATx,TOCx,taux
223.00183,850.0,1237.0,37236.0,531.0,1.1,0.27,0.0
224.92923,844.5228,1240.2255,37236.4,533.56464,1.1494261,0.27571872,0.014888048
227.40176,839.7552,1243.2922,37236.8,535.55426,1.1816554,0.28173855,0.029554427
230.5099,835.5836,1246.2175,37237.215,537.0659,1.2017171,0.28793898,0.044002473
234.2576,831.91345,1249.0154,37237.633,538.1809,1.2132587,0.2942349,0.058235407
238.6283,828.6654,1251.6981,37238.06,538.96686,1.2189142,0.30056697,0.072256446
243.61108,825.7731,1254.2761,37238.492,539.48035,1.2205737,0.3068944,0.08606875
249.14647,823.181,1256.7583,37238.93,539.7686,1.2195861,0.31318966,0.09967542
255.21407,820.84283,1259.1522,37239.375,539.87115,1.2169049,0.31943473,0.11307949
261.78796,818.71967,1261.4642,37239.83,539.8208,1.2131977,0.3256183,0.126284
268.8396,816.77893,1263.7001,37240.285,539.64496,1.2089257,0.33173373,0.13929194
276.34012,814.9935,1265.8647,37240.746,539.3665,1.204402,0.33777758,0.15210623
284.2644,813.34045,1267.9622,37241.215,539.0047,1.199834,0.34374863,0.16472971
292.5863,811.80066,1269.9962,37241.688,538.5753,1.1953552,0.34964705,0.17716527
301.28134,810.35803,1271.97,37242.164,538.09155,1.1910466,0.35547397,0.1894157
310.3281,808.9993,1273.8865,37242.65,537.56445,1.1869532,0.36123106,0.20148373
319.70715,807.71295,1275.7482,37243.137,537.0033,1.1830958,0.3669203,0.21337211
329.40192,806.4896,1277.5573,37243.63,536.4156,1.1794792,0.37254375,0.22508347
339.41855,805.32135,1279.3159,37244.125,535.80774,1.1760979,0.37810352,0.23662049
349.74182,804.2013,1281.026,37244.625,535.185,1.17294,0.3836017,0.24798572
360.35867,803.1239,1282.6891,37245.133,534.5517,1.1699905,0.38904023,0.25918174
371.25803,802.08435,1284.3069,37245.645,533.9114,1.1672326,0.39442098,0.2702111
382.4315,801.0786,1285.8805,37246.16,533.26715,1.1646494,0.39974564,0.28107625
393.87134,800.1033,1287.4114,37246.676,532.62134,1.1622242,0.40501583,0.29177964
405.5715,799.1554,1288.9008,37247.2,531.976,1.1599414,0.410233,0.3023237
417.52747,798.2326,1290.3499,37247.727,531.33276,1.1577868,0.41539848,0.31271076
429.73563,797.33276,1291.7598,37248.258,530.693,1.1557474,0.42051354,0.32294315
442.1931,796.4541,1293.1313,37248.79,530.05774,1.1538115,0.4255793,0.33302325
454.89822,795.5949,1294.4658,37249.324,529.42786,1.1519687,0.43059683,0.34295326
467.84927,794.754,1295.7638,37249.863,528.80414,1.1502099,0.43556708,0.35273546
481.04547,793.9303,1297.0264,37250.406,528.18695,1.1485269,0.44049096,0.36237198
494.4861,793.1226,1298.2544,37250.95,527.5769,1.1469127,0.44536933,0.37186503
508.172,792.3303,1299.4485,37251.5,526.9743,1.1453612,0.45020297,0.38121676
522.10345,791.5524,1300.6096,37252.05,526.37933,1.1438669,0.45499262,0.39042926
536.2808,790.7884,1301.7385,37252.605,525.7922,1.1424252,0.45973897,0.3995046
550.7052,790.03766,1302.8359,37253.164,525.213,1.1410319,0.46444267,0.40844482
565.3776,789.2995,1303.9025,37253.723,524.6418,1.1396835,0.46910438,0.41725194
580.2992,788.5736,1304.9391,37254.29,524.0787,1.138377,0.47372466,0.42592794
595.47144,787.85956,1305.9463,37254.85,523.52356,1.1371095,0.47830412,0.43447477
610.8959,787.1568,1306.9246,37255.42,522.97644,1.1358788,0.48284328,0.44289434
626.56354,786.46515,1307.8749,37255.992,522.4373,1.1346825,0.4873427,0.45118856
642.43933,785.78424,1308.7976,37256.566,521.9061,1.133519,0.49180287,0.4593593
658.53,785.1137,1309.6935,37257.14,521.38275,1.1323867,0.49622428,0.46740842
674.84186,784.45325,1310.563,37257.72,520.86707,1.1312836,0.50060743,0.47533768
691.38043,783.8027,1311.4067,37258.297,520.359,1.130209,0.5049528,0.48314893
708.15076,783.1617,1312.2253,37258.875,519.8585,1.1291614,0.5092608,0.49084383
725.1573,782.53015,1313.0192,37259.46,519.3654,1.1281395,0.51353186,0.49842417
742.40344,781.90765,1313.789,37260.047,518.8796,1.1271427,0.51776654,0.5058917
759.89294,781.2941,1314.5352,37260.637,518.4009,1.1261698,0.52196515,0.513248
777.6295,780.6893,1315.2584,37261.223,517.9293,1.1252203,0.5261281,0.5204948
795.61646,780.0931,1315.959,37261.812,517.46466,1.1242931,0.53025585,0.5276337
813.85596,779.5051,1316.6376,37262.406,517.0068,1.1233877,0.5343488,0.53466636
832.3504,778.92535,1317.2943,37263.0,516.55554,1.1225033,0.53840727,0.54159427
851.1028,778.3536,1317.93,37263.594,516.1109,1.1216391,0.5424317,0.54841906
870.1154,777.7896,1318.5453,37264.195,515.67267,1.1207947,0.5464224,0.5551423
889.3909,777.2332,1319.1401,37264.793,515.2408,1.1199695,0.5503799,0.5617654
908.9308,776.6844,1319.7153,37265.395,514.81506,1.1191629,0.55430436,0.5682899
928.737,776.1429,1320.2711,37266.0,514.3954,1.1183745,0.55819625,0.5747172
948.8121,775.6085,1320.8081,37266.6,513.9817,1.1176035,0.5620559,0.58104885
969.15735,775.08124,1321.3265,37267.207,513.57385,1.1168498,0.56588364,0.58728623
989.7744,774.5607,1321.8268,37267.816,513.17175,1.1161127,0.5696798,0.59343076
1010.66583,774.04706,1322.3093,37268.418,512.77527,1.1153917,0.5734447,0.59948385
1031.8331,773.54004,1322.7745,37269.023,512.3842,1.1146864,0.5771787,0.60544676
1053.2776,773.0394,1323.2228,37269.63,511.99866,1.1139964,0.58088213,0.6113209
1075.0004,772.54517,1323.6543,37270.24,511.61832,1.1133213,0.58455527,0.6171076
1097.0042,772.05707,1324.0697,37270.844,511.24316,1.1126606,0.5881985,0.62280816
1119.2512,771.5751,1324.4694,37271.453,510.87308,1.1120139,0.591812,0.6284238
1141.7339,771.0991,1324.8534,37272.062,510.508,1.1113809,0.5953962,0.63395584
1164.4607,770.62897,1325.2224,37272.676,510.1478,1.1107613,0.59895134,0.6394055
1187.4377,770.1646,1325.5764,37273.285,509.7924,1.1101546,0.6024777,0.6447741
1210.6693,769.70575,1325.916,37273.9,509.44168,1.1095606,0.6059756,0.65006274
1234.3455,769.2525,1326.2413,37274.51,509.09555,1.1089787,0.60944533,0.65527266
1258.4369,768.8046,1326.5527,37275.13,508.75397,1.1084087,0.61288714,0.66040504
1282.9243,768.36206,1326.8506,37275.742,508.41678,1.1078503,0.6163013,0.665461
1307.7886,767.9246,1327.135,37276.36,508.0839,1.1073031,0.6196881,0.6704416
1333.0171,767.4923,1327.4065,37276.977,507.75522,1.1067669,0.62304777,0.6753481
1358.5991,767.06494,1327.6653,37277.594,507.43073,1.1062412,0.6263806,0.6801815
1384.5259,766.64246,1327.9117,37278.215,507.11035,1.1057258,0.62968683,0.68494296
1410.7919,766.22473,1328.146,37278.832,506.79398,1.1052203,0.63296676,0.6896336
1437.3914,765.81177,1328.3683,37279.45,506.48148,1.1047245,0.6362206,0.6942544
1464.3202,765.4033,1328.579,37280.07,506.17282,1.1042382,0.6394486,0.6988064
1491.5745,764.99945,1328.7783,37280.69,505.86795,1.1037608,0.64265096,0.70329064
1519.1537,764.6,1328.9664,37281.316,505.56677,1.1032926,0.645828,0.7077081
1547.0544,764.2048,1329.1438,37281.938,505.26917,1.1028329,0.64897996,0.71205986
1575.2771,763.81384,1329.3105,37282.56,504.97513,1.1023813,0.652107,0.71634674
1603.8197,763.4271,1329.4668,37283.18,504.68457,1.101938,0.65520936,0.72056985
1632.6812,763.04456,1329.6129,37283.8,504.3974,1.1015023,0.65828735,0.7247301
1661.8628,762.66595,1329.7491,37284.42,504.11356,1.1010742,0.6613411,0.7288283
1691.3632,762.2912,1329.8755,37285.047,503.833,1.1006536,0.66437083,0.7328656
1721.1829,761.9203,1329.9926,37285.67,503.55566,1.1002401,0.6673768,0.7368427
1751.3215,761.55316,1330.1002,37286.297,503.2814,1.0998333,0.67035925,0.74076056
1781.7804,761.18976,1330.1987,37286.92,503.01028,1.0994331,0.6733183,0.7446202
1812.5546,760.82996,1330.2886,37287.547,502.74216,1.0990393,0.6762543,0.7484224
1843.6235,760.4737,1330.3695,37288.17,502.477,1.0986516,0.6791673,0.75216794
1874.9896,760.1209,1330.442,37288.8,502.21472,1.0982699,0.6820575,0.7558577
1906.6583,759.77167,1330.5063,37289.426,501.95532,1.0978941,0.6849252,0.7594925
1938.6337,759.4257,1330.5624,37290.05,501.69873,1.0975238,0.68777055,0.76307327
1970.9174,759.08295,1330.6106,37290.676,501.44482,1.097159,0.6905937,0.76660067
2003.519,758.74347,1330.651,37291.3,501.19357,1.0967991,0.69339496,0.77007556
2036.4395,758.40717,1330.684,37291.926,500.94498,1.0964444,0.69617444,0.7734987
2069.6829,758.074,1330.7094,37292.555,500.69897,1.0960944,0.6989323,0.7768709
2103.246,757.74384,1330.7275,37293.18,500.4555,1.095749,0.70166874,0.78019285
2137.132,757.4167,1330.7386,37293.805,500.2145,1.095408,0.70438397,0.7834654
2171.339,757.09235,1330.7428,37294.43,499.97592,1.0950713,0.7070781,0.78668916
2205.8696,756.771,1330.7405,37295.055,499.73972,1.0947385,0.70975137,0.78986496
2240.721,756.4524,1330.7314,37295.68,499.50586,1.0944097,0.71240395,0.7929935
2275.8977,756.1366,1330.7158,37296.305,499.2743,1.0940847,0.715036,0.79607546
2311.3972,755.8235,1330.694,37296.934,499.04495,1.0937632,0.7176476,0.79911155
2347.2197,755.513,1330.6658,37297.56,498.81784,1.0934453,0.72023904,0.80210245
2383.3662,755.20514,1330.6317,37298.184,498.5929,1.0931306,0.72281045,0.8050488
2419.8367,754.89984,1330.5918,37298.81,498.37003,1.0928191,0.72536194,0.8079513
2456.6313,754.59705,1330.546,37299.434,498.14923,1.0925106,0.7278937,0.81081057
2493.7488,754.2967,1330.4948,37300.06,497.93054,1.0922049,0.7304059,0.81362724
2531.1921,753.99884,1330.4379,37300.688,497.7138,1.0919019,0.7328987,0.81640196
2568.9595,753.70325,1330.3757,37301.312,497.49902,1.0916014,0.73537225,0.8191354
2607.0513,753.41,1330.3082,37301.938,497.28613,1.0913032,0.73782665,0.8218281
2645.4766,753.119,1330.2356,37302.562,497.07516,1.0910075,0.7402621,0.8244808
2684.268,752.83026,1330.1581,37303.188,496.86603,1.0907137,0.7426787,0.82709396
2723.4172,752.54376,1330.0757,37303.812,496.6587,1.0904222,0.74507666,0.8296682
2762.9128,752.25934,1329.9885,37304.44,496.45312,1.0901326,0.7474561,0.83220416
2802.7517,751.97705,1329.8966,37305.066,496.24933,1.0898447,0.74981713,0.8347023
2842.9294,751.69684,1329.8002,37305.69,496.04727,1.0895585,0.7521599,0.83716327
2883.4478,751.41864,1329.6992,37306.312,495.84683,1.0892738,0.7544846,0.83958757
2924.3218,751.1425,1329.594,37306.934,495.64807,1.0889906,0.7567913,0.8419758
2965.5447,750.86835,1329.4846,37307.555,495.45096,1.0887089,0.7590802,0.8443285
3007.1118,750.59607,1329.371,37308.18,495.25537,1.0884285,0.7613513,0.8466462
3049.0132,750.3256,1329.2533,37308.8,495.06137,1.0881493,0.7636048,0.84892935
3091.253,750.0571,1329.1317,37309.42,494.86887,1.0878712,0.76584095,0.8511785
3133.828,749.79034,1329.0063,37310.043,494.67786,1.0875938,0.76805973,0.8533942
