con,Omega,ygross,ynet,inv,Eind,scc,carbontax,Dam,Emissions
77.19836,0.0028556,105.17594,104.8756,27.677254,36.845238,15.571086,550.0,0.3003404,39.445236
79.73168,0.0031388626,108.70864,108.36742,28.635742,37.508015,15.991295,547.25684,0.34122148,40.0489
82.361725,0.0033771808,112.353966,111.97453,29.612806,38.180122,16.435406,544.5275,0.37943968,40.66323
85.08075,0.003580958,116.10572,115.68995,30.609198,38.858337,16.906351,541.8116,0.4157697,41.28499
87.888016,0.0037589984,119.96142,119.510475,31.622461,39.541,17.40725,539.1093,0.45093477,41.91247
90.78282,0.003918409,123.91939,123.433815,32.650997,40.226627,17.938807,536.4205,0.4855668,42.54418
93.75769,0.004064753,127.97738,127.457184,33.699493,40.913784,18.496365,533.7451,0.52019644,43.178642
96.81121,0.004202303,132.1346,131.57932,34.768112,41.601475,19.079224,531.08307,0.55526954,43.814835
99.94223,0.0043342886,136.3895,135.79834,35.856125,42.288452,19.686752,528.4342,0.5911514,44.451485
103.14809,0.0044631283,140.74059,140.11246,36.964367,42.973606,20.318357,525.79865,0.6281433,45.087456
106.4268,0.004590613,145.18654,144.52003,38.093235,43.656086,20.9732,523.1762,0.66649514,45.721874
109.77684,0.004718057,149.72606,149.01964,39.2428,44.334732,21.650583,520.5669,0.7064161,46.35355
113.196594,0.004846415,154.35872,153.61063,40.414043,45.00912,22.350176,517.9706,0.7480864,46.98204
116.68795,0.0049763764,159.08542,158.29375,41.60579,45.678783,23.072372,515.3871,0.79166895,47.60684
120.24922,0.005108426,163.9049,163.06761,42.818386,46.343136,23.816572,512.81665,0.83729607,48.227352
123.88076,0.0052429074,168.81726,167.93217,44.051426,47.001503,24.582611,510.25897,0.88509333,48.842876
127.57881,0.0053800554,173.82167,172.8865,45.30769,47.653492,25.369255,507.71402,0.93517023,49.452995
131.34769,0.0055200243,178.91966,177.932,46.584328,48.29886,26.178013,505.18176,0.98764086,50.057453
135.18645,0.0056629097,184.11026,183.06767,47.88121,48.93722,27.008387,502.66214,1.0425998,50.655823
139.09468,0.0058087707,189.39297,188.29285,49.19816,49.567825,27.860186,500.15515,1.1001402,51.247356
143.07176,0.005957632,194.76733,193.60698,50.535213,50.190376,28.73287,497.66055,1.160352,51.831715
147.11723,0.006109497,200.23288,199.00957,51.892323,50.80446,29.626232,495.1785,1.2233222,52.408474
151.23103,0.006264357,205.78972,204.5006,53.26956,51.409702,30.54007,492.70874,1.2891403,52.97725
155.41293,0.006422188,211.43773,210.07985,54.666916,52.00589,31.474306,490.2514,1.3578929,53.537796
159.66307,0.0065829623,217.17706,215.74739,56.084328,52.59262,32.428967,487.80627,1.4296684,54.08969
163.98155,0.0067466465,223.008,221.50345,57.5219,53.16999,33.40407,485.37332,1.5045562,54.633026
168.36845,0.0069132005,228.93071,227.34805,58.979607,53.73752,34.399654,482.95248,1.5826439,55.167286
172.82379,0.0070825885,234.94562,233.28162,60.45783,54.295376,35.415855,480.5438,1.6640233,55.692635
177.34767,0.007254766,241.05319,239.30441,61.956738,54.84315,36.453003,478.147,1.7487844,56.208637
181.94067,0.0074296924,247.25386,245.41684,63.47615,55.38094,37.51097,475.76218,1.8370202,56.715378
186.60202,0.0076073236,253.548,251.6192,65.01717,55.90853,38.59074,473.38937,1.9288218,57.212627
191.33281,0.0077876155,259.9363,257.912,66.57919,56.425983,39.69205,471.02832,2.024284,57.700424
196.13206,0.00797053,266.4194,264.2959,68.16382,56.933163,40.810036,468.67902,2.1235037,58.17863
201.0016,0.008156022,272.99796,270.7714,69.7698,57.430035,41.94839,466.3415,2.2265775,58.647186
205.94061,0.008344054,279.6728,277.33917,71.398575,57.9167,43.10833,464.01566,2.333605,59.10617
210.94981,0.008534584,286.44452,283.99982,73.05002,58.39301,44.290146,461.7013,2.4446847,59.555435
216.03004,0.008727569,293.3138,290.7539,74.72386,58.85895,45.49083,459.39856,2.5599167,59.994946
221.17735,0.008922967,300.27658,297.59723,76.41985,59.31369,46.709038,457.10733,2.679358,60.423866
226.38913,0.009120738,307.33157,304.52847,78.13935,59.75674,47.944195,454.8275,2.803091,60.841663
231.6689,0.009320843,314.4805,311.5493,79.88036,60.18839,49.198784,452.55902,2.9312234,61.248646
237.01755,0.009523237,321.7245,318.66064,81.64312,60.60874,50.4733,450.30185,3.0638587,61.644894
242.43584,0.009727874,329.06467,325.86356,83.42775,61.01804,51.768196,448.05597,3.2010999,62.030636
247.9246,0.00993471,336.50217,333.1591,85.23449,61.416294,53.083714,445.82132,3.3430517,62.405865
253.48352,0.010143703,344.0377,340.5479,87.06437,61.80367,54.417706,443.59775,3.4898162,62.770733
259.1136,0.010354804,351.67203,348.03052,88.91693,62.179985,55.772694,441.38525,3.641495,63.12506
