kplusy,lambd_haty,nuAT_haty,nuUO_haty,nuLO_haty,nuLF_haty,etaAT_haty,etaOC_haty
228.37334,0.98156214,0.75510556,-0.43721265,-0.0014544616,-0.63577807,-0.03571366,-0.22155036
234.125,0.9885033,0.7530819,-0.43496963,-0.0014814155,-0.633347,-0.036277484,-0.22201966
240.28543,0.9942499,0.7513229,-0.43294895,-0.0014176045,-0.6311139,-0.036553938,-0.22237395
246.82817,0.9990281,0.74992204,-0.43118817,-0.0013589987,-0.6292753,-0.03674257,-0.22275858
253.73325,1.0029292,0.74892896,-0.42972404,-0.0013082782,-0.62778413,-0.03696086,-0.22321688
260.9795,1.0060399,0.7483432,-0.42851248,-0.001261834,-0.6266015,-0.037231304,-0.22377828
268.55463,1.008545,0.7480243,-0.42746648,-0.0012566175,-0.62562555,-0.03756022,-0.22439942
276.44412,1.0105227,0.7479639,-0.42661443,-0.0012596105,-0.62487805,-0.03791332,-0.2251143
284.63293,1.0120385,0.74814755,-0.4259541,-0.0012758747,-0.6243291,-0.038270637,-0.22592147
293.10782,1.0131749,0.7485568,-0.42544526,-0.0012981279,-0.6239627,-0.038643684,-0.22681257
301.85724,1.0139971,0.7491592,-0.42506093,-0.0013179088,-0.6237622,-0.039038748,-0.227786
310.87396,1.0145578,0.7499317,-0.42478254,-0.0013360688,-0.62370294,-0.039454494,-0.22882612
320.16104,1.014906,0.75086445,-0.42458934,-0.0013554008,-0.6237519,-0.039893113,-0.22989565
329.708,1.0150417,0.75193757,-0.42448533,-0.0013722379,-0.6239242,-0.04034954,-0.23104031
339.5111,1.0150079,0.75312984,-0.4244668,-0.0013906837,-0.62420696,-0.040829826,-0.232259
349.56262,1.0148215,0.7544306,-0.42451552,-0.0014076133,-0.6245851,-0.041323557,-0.23353638
359.86972,1.0145435,0.7558238,-0.4246426,-0.0014230886,-0.6250688,-0.04182905,-0.23486838
370.4239,1.0141394,0.7573095,-0.42482346,-0.0014378794,-0.62562984,-0.04234608,-0.23625037
381.21817,1.0136343,0.7588737,-0.4250509,-0.0014526527,-0.6262564,-0.042873386,-0.2376754
392.24683,1.0130475,0.7605067,-0.42531747,-0.0014671329,-0.62693757,-0.0434128,-0.23913649
403.50534,1.012397,0.76219535,-0.42561787,-0.0014822222,-0.6276665,-0.043958765,-0.24062899
414.98978,1.011697,0.76393217,-0.42594695,-0.0014972948,-0.6284364,-0.044510927,-0.24214807
426.69827,1.010959,0.76570946,-0.42630228,-0.0015125701,-0.62924266,-0.045067538,-0.24369085
438.62897,1.0101917,0.7675227,-0.42668024,-0.0015291062,-0.63008076,-0.045627654,-0.24525476
450.7804,1.0094012,0.76936704,-0.42707813,-0.0015458544,-0.6309459,-0.046191912,-0.24683556
463.1521,1.0085938,0.7712388,-0.4274929,-0.0015631451,-0.63183534,-0.04675945,-0.2484312
475.74316,1.0077739,0.77313495,-0.4279237,-0.0015811063,-0.63274616,-0.047329783,-0.25004
488.55453,1.0069481,0.7750529,-0.4283712,-0.0016035666,-0.63368195,-0.047906417,-0.25165978
501.58682,1.00612,0.7769916,-0.4288378,-0.0016339768,-0.63464785,-0.04849383,-0.2532891
514.84045,1.0052891,0.7789484,-0.4293165,-0.0016654963,-0.63563097,-0.049083177,-0.25492796
528.3169,1.0044656,0.78093183,-0.42984378,-0.0016920853,-0.6366377,-0.049692404,-0.25659364
542.01764,1.0036447,0.7829348,-0.43039507,-0.0017173106,-0.63766223,-0.0503091,-0.25827312
555.9456,1.0028378,0.78486645,-0.43095365,-0.0017277815,-0.63875717,-0.050914507,-0.25998667
570.10236,1.0020343,0.7867918,-0.43152246,-0.00173527,-0.6398804,-0.051518448,-0.26171333
584.49005,1.0012437,0.7887335,-0.4321191,-0.0017492282,-0.6410159,-0.052129973,-0.2634664
599.1115,1.0004636,0.7906904,-0.43274054,-0.0017684822,-0.64216393,-0.05274834,-0.2652418
613.93604,0.9996909,0.7926077,-0.43336874,-0.0017847514,-0.6433061,-0.053358782,-0.26697007
628.9525,0.99895424,0.7944885,-0.43401527,-0.0017949345,-0.64443827,-0.05396249,-0.26866925
644.1696,0.99827105,0.7963389,-0.4347276,-0.0017881216,-0.6455679,-0.054557785,-0.2703669
659.59283,0.997619,0.7981822,-0.43544027,-0.0017826532,-0.646697,-0.055151302,-0.27206096
675.22723,0.9969933,0.80002093,-0.43615517,-0.0017781975,-0.64782786,-0.055743575,-0.2737533
691.0778,0.99639046,0.8018571,-0.43687323,-0.0017748072,-0.64896166,-0.05633447,-0.27544427
707.14813,0.99580705,0.8036902,-0.43759817,-0.0017704554,-0.6501001,-0.056922052,-0.27713293
723.4391,0.9952462,0.8055,-0.43835273,-0.001746855,-0.65125155,-0.057483677,-0.2788069
739.952,0.9947036,0.80731064,-0.43910807,-0.0017420475,-0.65243024,-0.058038075,-0.2804864
756.6908,0.99417704,0.8091215,-0.4398671,-0.0017387744,-0.6536133,-0.058591753,-0.28216556
773.65875,0.993665,0.81093365,-0.44063082,-0.0017357334,-0.65480083,-0.05914488,-0.28384432
790.8625,0.9931785,0.8127743,-0.4414192,-0.0017284569,-0.6560232,-0.05970461,-0.28555277
808.3055,0.9927233,0.8146514,-0.4422491,-0.0017219621,-0.65728706,-0.06026424,-0.28730926
825.9837,0.9922844,0.81651896,-0.4430645,-0.0017125453,-0.65856504,-0.06082058,-0.28906313
843.89856,0.9918611,0.81838167,-0.44387478,-0.0017025205,-0.6598512,-0.061372165,-0.29081458
862.04767,0.99145,0.82024586,-0.44470382,-0.0017007948,-0.6611427,-0.06192234,-0.29255497
880.43463,0.9910515,0.82211095,-0.4455371,-0.0016996057,-0.6624378,-0.062471777,-0.29429415
899.0635,0.99066377,0.82397777,-0.4463742,-0.0016994402,-0.6637382,-0.06302028,-0.29603198
917.9366,0.99028516,0.82584685,-0.44721612,-0.0016993007,-0.66504353,-0.06356804,-0.29776913
937.0405,0.9899044,0.8276978,-0.44805664,-0.0016950532,-0.6663437,-0.06411337,-0.29948258
956.3697,0.98957425,0.8296133,-0.44898638,-0.001686567,-0.66775453,-0.06468554,-0.30121434
