foc_kplus,foc_lambd,foc_TATplus,foc_MATplus,foc_MUOplus,foc_MLOplus,foc_MLFplus,foc_TOCplus
8.106e-05,7.296e-05,4.250e-05,1.283e-04,1.290e-04,4.361e-05,9.537e-07,2.550e-04
1.075e-04,3.431e-04,1.288e-04,7.766e-05,1.119e-04,4.739e-05,9.257e-05,3.922e-05
4.315e-05,3.955e-04,4.143e-05,6.402e-05,4.256e-05,4.237e-05,2.807e-05,3.366e-05
1.502e-05,3.867e-04,1.203e-04,1.276e-04,7.692e-05,3.470e-05,1.224e-04,5.543e-05
1.633e-05,3.977e-04,2.656e-04,2.297e-04,1.654e-04,3.060e-05,2.006e-04,3.879e-05
6.747e-05,4.058e-04,3.841e-04,2.395e-04,1.792e-04,1.011e-05,1.958e-04,5.576e-05
1.354e-04,4.361e-04,4.500e-04,2.643e-04,2.310e-04,1.767e-05,2.280e-04,3.327e-05
1.853e-04,4.454e-04,4.865e-04,2.810e-04,2.889e-04,3.020e-05,2.455e-04,9.328e-06
2.451e-04,4.263e-04,5.251e-04,2.929e-04,3.153e-04,3.537e-05,2.612e-04,1.019e-05
3.070e-04,3.753e-04,5.611e-04,2.916e-04,3.229e-04,3.210e-05,2.725e-04,3.237e-05
3.664e-04,2.935e-04,5.887e-04,2.846e-04,3.197e-04,2.973e-05,2.705e-04,4.287e-05
4.263e-04,2.143e-04,6.116e-04,2.842e-04,3.036e-04,3.023e-05,2.486e-04,2.113e-05
4.392e-04,2.100e-04,6.249e-04,2.791e-04,2.982e-04,2.704e-05,2.512e-04,4.812e-05
4.563e-04,1.729e-04,6.385e-04,2.730e-04,2.947e-04,2.800e-05,2.494e-04,7.764e-05
4.561e-04,1.516e-04,6.389e-04,2.677e-04,2.789e-04,2.578e-05,2.405e-04,9.444e-05
4.883e-04,1.097e-04,6.359e-04,2.586e-04,2.786e-04,2.373e-05,2.474e-04,1.094e-04
4.556e-04,1.395e-04,6.307e-04,2.587e-04,2.590e-04,2.253e-05,2.335e-04,1.221e-04
4.249e-04,1.419e-04,6.226e-04,2.530e-04,2.370e-04,2.196e-05,2.150e-04,1.300e-04
3.940e-04,1.271e-04,6.143e-04,2.467e-04,2.123e-04,2.112e-05,1.924e-04,1.333e-04
3.655e-04,9.966e-05,5.998e-04,2.331e-04,1.866e-04,2.120e-05,1.692e-04,1.338e-04
3.376e-04,6.557e-05,5.844e-04,2.171e-04,1.598e-04,2.061e-05,1.452e-04,1.312e-04
3.109e-04,2.789e-05,5.672e-04,1.978e-04,1.343e-04,2.033e-05,1.217e-04,1.273e-04
