,foc_kplus,foc_lambd,foc_TATplus,foc_MATplus,foc_MUOplus,foc_MLOplus,foc_MLFplus,foc_TOCplus
count,5.120e+03,5.120e+03,5.120e+03,5.120e+03,5.120e+03,5.120e+03,5.120e+03,5.120e+03
mean,1.086e-04,1.463e-04,1.958e-04,1.059e-04,6.784e-05,1.352e-05,8.286e-05,3.304e-05
std,8.204e-05,8.121e-05,1.471e-04,7.810e-05,6.323e-05,9.310e-06,6.193e-05,3.200e-05
min,4.768e-07,5.007e-06,8.643e-07,4.768e-07,7.153e-07,1.761e-07,1.788e-07,5.960e-08
0.1%,4.768e-07,5.007e-06,8.643e-07,4.768e-07,7.153e-07,1.761e-07,1.788e-07,5.960e-08
25%,7.221e-05,9.459e-05,9.002e-05,4.898e-05,2.309e-05,6.089e-06,2.903e-05,1.331e-05
50%,9.978e-05,1.369e-04,1.702e-04,9.036e-05,5.090e-05,1.187e-05,7.203e-05,2.490e-05
75%,1.225e-04,1.639e-04,2.456e-04,1.363e-04,8.467e-05,2.056e-05,1.117e-04,4.322e-05
99.9%,4.883e-04,4.454e-04,6.389e-04,3.579e-04,3.229e-04,4.739e-05,2.725e-04,2.550e-04
max,4.883e-04,4.454e-04,6.389e-04,3.579e-04,3.229e-04,4.739e-05,2.725e-04,2.550e-04
