con,Omega,Theta,ygross,ynet,inv,Eind,scc,carbontax,Abatement,Dam,Emissions
77.071075,0.0028556,0.00026438115,105.17594,104.8756,27.776802,32.62839,15.029083,17.144806,0.027806537,0.3003404,35.22839
79.617615,0.0031388626,0.0002708548,108.725075,108.383804,28.736832,33.14639,15.432699,17.531826,0.029448707,0.34127304,35.687275
82.25656,0.0033709765,0.00027768314,112.3814,112.002556,29.714901,33.66565,15.85743,17.935549,0.031206418,0.37883508,36.148758
84.99649,0.0035638516,0.00028508995,116.14327,115.729355,30.699879,34.183186,16.304354,18.364855,0.033111278,0.41391736,36.609837
87.80275,0.0037275476,0.00029262502,120.00585,119.55852,31.720793,34.69956,16.76974,18.801868,0.035116713,0.4473275,37.071037
90.69851,0.0038701342,0.00029983747,123.97165,123.49186,32.75632,35.217537,17.265604,19.228893,0.03717134,0.4797869,37.535095
93.68352,0.003997881,0.0003069411,128.0378,127.52592,33.803257,35.734283,17.79079,19.654493,0.03930006,0.51187986,37.99914
96.74025,0.004115558,0.00031405652,132.20119,131.6571,34.87551,36.24747,18.338741,20.083538,0.041518647,0.5440817,38.46083
99.87108,0.0042267367,0.00032134494,136.46194,135.88516,35.970413,36.75537,18.910063,20.522469,0.043851357,0.5767887,38.918407
103.07541,0.00433405,0.00032886086,140.81973,140.20941,37.08789,37.256893,19.503864,20.9735,0.046310097,0.6103198,39.370743
106.35333,0.004439417,0.00033667733,145.274,144.62907,38.22704,37.75095,20.120068,21.439491,0.04891047,0.64493185,39.81674
109.70475,0.004544214,0.00034484395,149.82414,149.14333,39.387135,38.236225,20.75838,21.92252,0.05166595,0.6808329,40.255043
113.13174,0.0046494203,0.00035339853,154.46948,153.7513,40.565216,38.71195,21.419249,22.424015,0.054589286,0.71819353,40.684864
116.63216,0.0047557135,0.0003623694,159.20912,158.45197,41.76239,39.176968,22.101645,22.945192,0.057692517,0.757153,41.105022
120.20106,0.004863555,0.00037178054,164.04222,163.2444,42.98265,39.63063,22.803623,23.48693,0.060987707,0.7978284,41.51485
123.83832,0.004973246,0.00038164775,168.96849,168.12816,44.22568,40.072083,23.525015,24.04994,0.064486444,0.8403218,41.913456
127.54605,0.00508497,0.00039198593,173.98746,173.10274,45.488842,40.500904,24.266108,24.634718,0.06820063,0.884721,42.30041
131.32751,0.005198827,0.0004027991,179.09871,178.16759,46.768326,40.91634,25.028046,25.24152,0.0721408,0.93110317,42.67493
135.17838,0.005314858,0.00041409582,184.30159,183.32204,48.067745,41.318054,25.80918,25.870592,0.07631852,0.9795368,43.036655
