foc_kplus,foc_lambd,kkt_mu_fb,foc_TATplus,foc_MATplus,foc_MUOplus,foc_MLOplus,foc_MLFplus,foc_TOCplus
3.738e-04,1.316e-04,8.156e-04,1.132e-04,8.452e-05,2.773e-04,1.243e-05,5.084e-05,1.344e-04
3.326e-04,1.674e-04,7.911e-04,2.278e-04,4.153e-04,5.361e-05,2.505e-05,1.209e-04,1.167e-04
4.905e-04,2.205e-04,7.609e-04,3.680e-04,2.975e-04,2.091e-04,4.209e-06,1.698e-04,2.597e-05
7.367e-05,1.652e-04,7.299e-04,2.111e-04,1.774e-04,3.087e-04,2.434e-05,3.739e-04,1.661e-04
1.189e-04,2.203e-04,6.946e-04,2.012e-05,2.586e-04,1.412e-04,1.665e-05,1.382e-04,8.339e-05
1.917e-04,2.372e-04,6.427e-04,1.224e-04,3.387e-04,2.256e-05,1.669e-05,2.939e-05,2.640e-05
7.749e-06,2.048e-04,5.790e-04,1.968e-04,3.920e-04,7.251e-05,5.628e-06,1.289e-04,1.302e-05
9.561e-05,2.029e-04,5.090e-04,2.559e-04,4.452e-04,1.493e-04,1.660e-06,2.080e-04,1.304e-05
1.727e-04,2.172e-04,4.354e-04,2.973e-04,4.757e-04,1.909e-04,3.612e-06,2.486e-04,6.557e-06
2.179e-04,2.353e-04,3.597e-04,3.281e-04,5.044e-04,2.240e-04,9.822e-06,2.810e-04,9.745e-06
2.371e-04,2.565e-04,2.834e-04,3.494e-04,5.274e-04,2.455e-04,1.249e-05,3.008e-04,1.439e-05
2.072e-04,2.730e-04,2.074e-04,3.703e-04,5.483e-04,2.924e-04,1.685e-05,3.302e-04,1.107e-05
1.910e-04,2.980e-04,1.324e-04,3.764e-04,5.685e-04,3.022e-04,1.766e-05,3.304e-04,1.372e-05
2.216e-04,3.245e-04,5.913e-05,3.654e-04,5.758e-04,2.457e-04,1.611e-05,2.879e-04,2.897e-05
2.395e-04,3.290e-04,1.150e-05,3.557e-04,5.682e-04,1.940e-04,1.352e-05,2.468e-04,4.010e-05
2.185e-04,3.145e-04,7.933e-05,3.517e-04,5.428e-04,1.684e-04,1.064e-05,2.172e-04,3.773e-05
1.527e-04,2.940e-04,1.441e-04,3.547e-04,5.254e-04,1.958e-04,1.092e-05,2.215e-04,2.462e-05
1.321e-04,2.899e-04,2.061e-04,3.442e-04,5.092e-04,1.719e-04,8.844e-06,1.918e-04,2.153e-05
1.116e-04,2.820e-04,2.650e-04,3.314e-04,4.915e-04,1.476e-04,7.633e-06,1.620e-04,1.949e-05
9.274e-05,2.735e-04,3.206e-04,3.177e-04,4.715e-04,1.221e-04,6.623e-06,1.315e-04,1.627e-05
7.474e-05,2.656e-04,3.728e-04,3.026e-04,4.510e-04,9.638e-05,4.105e-06,1.008e-04,1.217e-05
5.758e-05,2.589e-04,4.217e-04,2.871e-04,4.289e-04,7.111e-05,2.918e-06,7.105e-05,7.182e-06
4.184e-05,2.537e-04,4.671e-04,2.710e-04,4.061e-04,4.485e-05,9.973e-07,4.095e-05,4.381e-06
