kx,MATx,MUOx,MLOx,MLFx,TATx,TOCx,taux
223.00183,854.0,1041.0,37403.0,637.0,1.1,0.27,0.0
228.40627,855.5564,1045.0457,37403.645,640.3639,1.1532677,0.27571872,0.014888048
234.23524,857.44464,1049.0319,37404.3,643.5672,1.1951485,0.28176504,0.029554427
240.46582,859.6197,1052.9725,37404.973,646.64215,1.228864,0.28805825,0.044002473
247.05562,862.0427,1056.8794,37405.656,649.6158,1.2567694,0.2945404,0.058235407
254.01398,864.6812,1060.7626,37406.35,652.5106,1.2805809,0.30117017,0.072256446
261.31522,867.5085,1064.6302,37407.062,655.3459,1.3015442,0.3079183,0.08606875
268.932,870.5014,1068.4902,37407.785,658.1372,1.3205607,0.31476438,0.09967542
276.86063,873.6397,1072.3486,37408.52,660.8981,1.3382788,0.3216943,0.11307949
285.0941,876.9059,1076.2106,37409.266,663.6395,1.3551612,0.32869858,0.126284
293.62497,880.2846,1080.0809,37410.027,666.3707,1.3715352,0.3357709,0.13929194
302.44543,883.7628,1083.9635,37410.8,669.0993,1.387629,0.3429073,0.15210623
311.5473,887.32886,1087.8616,37411.586,671.8315,1.4036001,0.35010543,0.16472971
320.9213,890.9725,1091.7778,37412.383,674.5722,1.4195538,0.357364,0.17716527
330.55945,894.6848,1095.7146,37413.195,677.32556,1.4355586,0.3646825,0.1894157
340.45615,898.4577,1099.6737,37414.02,680.0947,1.4516568,0.37206084,0.20148373
350.6058,902.28406,1103.657,37414.86,682.88214,1.467872,0.37949926,0.21337211
361.00247,906.1575,1107.6655,37415.71,685.68964,1.4842145,0.38699815,0.22508347
371.6396,910.0722,1111.7003,37416.58,688.51855,1.500686,0.39455795,0.23662049
382.5127,914.0231,1115.7621,37417.453,691.3699,1.5172825,0.40217918,0.24798572
393.618,918.00525,1119.8514,37418.344,694.2439,1.5339955,0.40986225,0.25918174
404.95227,922.0143,1123.9689,37419.246,697.1409,1.5508144,0.41760752,0.2702111
416.51346,926.0464,1128.1143,37420.164,700.06085,1.5677272,0.4254153,0.28107625
428.2992,930.09766,1132.2878,37421.098,703.00323,1.5847213,0.43328583,0.29177964
440.30817,934.1646,1136.4895,37422.043,705.9675,1.6017839,0.4412192,0.3023237
452.53918,938.244,1140.719,37423.0,708.9532,1.6189021,0.4492155,0.31271076
464.99124,942.33295,1144.976,37423.973,711.9592,1.6360637,0.45727465,0.32294315
477.66446,946.4283,1149.2598,37424.96,714.98474,1.6532567,0.4653965,0.33302325
490.55872,950.5274,1153.5702,37425.96,718.0285,1.6704694,0.47358084,0.34295326
503.67416,954.6277,1157.9065,37426.977,721.0895,1.6876915,0.4818274,0.35273546
517.0085,958.7269,1162.268,37428.004,724.1664,1.7049121,0.49013582,0.36237198
530.56213,962.8227,1166.6538,37429.05,727.25806,1.7221221,0.49850562,0.37186503
544.3368,966.9126,1171.0632,37430.105,730.36304,1.739312,0.5069363,0.38121676
558.33295,970.9943,1175.4951,37431.18,733.48,1.7564737,0.51542735,0.39042926
572.5519,975.0658,1179.949,37432.266,736.60754,1.7735986,0.5239782,0.3995046
586.9951,979.1247,1184.4236,37433.363,739.7443,1.790679,0.53258806,0.40844482
601.6588,983.16925,1188.9177,37434.48,742.88873,1.8077072,0.5412563,0.41725194
616.54083,987.19745,1193.4307,37435.61,746.0395,1.8246762,0.54998213,0.42592794
631.643,991.20734,1197.9609,37436.754,749.19507,1.8415792,0.55876476,0.43447477
646.96747,995.197,1202.5074,37437.906,752.354,1.85841,0.56760335,0.44289434
662.5163,999.1644,1207.0692,37439.08,755.5148,1.8751622,0.576497,0.45118856
678.2918,1003.1078,1211.6447,37440.266,758.67596,1.89183,0.5854448,0.4593593
694.29614,1007.02527,1216.2328,37441.47,761.83606,1.9084071,0.5944458,0.46740842
710.53143,1010.91504,1220.832,37442.684,764.9935,1.9248885,0.603499,0.47533768
726.9998,1014.7754,1225.4412,37443.918,768.147,1.9412688,0.61260337,0.48314893
743.7035,1018.6046,1230.0591,37445.164,771.2949,1.9575428,0.62175786,0.49084383
760.64435,1022.4011,1234.684,37446.426,774.4358,1.9737053,0.6309614,0.49842417
777.8249,1026.1631,1239.3146,37447.703,777.5683,1.9897518,0.6402129,0.5058917
795.24725,1029.889,1243.9496,37448.996,780.6909,2.0056777,0.6495112,0.513248
812.9053,1033.5773,1248.5875,37450.305,783.8022,2.0214782,0.6588552,0.5204948
830.79236,1037.2267,1253.227,37451.63,786.9008,2.037149,0.66824365,0.5276337
848.9105,1040.8354,1257.8663,37452.97,789.9853,2.0526862,0.6776754,0.53466636
867.26416,1044.4023,1262.5044,37454.324,793.0542,2.068086,0.6871492,0.54159427
885.8552,1047.9258,1267.1393,37455.69,796.1063,2.0833445,0.69666386,0.54841906
904.68695,1051.4044,1271.7698,37457.08,799.1402,2.098458,0.70621806,0.5551423
923.763,1054.8372,1276.3943,37458.477,802.1546,2.113423,0.7158106,0.5617654
943.08514,1058.2223,1281.0112,37459.89,805.1482,2.1282363,0.72544014,0.5682899
962.6561,1061.5587,1285.6193,37461.324,808.1196,2.1428943,0.7351054,0.5747172
982.47876,1064.8453,1290.2168,37462.77,811.0677,2.157394,0.74480504,0.58104885
1002.5557,1068.0808,1294.8024,37464.23,813.99115,2.1717322,0.75453776,0.58728623
1022.8887,1071.264,1299.3743,37465.707,816.8887,2.1859062,0.76430225,0.59343076
1043.4803,1074.394,1303.9309,37467.2,819.7593,2.1999135,0.7740971,0.59948385
1064.3328,1077.4695,1308.471,37468.703,822.60156,2.2137508,0.78392094,0.60544676
1085.4491,1080.4896,1312.993,37470.227,825.4145,2.227416,0.79377246,0.6113209
1106.8308,1083.4534,1317.4955,37471.76,828.19696,2.2409067,0.80365026,0.6171076
1128.4803,1086.3597,1321.9768,37473.316,830.9478,2.2542207,0.813553,0.62280816
1150.3995,1089.2079,1326.4355,37474.883,833.666,2.2673557,0.8234792,0.6284238
1172.591,1091.9971,1330.8702,37476.465,836.3506,2.2803094,0.8334275,0.63395584
1195.0563,1094.7263,1335.2794,37478.06,839.00037,2.2930803,0.8433965,0.6394055
1217.7982,1097.3949,1339.6617,37479.668,841.61444,2.3056664,0.8533848,0.6447741
1240.8176,1100.0022,1344.0156,37481.293,844.19183,2.318066,0.86339104,0.65006274
1264.1183,1102.5474,1348.3396,37482.934,846.7317,2.3302774,0.87341374,0.65527266
1287.7013,1105.03,1352.6323,37484.582,849.233,2.3422992,0.8834515,0.66040504
1311.5687,1107.4496,1356.8923,37486.246,851.69495,2.3541303,0.893503,0.665461
1335.7222,1109.805,1361.1184,37487.92,854.1167,2.365769,0.9035667,0.6704416
1360.1642,1112.0966,1365.3092,37489.613,856.49744,2.3772142,0.9136413,0.6753481
1384.8964,1114.3234,1369.4634,37491.316,858.83636,2.3884652,0.9237253,0.6801815
1409.9211,1116.4851,1373.5793,37493.04,861.1328,2.3995209,0.9338174,0.68494296
1435.2406,1118.5815,1377.6562,37494.77,863.386,2.4103804,0.9439161,0.6896336
1460.8557,1120.6122,1381.6926,37496.516,865.5953,2.4210432,0.95402,0.6942544
1486.7705,1122.5769,1385.6873,37498.277,867.7601,2.4315083,0.96412784,0.6988064
1512.9851,1124.4756,1389.6389,37500.05,869.87964,2.4417756,0.9742381,0.70329064
1539.5022,1126.3079,1393.5465,37501.836,871.9535,2.4518447,0.9843494,0.7077081
1566.3241,1128.0737,1397.4086,37503.633,873.9811,2.4617147,0.99446046,0.71205986
1593.4519,1129.7732,1401.2242,37505.445,875.9618,2.471386,1.0045699,0.71634674
1620.8845,1131.4059,1404.9924,37507.266,877.8953,2.4808583,1.0146762,0.72056985
1648.6074,1132.9703,1408.712,37509.1,879.78107,2.4901316,1.0247782,0.7247301
1676.6226,1134.467,1412.3821,37510.95,881.6186,2.4992046,1.0348746,0.7288283
1704.9343,1135.8962,1416.0015,37512.81,883.4075,2.5080767,1.0449638,0.7328656
1733.5458,1137.258,1419.569,37514.684,885.1473,2.5167482,1.0550447,0.7368427
1762.4591,1138.5529,1423.0837,37516.566,886.83765,2.525219,1.0651158,0.74076056
1791.677,1139.7812,1426.5449,37518.465,888.47833,2.5334892,1.0751759,0.7446202
1821.159,1140.9341,1429.9514,37520.37,890.0691,2.5415602,1.0852237,0.7484224
1850.8899,1142.0094,1433.3025,37522.29,891.609,2.5494251,1.0952579,0.75216794
1880.8766,1143.0089,1436.5966,37524.22,893.0974,2.5570788,1.1052771,0.7558577
1911.1282,1143.9342,1439.8324,37526.16,894.5335,2.564518,1.11528,0.7594925
1941.6489,1144.7869,1443.0093,37528.11,895.9168,2.5717416,1.1252652,0.76307327
1972.4451,1145.5681,1446.126,37530.07,897.24695,2.5787497,1.1352315,0.76660067
2003.5234,1146.2795,1449.1819,37532.043,898.5236,2.5855434,1.1451774,0.77007556
2034.888,1146.9225,1452.1761,37534.023,899.74664,2.5921245,1.1551015,0.7734987
2066.546,1147.498,1455.1078,37536.016,900.91595,2.5984955,1.1650026,0.7768709
2098.4922,1148.0034,1457.9763,37538.01,902.03156,2.6046584,1.1748793,0.78019285
2130.7263,1148.4357,1460.7811,37540.02,903.0932,2.6106133,1.1847305,0.7834654
2163.2522,1148.7966,1463.521,37542.035,904.10065,2.6163583,1.1945548,0.78668916
2196.075,1149.0886,1466.1954,37544.06,905.05365,2.6218925,1.2043511,0.78986496
2229.1987,1149.3132,1468.8037,37546.094,905.9523,2.627217,1.2141179,0.7929935
2262.6294,1149.4723,1471.3456,37548.133,906.7964,2.632334,1.2238542,0.79607546
2296.3687,1149.5675,1473.8202,37550.188,907.58624,2.637246,1.2335587,0.79911155
2330.422,1149.6005,1476.2273,37552.246,908.3221,2.641956,1.2432301,0.80210245
2364.7925,1149.5729,1478.5665,37554.312,909.0043,2.646468,1.2528673,0.8050488
2399.4834,1149.4861,1480.8376,37556.39,909.6332,2.6507845,1.2624693,0.8079513
2434.4958,1149.3413,1483.0404,37558.473,910.2092,2.6549098,1.2720348,0.81081057
2469.8325,1149.1404,1485.1748,37560.562,910.733,2.6588473,1.2815628,0.81362724
2505.4988,1148.8843,1487.2406,37562.656,911.20496,2.6626003,1.2910523,0.81640196
2541.494,1148.5746,1489.2378,37564.758,911.62573,2.6661725,1.3005023,0.8191354
2577.821,1148.2124,1491.1664,37566.867,911.99603,2.669567,1.3099117,0.8218281
2614.4827,1147.7993,1493.0265,37568.984,912.3164,2.6727877,1.3192798,0.8244808
2651.4792,1147.3364,1494.8181,37571.105,912.58765,2.6758378,1.3286054,0.82709396
2688.8147,1146.8251,1496.5414,37573.234,912.81036,2.6787202,1.3378879,0.8296682
2726.4863,1146.2662,1498.1969,37575.367,912.9854,2.6814387,1.3471262,0.83220416
2764.4995,1145.6615,1499.7842,37577.508,913.1134,2.683996,1.3563197,0.8347023
2802.8528,1145.0118,1501.3041,37579.652,913.19525,2.6863952,1.3654673,0.83716327
2841.5508,1144.3186,1502.7567,37581.797,913.2317,2.6886392,1.3745685,0.83958757
2880.5933,1143.583,1504.1425,37583.953,913.2235,2.6907313,1.3836224,0.8419758
2919.981,1142.8063,1505.4614,37586.113,913.1715,2.6926746,1.3926284,0.8443285
2959.7163,1141.9896,1506.7145,37588.273,913.0766,2.6944718,1.4015857,0.8466462
2999.7966,1141.134,1507.9017,37590.434,912.9396,2.6961262,1.4104937,0.84892935
3040.2258,1140.241,1509.0238,37592.6,912.76117,2.6976407,1.4193517,0.8511785
3081.0056,1139.3112,1510.0812,37594.773,912.5424,2.6990178,1.4281591,0.8533942
3122.1355,1138.3462,1511.0743,37596.945,912.28406,2.7002606,1.4369153,0.8555769
3163.617,1137.347,1512.0038,37599.125,911.98706,2.7013721,1.4456197,0.85772705
3205.449,1136.315,1512.8704,37601.31,911.6522,2.702355,1.4542718,0.8598452
