con,Omega,Theta,ygross,ynet,inv,Eind,scc,carbontax,Abatement,Dam,Emissions
77.18337,0.008470001,0.0017235054,105.17594,104.2851,26.921993,28.17293,49.08558,54.346024,0.1812713,0.8908403,30.772928
79.66479,0.009248262,0.0017778637,108.66553,107.66055,27.804363,28.49263,50.34788,55.807953,0.1931925,1.0049673,31.033514
82.230835,0.009897174,0.001823374,112.26623,111.15511,28.721598,28.830357,51.69836,57.106377,0.2047033,1.1111184,31.313467
84.878105,0.010445778,0.0018626871,115.970474,114.75907,29.66721,29.178389,53.12827,58.293915,0.21601671,1.2114018,31.605038
87.60391,0.010918551,0.0018994823,119.77563,118.467865,30.638922,29.528355,54.63329,59.44189,0.2275117,1.3077763,31.89983
90.407166,0.011335224,0.0019362431,123.68127,122.279305,31.635378,29.874475,56.21015,60.598427,0.239477,1.4019548,32.19203
93.28629,0.011711243,0.0019747892,127.68644,126.191086,32.655586,30.21214,57.855854,61.798687,0.2521538,1.495367,32.476997
96.23962,0.012058447,0.0020164747,131.79027,130.20108,33.69892,30.537523,59.567516,63.06895,0.26575175,1.5891861,32.75088
99.26544,0.012385784,0.0020621347,135.9916,134.30722,34.76482,30.847733,61.342396,64.42548,0.28043297,1.6843624,33.01076
102.36457,0.012699908,0.0021074766,140.2893,138.50766,35.851173,31.150835,63.18041,65.7859,0.2956564,1.7816613,33.264687
105.53756,0.013005707,0.0021563012,144.68626,142.80452,36.95903,31.43891,65.08253,67.22324,0.31198716,1.8817472,33.5047
108.783104,0.013306781,0.002211521,149.18272,147.19759,38.08895,31.704758,67.04708,68.79359,0.3299207,1.9851419,33.72357
112.106445,0.013605692,0.0022749328,153.77702,151.68477,39.233246,31.943474,69.08409,70.530556,0.3498324,2.0922427,33.91639
115.501366,0.013904231,0.0023447934,158.4669,156.26355,40.395775,32.157482,71.182465,72.40021,0.37157217,2.2033606,34.085537
118.9643,0.014203572,0.0024201907,163.2508,160.93205,41.578274,32.348064,73.3359,74.38416,0.39509803,2.3187444,34.23228
122.49449,0.014504451,0.0025006612,168.12798,165.68938,42.78056,32.515423,75.54333,76.47319,0.42043108,2.4386039,34.356792
126.08892,0.014807295,0.0025832683,173.09792,170.5348,44.00535,32.665714,77.80399,78.6114,0.4471584,2.5631118,34.46522
129.75203,0.015112311,0.0026716662,178.1625,175.47005,45.24924,32.79069,80.11939,80.86734,0.47599074,2.6924472,34.549282
133.48291,0.015419564,0.0027655333,183.32065,180.49393,46.51186,32.8907,82.48809,83.233955,0.50697935,2.8267243,34.609303
137.28122,0.015728997,0.0028646067,188.57187,185.60582,47.792908,32.965748,84.90926,85.70593,0.54018426,2.9660466,34.64527
141.14667,0.016040439,0.002968658,193.91566,190.80516,49.09206,33.016113,87.3822,88.27825,0.5756693,3.1104925,34.65745
145.07886,0.016353665,0.0030774453,199.35168,196.09155,50.409252,33.04207,89.90621,90.94599,0.6134939,3.2601306,34.646088
149.07799,0.0166684,0.003190798,204.88008,201.46504,51.744232,33.04376,92.481155,93.705734,0.6537309,3.4150229,34.6113
153.14386,0.016984344,0.0033085274,210.50066,206.92545,53.096966,33.02147,95.10669,96.55374,0.69644725,3.5752156,34.55337
157.27678,0.017301176,0.0034304652,216.21365,212.47289,54.46722,32.975327,97.78282,99.48697,0.74171335,3.7407503,34.472397
161.47244,0.017618556,0.0035572562,222.01935,218.10771,55.859383,32.90406,100.51243,102.51649,0.78977966,3.91166,34.367096
165.73189,0.01793615,0.003687923,227.91628,223.82831,57.270966,32.80927,103.29222,105.62514,0.8405377,4.08794,34.239033
