kplusy,lambd_haty,muy,nuAT_haty,nuUO_haty,nuLO_haty,nuLF_haty,etaAT_haty,etaOC_haty
228.07149,0.98183835,0.23537113,2.3771584,-0.87300444,-0.003590848,-2.0503724,-0.10070309,-0.5465989
233.51619,0.989707,0.24005766,2.3705025,-0.8665027,-0.0036316772,-2.0405655,-0.10203245,-0.5458969
239.3536,0.9965455,0.24429552,2.3650994,-0.8610361,-0.0036031862,-2.0324297,-0.10330728,-0.5454105
245.5562,1.0024885,0.2482329,2.3607209,-0.8563864,-0.0035554727,-2.0255346,-0.10449585,-0.545088
252.11159,1.007649,0.25206345,2.357231,-0.8523782,-0.00351065,-2.0195844,-0.10563281,-0.54488933
259.00717,1.0121069,0.25591603,2.3544831,-0.8488883,-0.0034726819,-2.014433,-0.106725484,-0.5448134
266.22906,1.0159433,0.25988328,2.352364,-0.84581256,-0.0034396907,-2.0099494,-0.10778734,-0.54484934
273.76492,1.0192369,0.26403302,2.3507788,-0.8430716,-0.0034130176,-2.0060215,-0.10883412,-0.5449837
281.60208,1.0220588,0.2684057,2.3496485,-0.8406016,-0.003393825,-2.0025575,-0.10987404,-0.54520255
289.75488,1.0244389,0.27278522,2.348934,-0.8383763,-0.0034038385,-1.9995351,-0.110889465,-0.54550743
298.22137,1.0264091,0.27736056,2.3485978,-0.8363565,-0.0034288426,-1.9968933,-0.111902565,-0.5458882
306.98596,1.028024,0.2822732,2.348586,-0.8344993,-0.0034584363,-1.994559,-0.112927645,-0.5463306
316.0305,1.0292475,0.28760415,2.3489728,-0.83284014,-0.0034087857,-1.99264,-0.11409041,-0.5468375
325.34244,1.030197,0.29326072,2.3496168,-0.83130825,-0.0033382436,-1.9909776,-0.11529973,-0.5473886
334.91217,1.0309428,0.2991913,2.3504403,-0.82986474,-0.0032743474,-1.9894841,-0.11650899,-0.54796994
344.73422,1.0315167,0.3053684,2.3514223,-0.8284985,-0.00321969,-1.9881433,-0.1177192,-0.54857665
354.81808,1.0319724,0.31164953,2.3526075,-0.82722986,-0.003197517,-1.9869976,-0.11894104,-0.5492236
365.1547,1.0322732,0.3182024,2.353911,-0.8260209,-0.0031766554,-1.985968,-0.120159596,-0.5498856
375.73666,1.0324457,0.32500514,2.3553114,-0.8248624,-0.0031582972,-1.9850363,-0.1213738,-0.55055887
386.55887,1.0325091,0.33204073,2.3567924,-0.8237488,-0.0031431874,-1.9841911,-0.122582406,-0.55123895
397.61658,1.0324799,0.33929333,2.3583424,-0.8226762,-0.0031299253,-1.9834191,-0.1237835,-0.5519227
408.90683,1.0323731,0.34674773,2.3599489,-0.82163924,-0.0031199714,-1.9827158,-0.124976486,-0.5526079
420.4274,1.0321987,0.35439286,2.3616045,-0.82063746,-0.0031125804,-1.9820725,-0.12615934,-0.5532916
432.1763,1.0319669,0.36221707,2.3633018,-0.81966674,-0.0031067093,-1.9814821,-0.12733272,-0.553974
444.15308,1.0316838,0.37021095,2.3650343,-0.8187268,-0.0031037887,-1.9809442,-0.12849352,-0.55465156
456.3465,1.031398,0.37839782,2.3669074,-0.8179445,-0.0030990203,-1.9805492,-0.12971905,-0.5553846
468.75226,1.0311037,0.38673574,2.3688474,-0.817245,-0.0030961295,-1.9802321,-0.13096252,-0.55613554
481.37317,1.0307877,0.3951982,2.3707979,-0.8165674,-0.0030937155,-1.9799483,-0.13219288,-0.55687726
494.2111,1.0304515,0.40378097,2.3727624,-0.81591254,-0.0030946692,-1.9796971,-0.13340709,-0.5576086
507.265,1.0301135,0.41247496,2.3747435,-0.81529486,-0.0030980965,-1.9795085,-0.13459781,-0.55833375
520.496,1.030006,0.42120454,2.376827,-0.81490624,-0.00310662,-1.9797928,-0.13566461,-0.5591104
533.9113,1.0299165,0.42997426,2.3788865,-0.81452286,-0.0031193753,-1.9800736,-0.13671377,-0.55986685
547.5189,1.0298368,0.43879122,2.3809254,-0.81414795,-0.0031323691,-1.980357,-0.13774452,-0.56060535
561.3278,1.0297667,0.44765785,2.3829565,-0.8137886,-0.003147777,-1.9806572,-0.13875368,-0.5613273
575.351,1.0297059,0.45658153,2.384994,-0.813454,-0.0031661948,-1.9809884,-0.1397349,-0.5620373
589.5926,1.0296311,0.46557745,2.3870325,-0.8131376,-0.0031867882,-1.9813397,-0.14069977,-0.56273466
604.05493,1.0295408,0.47464043,2.3890715,-0.81283927,-0.0032089313,-1.9817086,-0.14164993,-0.5634184
618.74036,1.029435,0.4837676,2.3911095,-0.81255877,-0.003232356,-1.9820986,-0.14258513,-0.56409055
633.65,1.0293243,0.49295706,2.3931563,-0.8122991,-0.0032552143,-1.9825327,-0.14350805,-0.5647289
648.78235,1.0292264,0.50220525,2.395216,-0.81205964,-0.0032747348,-1.9830498,-0.14442489,-0.56530255
664.14044,1.0291154,0.51149887,2.3972733,-0.8118386,-0.0032950898,-1.9835831,-0.14532658,-0.5658648
679.72766,1.0289904,0.5208343,2.399329,-0.8116355,-0.003315713,-1.9841348,-0.14621314,-0.5664133
695.5459,1.0288782,0.5302428,2.4013731,-0.81145906,-0.0033384522,-1.9847554,-0.14704451,-0.56694573
711.5993,1.0288641,0.53984386,2.4033763,-0.81133187,-0.003362294,-1.9856213,-0.14769897,-0.5674484
727.89,1.0288336,0.54947793,2.4053779,-0.81122375,-0.0033868512,-1.9865038,-0.1483393,-0.5679401
744.41956,1.0287858,0.5591412,2.4073792,-0.81113565,-0.003411915,-1.9874028,-0.14896503,-0.5684191
