foc_kplus,foc_lambd,kkt_mu_fb,foc_TATplus,foc_MATplus,foc_MUOplus,foc_MLOplus,foc_MLFplus,foc_TOCplus
1.207e-03,5.897e-03,1.907e-03,1.575e-04,1.296e-03,6.616e-04,6.531e-05,3.994e-04,4.095e-05
1.041e-03,6.612e-03,1.940e-03,5.268e-04,6.738e-04,3.213e-05,6.075e-06,4.859e-04,9.191e-05
8.632e-04,6.602e-03,1.855e-03,7.493e-04,2.894e-04,4.030e-04,2.737e-05,9.816e-04,9.632e-05
6.862e-04,6.392e-03,1.685e-03,9.190e-04,3.505e-05,6.882e-04,2.595e-05,1.231e-03,7.027e-05
5.372e-04,6.175e-03,1.468e-03,1.034e-03,8.154e-05,8.717e-04,2.032e-05,1.383e-03,5.108e-05
4.097e-04,5.946e-03,1.227e-03,1.118e-03,1.001e-04,9.719e-04,1.625e-05,1.447e-03,3.028e-05
2.954e-04,5.695e-03,9.825e-04,1.184e-03,4.864e-05,1.014e-03,1.128e-05,1.442e-03,5.603e-06
1.959e-04,5.426e-03,7.464e-04,1.232e-03,5.341e-05,1.011e-03,5.369e-06,1.387e-03,2.301e-05
1.433e-04,5.137e-03,5.274e-04,1.249e-03,1.812e-04,9.978e-04,2.234e-05,1.344e-03,4.363e-05
1.366e-04,5.094e-03,2.897e-04,1.276e-03,3.200e-04,9.630e-04,3.564e-05,1.277e-03,6.640e-05
1.473e-04,5.127e-03,6.485e-05,1.304e-03,4.761e-04,9.010e-04,3.844e-05,1.172e-03,9.280e-05
2.582e-04,5.101e-03,1.237e-04,1.413e-03,4.294e-04,8.888e-04,4.141e-05,1.202e-03,9.537e-05
3.010e-04,5.049e-03,2.668e-04,1.414e-03,4.640e-04,8.191e-04,6.197e-05,1.103e-03,1.063e-04
3.154e-04,4.976e-03,3.763e-04,1.366e-03,5.524e-04,7.241e-04,5.561e-05,9.468e-04,1.239e-04
3.349e-04,4.885e-03,4.587e-04,1.316e-03,6.394e-04,6.294e-04,4.640e-05,8.008e-04,1.394e-04
3.318e-04,4.798e-03,5.181e-04,1.275e-03,6.511e-04,5.667e-04,1.476e-05,7.223e-04,1.333e-04
3.990e-04,4.810e-03,5.767e-04,1.217e-03,7.300e-04,4.770e-04,1.353e-05,5.888e-04,1.455e-04
4.666e-04,4.805e-03,6.092e-04,1.159e-03,8.106e-04,3.877e-04,1.151e-05,4.604e-04,1.564e-04
5.368e-04,4.796e-03,6.190e-04,1.100e-03,8.905e-04,3.025e-04,9.013e-06,3.403e-04,1.670e-04
6.083e-04,4.790e-03,6.087e-04,1.041e-03,9.680e-04,2.220e-04,7.671e-06,2.275e-04,1.751e-04
6.799e-04,4.792e-03,5.809e-04,9.807e-04,1.043e-03,1.445e-04,5.150e-06,1.274e-04,1.818e-04
