,foc_kplus,foc_lambd,kkt_mu_fb,foc_TATplus,foc_MATplus,foc_MUOplus,foc_MLOplus,foc_MLFplus,foc_TOCplus
count,5.120e+03,5.120e+03,5.120e+03,5.120e+03,5.120e+03,5.120e+03,5.120e+03,5.120e+03,5.120e+03
mean,9.032e-04,4.442e-03,8.760e-04,5.457e-04,1.220e-03,2.672e-04,2.767e-05,3.442e-04,2.041e-04
std,4.668e-04,6.290e-04,8.109e-04,4.837e-04,2.953e-04,2.225e-04,1.947e-05,3.287e-04,1.440e-04
min,7.689e-06,3.711e-03,0.000e+00,8.941e-08,3.505e-05,3.994e-06,1.849e-07,4.768e-07,3.576e-07
0.1%,7.689e-06,3.711e-03,0.000e+00,8.941e-08,3.505e-05,3.994e-06,1.849e-07,4.768e-07,3.576e-07
25%,4.826e-04,3.864e-03,0.000e+00,1.603e-04,1.108e-03,1.166e-04,1.110e-05,7.510e-05,6.625e-05
50%,9.740e-04,4.286e-03,7.547e-04,3.260e-04,1.237e-03,1.792e-04,2.483e-05,2.568e-04,1.899e-04
75%,1.321e-03,4.889e-03,1.528e-03,9.766e-04,1.419e-03,3.719e-04,4.278e-05,5.060e-04,3.143e-04
99.9%,1.596e-03,6.612e-03,2.614e-03,1.561e-03,1.725e-03,1.014e-03,7.816e-05,1.447e-03,4.852e-04
max,1.596e-03,6.612e-03,2.614e-03,1.561e-03,1.725e-03,1.014e-03,7.816e-05,1.447e-03,4.852e-04
