con,Omega,ygross,ynet,inv,Eind,scc,carbontax,Dam,Emissions
77.217545,0.0028556,105.17594,104.8756,27.658066,36.845238,19.426163,550.0,0.3003404,39.445236
79.75302,0.0031179856,108.70011,108.36119,28.60817,37.505077,19.943727,547.25684,0.3389254,40.04596
82.38385,0.0033522018,112.335434,111.95887,29.575018,38.173824,20.500631,544.5275,0.37657106,40.656933
85.10477,0.0035646786,116.078094,115.66432,30.559557,38.849083,21.094856,541.8116,0.4137811,41.275734
87.91207,0.0037608426,119.92521,119.4742,31.56213,39.52906,21.722618,539.1093,0.45101985,41.900536
90.80194,0.0039451225,123.874825,123.386116,32.58418,40.21216,22.382364,536.4205,0.48870128,42.529713
93.77221,0.004121055,127.92504,127.39785,33.62564,40.897053,23.073414,533.7451,0.5271861,43.161907
96.820724,0.004291424,132.07458,131.5078,34.687073,41.582577,23.794998,531.08307,0.566788,43.795937
99.94485,0.004458403,136.32143,135.71364,35.768803,42.267345,24.545422,528.4342,0.60777587,44.43038
103.14345,0.0046236757,140.66402,140.01364,36.870186,42.950226,25.324059,525.79865,0.65038484,45.06408
106.413185,0.004788538,145.10085,144.40604,37.99284,43.63032,26.130089,523.1762,0.6948209,45.696114
109.755936,0.0049539874,149.63307,148.8918,39.135857,44.3072,26.963564,520.5669,0.7412804,46.32602
113.16996,0.0051207845,154.25952,153.46957,40.299618,44.980194,27.823551,517.9706,0.7899297,46.95311
116.65084,0.0052895104,158.97916,158.13823,41.48739,45.648273,28.708801,515.3871,0.8409218,47.576332
120.20363,0.0054606088,163.79355,162.89912,42.695484,46.31165,29.620825,512.81665,0.8944124,48.19586
123.8269,0.0056344126,168.70148,167.75093,43.92404,46.969265,30.558466,510.25897,0.95053375,48.81064
127.5192,0.005811176,173.70195,172.69255,45.17336,47.620674,31.52051,507.71402,1.0094126,49.42018
131.28073,0.005991086,178.79446,177.72328,46.44257,48.265064,32.507507,505.18176,1.071173,50.02365
135.1108,0.006174285,183.9783,182.84238,47.73158,48.902157,33.51897,502.66214,1.1359344,50.620758
139.00897,0.0063608717,189.25305,188.04926,49.040276,49.531204,34.554607,500.15515,1.2038144,51.21073
142.97491,0.0065509193,194.61852,193.3436,50.36868,50.152035,35.614094,497.66055,1.2749301,51.79337
147.00838,0.0067444714,200.0745,198.72508,51.716724,50.764267,36.6973,495.1785,1.3493966,52.368286
151.10945,0.006941557,205.6212,204.19386,53.08442,51.3676,37.804184,492.70874,1.4273312,52.935146
155.27806,0.0071421894,211.25862,209.74979,54.47172,51.961838,38.934692,490.2514,1.5088491,53.49374
159.51433,0.0073463703,216.98706,215.39299,55.878677,52.54661,40.088875,487.80627,1.5940673,54.043682
163.81825,0.007554093,222.80698,221.12389,57.30562,53.122066,41.266895,485.37332,1.6831046,54.5851
168.18956,0.007765339,228.71867,226.94261,58.75305,53.68775,42.469173,482.95248,1.7760782,55.11752
172.62923,0.00798009,234.72282,232.8497,60.220486,54.243885,43.69564,480.5438,1.8731091,55.641148
177.13773,0.008198318,240.81992,238.8456,61.707874,54.790073,44.94642,478.147,1.9743183,56.15556
181.71542,0.0084199915,247.01044,244.9306,63.215176,55.32642,46.22175,475.76218,2.0798256,56.660862
186.36247,0.008645077,253.29482,251.10509,64.7426,55.852703,47.521786,473.38937,2.1897533,57.156803
191.07921,0.008873538,259.67377,257.36954,66.29031,56.36899,48.845917,471.02832,2.304225,57.643436
195.86443,0.009105337,266.14648,263.72314,67.85871,56.874844,50.19171,468.67902,2.4233534,58.120308
200.71532,0.009340431,272.70926,270.16202,69.44671,57.369305,51.559807,466.3415,2.547222,58.586452
205.63208,0.009578775,279.36346,276.6875,71.05541,57.852642,52.950237,464.01566,2.6759596,59.042114
210.61633,0.009820324,286.11047,283.30075,72.684425,58.324905,54.363823,461.7013,2.8096974,59.48733
215.6691,0.010065028,292.95132,290.00278,74.33367,58.7862,55.80121,459.39856,2.9485633,59.9222
220.7892,0.010312834,299.88712,296.79443,76.00524,59.23676,57.261745,457.10733,3.092686,60.346935
225.9736,0.010563688,306.9179,303.67575,77.70213,59.676315,58.74429,454.8275,3.242185,60.761246
231.22551,0.010817541,314.04315,310.646,79.42049,60.10468,60.24954,452.55902,3.3971746,61.164932
236.5453,0.011074335,321.2637,317.70593,81.16063,60.52194,61.775417,450.30185,3.557782,61.558086
241.93427,0.011334016,328.5803,324.85614,82.92187,60.928215,63.325363,448.05597,3.724134,61.94081
247.39331,0.011596521,335.99402,332.09766,84.70433,61.323547,64.89996,445.82132,3.8963616,62.31311
252.92314,0.011861801,343.5058,339.4312,86.50807,61.70812,66.49965,443.59775,4.074598,62.675182
258.52454,0.012129798,351.1169,346.8579,88.33339,62.081833,68.12499,441.38525,4.258977,63.02691
264.1982,0.012400449,358.82803,354.3784,90.18017,62.444973,69.77637,439.1839,4.449629,63.36856
269.9446,0.012673701,366.63995,361.9933,92.048706,62.797462,71.454094,436.99344,4.646685,63.70005
275.76233,0.012949491,374.55383,369.7035,93.94121,63.13943,73.15995,434.8139,4.8502812,64.02149
281.64807,0.013227769,382.5704,377.50986,95.86176,63.471043,74.89694,432.64526,5.060553,64.33305
287.59525,0.013508476,390.6912,385.4135,97.81828,63.792236,76.652534,430.48746,5.2776427,64.63464
293.60855,0.013791548,398.9092,393.4076,99.79906,64.10204,78.43034,428.34033,5.5015755,64.92529
299.6902,0.014076932,407.22476,401.4923,101.8021,64.400406,80.23199,426.20395,5.732476,65.20494
305.84314,0.014364569,415.6397,409.66928,103.82614,64.687706,82.060394,424.07834,5.9704857,65.473946
312.06735,0.014654395,424.15515,417.93945,105.872086,64.96386,83.915146,421.96323,6.2157373,65.732216
318.3625,0.014946351,432.7723,426.30392,107.94145,65.22929,85.79585,419.85864,6.468367,65.98018
324.72668,0.015240377,441.49265,434.76413,110.037445,65.48395,87.70362,417.76456,6.728514,66.217766
331.16397,0.015536404,450.31723,443.3209,112.1569,65.72822,89.638794,415.68094,6.99631,66.44536
337.67517,0.015834376,459.24707,451.9752,114.29999,65.96211,91.60189,413.60776,7.271891,66.66295
344.26105,0.016134232,468.28342,460.72803,116.46697,66.185776,93.593346,411.5449,7.5553937,66.87067
350.92212,0.01643591,477.42688,469.5799,118.65778,66.39941,95.613625,409.49225,7.846945,67.06873
357.6509,0.016739348,486.6781,478.53137,120.88046,66.60284,97.66845,407.4499,8.146674,67.25694
364.452,0.017044488,496.03714,487.58243,123.13042,66.79617,99.75437,405.41776,8.454699,67.4354
