,foc_kplus,foc_lambd,foc_TATplus,foc_MATplus,foc_MUOplus,foc_MLOplus,foc_MLFplus,foc_TOCplus
count,5.120e+03,5.120e+03,5.120e+03,5.120e+03,5.120e+03,5.120e+03,5.120e+03,5.120e+03
mean,9.698e-05,2.471e-04,1.574e-04,9.724e-05,5.012e-05,1.136e-05,6.740e-05,3.845e-05
std,9.095e-05,1.048e-04,1.643e-04,6.768e-05,6.119e-05,8.102e-06,6.538e-05,3.344e-05
min,1.192e-07,1.907e-06,1.244e-06,2.384e-07,1.192e-07,1.270e-07,1.192e-07,3.576e-07
0.1%,1.192e-07,1.907e-06,1.244e-06,2.384e-07,1.192e-07,1.270e-07,1.192e-07,3.576e-07
25%,3.842e-05,2.100e-04,3.932e-05,3.967e-05,1.480e-05,5.396e-06,1.478e-05,1.379e-05
50%,6.896e-05,2.544e-04,1.027e-04,8.899e-05,3.210e-05,1.028e-05,4.590e-05,2.696e-05
75%,1.261e-04,2.959e-04,1.725e-04,1.382e-04,5.852e-05,1.570e-05,1.050e-04,5.650e-05
99.9%,4.991e-04,6.633e-04,6.220e-04,3.158e-04,3.326e-04,5.947e-05,2.816e-04,1.438e-04
max,4.991e-04,6.633e-04,6.220e-04,3.158e-04,3.326e-04,5.947e-05,2.816e-04,1.438e-04
