kx,MATx,MUOx,MLOx,MLFx,TATx,TOCx,taux
223.00183,850.0,901.0,37241.0,446.0,1.1,0.27,0.0
228.23155,855.07446,903.89655,37241.344,448.4435,1.1494261,0.27571872,0.014888048
233.91606,860.21204,906.8454,37241.695,450.9282,1.1918156,0.28173855,0.029554427
240.01628,865.41583,909.8469,37242.055,453.45325,1.2290065,0.288009,0.044002473
246.50267,870.6879,912.90155,37242.42,456.01822,1.2623698,0.29449245,0.058235407
253.35329,876.02966,916.00964,37242.793,458.62274,1.2929277,0.30116114,0.072256446
260.54886,881.4419,919.1718,37243.176,461.26672,1.3214422,0.30799443,0.08606875
268.07443,886.92487,922.3883,37243.566,463.95004,1.3484806,0.31497708,0.09967542
275.91132,892.4785,925.6598,37243.96,466.6726,1.374465,0.32209793,0.11307949
284.04474,898.10254,928.98663,37244.367,469.43442,1.3997087,0.32934874,0.126284
292.4599,903.79614,932.36926,37244.78,472.23532,1.4244443,0.33672354,0.13929194
301.16168,909.5584,935.80804,37245.203,475.07526,1.4488434,0.34421793,0.15210623
310.138,915.3885,939.3036,37245.637,477.95404,1.4730322,0.35182878,0.16472971
319.37872,921.28516,942.8561,37246.074,480.87146,1.4971032,0.35955387,0.17716527
328.89203,927.2473,946.4658,37246.523,483.8273,1.5211236,0.3673916,0.1894157
338.66614,933.2737,950.13324,37246.984,486.82117,1.5451417,0.3753408,0.20148373
348.69174,939.363,953.8586,37247.45,489.8528,1.5691917,0.3834007,0.21337211
358.96237,945.5138,957.64197,37247.926,492.9218,1.5932971,0.3915708,0.22508347
369.471,951.72455,961.4837,37248.41,496.02768,1.6174741,0.3998507,0.23662049
380.2119,957.9936,965.384,37248.906,499.16998,1.6417322,0.4082401,0.24798572
391.1807,964.31934,969.34283,37249.414,502.34818,1.6660771,0.41673887,0.25918174
402.3742,970.7001,973.36035,37249.926,505.56165,1.6905107,0.42534682,0.2702111
413.79025,977.1341,977.4367,37250.453,508.8098,1.7150328,0.4340638,0.28107625
425.42688,983.6198,981.57184,37250.99,512.092,1.7396412,0.44288966,0.29177964
437.2834,990.15546,985.7658,37251.535,515.40753,1.7643324,0.45182428,0.3023237
449.35974,996.73926,990.0185,37252.09,518.7556,1.7891022,0.46086746,0.31271076
461.656,1003.3697,994.32983,37252.66,522.13556,1.8139454,0.470019,0.32294315
474.17337,1010.0449,998.69965,37253.24,525.54663,1.8388567,0.47927865,0.33302325
486.9128,1016.7633,1003.1278,37253.824,528.9879,1.8638303,0.48864615,0.34295326
499.87503,1023.5233,1007.61426,37254.426,532.4588,1.8888602,0.49812117,0.35273546
513.06104,1030.3232,1012.1586,37255.035,535.9583,1.9139405,0.50770336,0.36237198
526.47235,1037.1616,1016.7607,37255.656,539.48566,1.9390651,0.51739234,0.37186503
540.1013,1044.0366,1021.4201,37256.29,543.04004,1.9642285,0.52718765,0.38121676
553.92004,1050.9468,1026.1368,37256.934,546.6206,1.9894245,0.5370889,0.39042926
567.93524,1057.8901,1030.9104,37257.59,550.22656,2.014647,0.5470955,0.3995046
582.153,1064.865,1035.7404,37258.26,553.857,2.0398908,0.5572069,0.40844482
596.5789,1071.8695,1040.6265,37258.945,557.51105,2.0651495,0.5674226,0.41725194
611.2173,1078.902,1045.5681,37259.64,561.1878,2.0904174,0.577742,0.42592794
626.0666,1085.961,1050.565,37260.344,564.88635,2.1156888,0.5881643,0.43447477
641.1197,1093.045,1055.6163,37261.066,568.60583,2.1409585,0.59868896,0.44289434
656.3805,1100.1521,1060.7222,37261.8,572.34546,2.1662214,0.6093152,0.45118856
671.85077,1107.281,1065.8815,37262.543,576.1042,2.1914718,0.6200423,0.4593593
687.5363,1114.4299,1071.0939,37263.3,579.88116,2.2167048,0.63086945,0.46740842
703.4412,1121.5974,1076.359,37264.074,583.6756,2.241916,0.6417959,0.47533768
719.5705,1128.7819,1081.676,37264.855,587.48663,2.2671006,0.6528207,0.48314893
735.92737,1135.9822,1087.0443,37265.652,591.31323,2.2922537,0.6639431,0.49084383
752.51526,1143.1965,1092.4635,37266.46,595.15466,2.3173718,0.6751622,0.49842417
769.33795,1150.4238,1097.9327,37267.285,599.01,2.3424501,0.686477,0.5058917
786.39996,1157.6627,1103.4512,37268.125,602.8785,2.3674853,0.69788665,0.513248
803.70917,1164.9117,1109.0184,37268.973,606.7592,2.3924737,0.70939016,0.5204948
821.2141,1172.1696,1114.6338,37269.84,610.65137,2.417411,0.7209866,0.5276337
838.9166,1179.4347,1120.2965,37270.723,614.55426,2.4422944,0.73267496,0.53466636
856.8258,1186.7054,1126.0057,37271.613,618.467,2.4671202,0.7444542,0.54159427
874.94714,1193.9806,1131.7609,37272.523,622.3888,2.4918847,0.7563234,0.54841906
893.2866,1201.2584,1137.5609,37273.445,626.3188,2.5165849,0.7682814,0.5551423
911.8517,1208.5377,1143.4053,37274.383,630.2563,2.5412176,0.7803272,0.5617654
