,foc_kplus,foc_lambd,kkt_mu_fb,foc_TATplus,foc_MATplus,foc_MUOplus,foc_MLOplus,foc_MLFplus,foc_TOCplus
count,5.120e+03,5.120e+03,5.120e+03,5.120e+03,5.120e+03,5.120e+03,5.120e+03,5.120e+03,5.120e+03
mean,2.106e-04,9.596e-04,8.376e-04,2.457e-04,1.376e-04,1.190e-04,4.961e-06,1.892e-04,6.431e-05
std,1.705e-04,1.067e-04,6.388e-04,1.379e-04,1.023e-04,7.615e-05,4.421e-06,8.206e-05,3.698e-05
min,5.960e-07,2.952e-04,0.000e+00,6.109e-07,8.345e-07,1.162e-06,1.234e-08,7.153e-07,3.874e-07
0.1%,5.960e-07,2.952e-04,0.000e+00,6.109e-07,8.345e-07,1.162e-06,1.234e-08,7.153e-07,3.874e-07
25%,6.399e-05,8.914e-04,3.000e-04,1.344e-04,5.549e-05,6.702e-05,2.119e-06,1.298e-04,3.287e-05
50%,1.873e-04,9.428e-04,6.955e-04,2.484e-04,1.161e-04,1.111e-04,3.485e-06,1.751e-04,7.062e-05
75%,3.001e-04,1.036e-03,1.342e-03,3.290e-04,2.193e-04,1.686e-04,6.388e-06,2.362e-04,8.684e-05
99.9%,8.063e-04,1.307e-03,2.282e-03,8.378e-04,5.911e-04,6.045e-04,2.381e-05,6.936e-04,1.532e-04
max,8.063e-04,1.307e-03,2.282e-03,8.378e-04,5.911e-04,6.045e-04,2.381e-05,6.936e-04,1.532e-04
