con,Omega,Theta,ygross,ynet,inv,Eind,scc,carbontax,Abatement,Dam,Emissions
77.28068,0.0028556,0.00025878893,105.17594,104.8756,27.567793,32.66292,16.988617,16.920721,0.02721837,0.3003404,35.262924
79.773056,0.0031179856,0.0002626394,108.69577,108.35687,28.555357,33.18888,17.46508,17.20265,0.028547794,0.3389119,35.729767
82.36324,0.0033433603,0.0002659801,112.33112,111.95556,29.56254,33.724857,17.97467,17.466534,0.029877843,0.37556344,36.20797
85.05442,0.0035400693,0.00026971035,116.07861,115.66769,30.582066,34.26302,18.523771,17.748693,0.0313076,0.41092634,36.68967
87.84123,0.0037151386,0.0002737472,119.934074,119.488495,31.614555,34.8017,19.108767,18.045895,0.032831617,0.4455717,37.173176
90.71179,0.0038742505,0.00027799312,123.893745,123.41375,32.66765,35.33943,19.72082,18.354294,0.03444161,0.4799954,37.656986
93.65796,0.0040218807,0.0002823373,127.95571,127.441086,33.747143,35.875675,20.358809,18.66945,0.03612667,0.5146226,38.14053
96.68995,0.0041615027,0.00028746374,132.12297,131.57315,34.84537,36.405746,21.02439,19.019285,0.03798056,0.5498301,38.619106
99.80452,0.0042957757,0.00029347072,136.39258,135.80669,35.962296,36.92713,21.716063,19.407934,0.040027227,0.585912,39.090164
102.99834,0.004426711,0.00030057615,140.76201,140.1389,37.098446,37.436726,22.432076,19.844282,0.042309705,0.6231128,39.550575
106.269295,0.004555818,0.00030876233,145.22902,144.56737,38.25344,37.933403,23.171677,20.327429,0.04484125,0.66163695,39.99919
109.61572,0.0046842145,0.00031797917,149.79161,149.08997,39.42683,38.416077,23.934155,20.85519,0.04763061,0.70165604,40.43489
113.03632,0.0048127193,0.00032819717,154.44844,153.70512,40.61837,38.884216,24.71893,21.426003,0.05068954,0.743317,40.857132
116.53012,0.004941924,0.00033939342,159.19833,158.41158,41.827705,39.336945,25.525621,22.038662,0.054030865,0.7867461,41.265
120.096306,0.005072252,0.00035155666,164.04031,163.20827,43.05458,39.77386,26.3539,22.692263,0.05766947,0.83205384,41.65808
123.73441,0.0052039935,0.0003646762,168.97394,168.0946,44.29888,40.19429,27.203531,23.386051,0.06162078,0.87933934,42.035664
127.444214,0.0053373463,0.00037875338,173.99884,173.07013,45.560383,40.598007,28.074408,24.11958,0.06590264,0.9286921,42.397514
131.22551,0.005472431,0.00039378865,179.1148,178.13461,46.838947,40.984398,28.966442,24.892538,0.07053338,0.98019344,42.742985
135.07841,0.005609319,0.00040979066,184.32175,183.28781,48.134293,41.35335,29.87967,25.704742,0.07553334,1.0339195,43.071953
139.00264,0.005748036,0.00042692042,189.61984,188.5299,49.446774,41.703243,30.814335,26.562033,0.080952585,1.0899417,43.382767
142.99768,0.005888579,0.0004450563,195.00829,193.85997,50.776,42.034702,31.769995,27.459171,0.08678967,1.1483217,43.676044
147.06361,0.0060309223,0.00046415592,200.48695,199.27785,52.121723,42.347847,32.74648,28.394148,0.09305721,1.2091212,43.951866
151.20085,0.0061750202,0.00048431635,206.05667,204.78426,53.484222,42.64189,33.744442,29.370245,0.09979661,1.272404,44.20944
155.40613,0.006320816,0.0005057526,211.71725,210.37903,54.866505,42.91527,34.76455,30.394981,0.10707657,1.3382258,44.447174
159.65862,0.0064682416,0.00052806607,217.46745,216.06082,56.288116,43.170216,35.805744,31.453196,0.114837185,1.4066321,44.667286
163.9782,0.0066172215,0.00055130164,223.30724,221.82954,57.72905,43.406563,36.86756,32.546238,0.12310964,1.4776734,44.8696
168.3672,0.0067676757,0.00057550444,229.23721,227.6858,59.187584,43.623768,37.950188,33.67565,0.13192704,1.5514032,45.053535
172.82663,0.0069195195,0.0006007195,235.25867,233.6308,60.66384,43.82195,39.05401,34.842743,0.14132446,1.6278769,45.21921
177.35738,0.0070726704,0.0006269839,241.3726,239.66544,62.157784,44.000717,40.179478,36.04872,0.15133673,1.7071488,45.366207
181.95345,0.0072270366,0.00065455056,247.57983,245.79056,63.67623,44.158665,41.32288,37.302166,0.16205353,1.7892685,45.493107
186.60843,0.0073825317,0.00068365026,253.88083,252.00655,65.225845,44.294228,42.48031,38.610752,0.17356569,1.8742833,45.598328
191.33488,0.007539063,0.0007138887,260.27563,258.31342,66.79412,44.410126,43.659283,39.960255,0.18580782,1.9622343,45.68457
196.1265,0.0076965294,0.0007454338,266.76535,264.7122,68.38838,44.505367,44.85794,41.35629,0.19885592,2.0531676,45.75083
200.97212,0.007854832,0.0007785313,273.35077,271.20364,70.02036,44.5785,46.072968,42.806892,0.21281214,2.1471243,45.795647
205.88994,0.008013874,0.0008128719,280.03232,277.7882,71.672455,44.631706,47.3099,44.301174,0.2276304,2.2441437,45.82118
210.88057,0.008173549,0.0008485912,286.81104,284.46677,73.3448,44.66422,48.57073,45.843548,0.24338533,2.3442638,45.826645
215.94315,0.008333756,0.0008855195,293.68576,291.23825,75.03718,44.67694,49.85365,47.428226,0.26006445,2.4475052,45.81294
221.0785,0.008494394,0.0009236677,300.65744,298.10355,76.7497,44.67008,51.158695,49.05545,0.27770758,2.5539029,45.780243
