kx,MATx,MUOx,MLOx,MLFx,TATx,TOCx,taux
223.00183,850.0,1237.0,37236.0,531.0,1.1,0.27,0.0
228.20122,853.43256,1240.2255,37236.4,533.56464,1.1494261,0.27571872,0.014888048
233.88608,856.98645,1243.4775,37236.8,536.1004,1.1902429,0.28173855,0.029554427
240.0198,860.65265,1246.7587,37237.215,538.6174,1.2247568,0.28799814,0.044002473
246.56334,864.4213,1250.0704,37237.633,541.12427,1.2546757,0.2944524,0.058235407
253.48228,868.284,1253.4148,37238.06,543.62836,1.2812617,0.30106834,0.072256446
260.75717,872.23315,1256.793,37238.496,546.13556,1.3054451,0.30782187,0.08606875
268.402,876.2623,1260.2067,37238.94,548.65094,1.3279114,0.3146955,0.09967542
276.39178,880.3647,1263.6569,37239.395,551.17865,1.3491641,0.32167655,0.11307949
284.7049,884.53375,1267.1445,37239.855,553.72205,1.3695711,0.32875594,0.126284
293.32193,888.76306,1270.6705,37240.324,556.2836,1.3893996,0.33592716,0.13929194
302.22662,893.04663,1274.2357,37240.805,558.86554,1.4088423,0.34318557,0.15210623
311.40588,897.3787,1277.8406,37241.293,561.4691,1.4280363,0.35052794,0.16472971
320.84885,901.7542,1281.4856,37241.79,564.0954,1.4470783,0.35795197,0.17716527
330.54675,906.16815,1285.1713,37242.297,566.7448,1.4660352,0.36545604,0.1894157
340.49283,910.616,1288.8976,37242.812,569.41766,1.4849519,0.37303904,0.20148373
350.68216,915.09344,1292.6648,37243.34,572.11383,1.5038575,0.3807001,0.21337211
361.11063,919.5963,1296.4728,37243.875,574.8329,1.5227695,0.38843867,0.22508347
371.77502,924.1207,1300.3218,37244.418,577.57434,1.5416971,0.3962542,0.23662049
382.6737,928.6629,1304.2117,37244.973,580.3373,1.5606436,0.4041463,0.24798572
393.7983,933.2189,1308.142,37245.535,583.121,1.5796077,0.4121146,0.25918174
405.146,937.7853,1312.1127,37246.11,585.9242,1.5985855,0.42015862,0.2702111
416.71857,942.35864,1316.1234,37246.69,588.74585,1.6175704,0.428278,0.28107625
428.51328,946.9356,1320.1737,37247.29,591.58453,1.6365548,0.43647224,0.29177964
440.51868,951.51245,1324.2631,37247.89,594.43896,1.6555302,0.4447408,0.3023237
452.7316,956.0864,1328.391,37248.504,597.3077,1.6744872,0.45308313,0.31271076
465.15408,960.6546,1332.5569,37249.13,600.18915,1.6934164,0.4614986,0.32294315
477.79132,965.2141,1336.76,37249.76,603.08185,1.7123083,0.4699865,0.33302325
