con,Omega,Theta,ygross,ynet,inv,Eind,scc,carbontax,Abatement,Dam,Emissions
77.15235,0.0028556,0.0004040933,105.17594,104.8756,27.68087,31.88099,18.42039,22.259628,0.042500895,0.3003404,34.48099
79.77911,0.0031179856,0.00040723287,108.74498,108.40591,28.582655,32.41069,18.959923,22.53283,0.04428453,0.33906528,34.951576
82.484795,0.0033422112,0.00040954247,112.41244,112.036736,29.506063,32.945553,19.537043,22.780354,0.046037666,0.3757061,35.42866
85.26065,0.0035369329,0.0004112958,116.17782,115.7669,30.458643,33.48349,20.140074,23.011225,0.047783446,0.41091314,35.91014
88.10776,0.0037094238,0.00041330408,120.042114,119.596825,31.439642,34.02014,20.770542,23.253216,0.049613897,0.44528708,36.39162
91.02669,0.0038655559,0.00041608288,124.00565,123.526306,32.44822,34.552006,21.429422,23.524462,0.05159663,0.47935084,36.869556
94.01711,0.0040099462,0.0004199721,128.0681,127.55456,33.48388,35.076298,22.117014,23.837238,0.05378503,0.5135462,37.341156
97.07821,0.004146158,0.00042523927,132.22922,131.68098,34.546787,35.590485,22.833155,24.201405,0.056229062,0.5482433,37.803844
100.209595,0.0042769066,0.0004321872,136.4887,135.90495,35.63662,36.091736,23.5794,24.628042,0.05898867,0.5837494,38.254765
103.41231,0.004404234,0.00044069704,140.84634,140.22603,36.75191,36.579674,24.35578,25.113281,0.062070563,0.6203202,38.693523
106.685974,0.004529659,0.0004507084,145.30148,144.64331,37.89213,37.05373,25.161322,25.655031,0.0654886,0.6581661,39.11952
110.03011,0.0046543046,0.0004622087,149.85321,149.15575,39.056694,37.512756,25.995733,26.252878,0.06926345,0.6974625,39.53157
113.44443,0.004778987,0.00047518534,154.50089,153.76253,40.245045,37.95617,26.858824,26.906105,0.07341655,0.73835766,39.929085
116.92854,0.004904295,0.00048961415,159.24391,158.46292,41.4568,38.38311,27.750238,27.613663,0.07796807,0.7809791,40.31117
120.482124,0.0050306413,0.0005054779,164.08153,163.25609,42.691437,38.793194,28.6698,28.374498,0.08293958,0.8254353,40.677414
124.10508,0.005158312,0.00052276393,169.0135,168.14168,43.948704,39.18571,29.617346,29.187838,0.08835417,0.87182444,41.02708
127.7973,0.005287494,0.00054146367,174.03954,173.1193,45.22826,39.560448,30.592772,30.052832,0.09423609,0.920233,41.359947
131.55888,0.0054182997,0.000561575,179.15944,178.1887,46.52976,39.916767,31.5961,30.96901,0.10061146,0.9707396,41.675358
135.38982,0.0055507887,0.000583096,184.37317,183.34976,47.85302,40.254566,32.62732,31.935715,0.107507266,1.0234165,41.97317
139.29031,0.005684982,0.0006060336,189.68082,188.6025,49.19789,40.573288,33.686462,32.95277,0.11495296,1.0783322,42.252815
143.26059,0.0058208653,0.0006303942,195.08255,193.947,50.56415,40.872814,34.77365,34.01981,0.1229789,1.1355491,42.514153
147.30086,0.0059584077,0.0006561998,200.57849,199.38338,51.951687,41.152836,35.889088,35.137066,0.13161956,1.1951284,42.756855
151.4116,0.0060975566,0.0006834605,206.16917,204.91205,53.360397,41.41311,37.03297,36.30442,0.14090848,1.2571281,42.98066
155.5931,0.0062382496,0.00071220123,211.85478,210.53319,54.790142,41.65342,38.20556,37.52216,0.15088324,1.3216031,43.18532
159.84404,0.006380413,0.0007419326,217.6359,216.24727,56.242775,41.876293,39.408257,38.774162,0.16147116,1.3886068,43.373363
164.15851,0.0065239663,0.0007708917,223.51253,222.05434,57.724667,42.09165,40.645,40.003994,0.17230397,1.4581883,43.554684
168.54292,0.00666883,0.0008010546,229.48332,227.95294,59.227417,42.28765,41.91024,41.27561,0.18382867,1.5303851,43.717415
172.9982,0.0068149427,0.0008324588,235.54922,233.94395,60.751003,42.464405,43.204548,42.58992,0.19608502,1.6052545,43.861664
177.52493,0.0069622337,0.00086513325,241.71109,240.02824,62.295654,42.621517,44.52845,43.947792,0.20911229,1.682849,43.987003
182.12375,0.0071106227,0.00089910213,247.96962,246.20639,63.861286,42.759045,45.882324,45.349712,0.22295003,1.7632184,44.093483
186.79529,0.007260027,0.0009343927,254.32556,252.47916,65.44795,42.876774,47.266735,46.79648,0.23763993,1.8464104,44.180874
191.53497,0.0074103572,0.000970531,260.77982,258.84735,67.06114,42.97742,48.684433,48.273365,0.25309488,1.9324715,44.251865
196.34207,0.007561526,0.0010074762,267.3334,265.31195,68.70259,43.061157,50.13939,49.779408,0.26933205,2.0214481,44.30662
201.21072,0.0077134436,0.0010465308,273.98563,271.87225,70.377,43.120792,51.617374,51.354176,0.2867344,2.1133728,44.337936
206.14662,0.007866025,0.0010868277,280.73315,278.5249,72.07557,43.16053,53.122047,52.971096,0.30510858,2.208254,44.350002
