kplusy,lambd_haty,muy,nuAT_haty,nuUO_haty,nuLO_haty,nuLF_haty,etaAT_haty,etaOC_haty
228.62791,0.9758204,0.1347324,0.8886016,-0.35894233,-0.0010019112,-0.7773605,-0.03569009,-0.21222365
234.53136,0.9830074,0.13618846,0.8885874,-0.35820013,-0.0010871757,-0.7764706,-0.03615936,-0.21312752
240.78316,0.98911947,0.13755073,0.88887537,-0.35775435,-0.00096078403,-0.77605677,-0.036841832,-0.2138766
247.38203,0.9944499,0.13885361,0.889349,-0.35746568,-0.0008693505,-0.7757994,-0.0374436,-0.21458435
254.32248,0.9990405,0.1402019,0.89003277,-0.35732424,-0.00080080517,-0.7757363,-0.037983023,-0.21528418
261.5968,1.0029447,0.14166383,0.8909352,-0.3573197,-0.0007458795,-0.77588457,-0.038477264,-0.21599865
269.1964,1.0062294,0.14328519,0.8920558,-0.35744262,-0.0006958116,-0.77624804,-0.038936935,-0.21673712
277.1148,1.00897,0.14510214,0.89339566,-0.35767502,-0.00065456517,-0.7768404,-0.03935667,-0.21751563
285.34653,1.011225,0.14715478,0.8949601,-0.35794383,-0.00064529665,-0.7775901,-0.039806865,-0.21831793
293.8821,1.013021,0.14942646,0.8967165,-0.35827255,-0.0006458927,-0.7784937,-0.040280007,-0.21914624
302.7126,1.014411,0.15190703,0.8986416,-0.35868025,-0.00064777024,-0.77956873,-0.04074546,-0.2200087
311.8294,1.015444,0.15459226,0.90071833,-0.359156,-0.00064684637,-0.78079957,-0.041205727,-0.22090364
321.2253,1.0161635,0.15747662,0.9029312,-0.35969213,-0.0006458033,-0.7821695,-0.041664504,-0.22182691
330.89365,1.0166097,0.16055323,0.90526456,-0.3602807,-0.000644939,-0.78366506,-0.04212048,-0.22277564
340.82852,1.0168166,0.16381505,0.9077061,-0.36091602,-0.00064276345,-0.78527266,-0.042574845,-0.22374749
351.02512,1.0168148,0.16725613,0.91024303,-0.36159083,-0.0006406177,-0.78697926,-0.043028258,-0.22473681
361.47995,1.01663,0.17087023,0.91286564,-0.36230353,-0.00063885935,-0.78877574,-0.043479465,-0.22574225
372.19003,1.0162839,0.1746525,0.91556346,-0.36304802,-0.00063623674,-0.790651,-0.04393115,-0.22676107
383.15292,1.015796,0.17859747,0.91832954,-0.36382055,-0.0006343294,-0.79259795,-0.044381164,-0.22779027
394.36703,1.0151833,0.18270145,0.9211554,-0.3646201,-0.0006346274,-0.7946097,-0.044830106,-0.22882776
405.83133,1.01446,0.1869602,0.92403513,-0.36544302,-0.0006342102,-0.7966775,-0.045276664,-0.22987044
417.54572,1.0136378,0.19137155,0.9269646,-0.36628693,-0.0006353427,-0.798798,-0.045721613,-0.23091894
429.5103,1.0127274,0.19593218,0.9299371,-0.3671506,-0.00063772686,-0.8009664,-0.046164654,-0.23197016
441.72534,1.0117375,0.20064028,0.93295,-0.36803252,-0.0006410051,-0.8031768,-0.046605907,-0.23302282
454.18896,1.0106978,0.20543972,0.93603903,-0.36899754,-0.00064151175,-0.8055003,-0.047052823,-0.23412335
466.88928,1.0096923,0.21014409,0.9393265,-0.37024984,-0.0006254781,-0.80816513,-0.047536336,-0.23541737
479.8295,1.008647,0.21496524,0.942635,-0.37151173,-0.00061206706,-0.81085294,-0.048016988,-0.23670594
493.013,1.0075614,0.21990427,0.9459636,-0.37278384,-0.0005995501,-0.8135616,-0.04849305,-0.23798922
506.44302,1.0064381,0.2249623,0.94931215,-0.37406534,-0.00058902986,-0.8162914,-0.04896667,-0.23926628
520.12213,1.0052785,0.2301391,0.95267814,-0.37535506,-0.00058116205,-0.81904036,-0.049435638,-0.24053866
534.05334,1.0040839,0.23543534,0.95606226,-0.37665424,-0.0005737413,-0.8218076,-0.04990133,-0.2418024
548.2407,1.0029103,0.24080354,0.9595043,-0.3780409,-0.00059636123,-0.824747,-0.050433777,-0.24319935
562.67834,1.0017701,0.24624015,0.963063,-0.37955183,-0.0006602872,-0.8278901,-0.051059805,-0.24473971
577.3396,1.0007236,0.25186616,0.96671474,-0.3810929,-0.0006279219,-0.8310057,-0.05150505,-0.24620304
592.223,0.9997148,0.2575974,0.9703832,-0.3826402,-0.0005705822,-0.83410823,-0.051897727,-0.24763885
607.3361,0.99871624,0.26340893,0.9740462,-0.384189,-0.0005147923,-0.8372071,-0.052285694,-0.24906012
622.6849,0.99772304,0.26930436,0.9777056,-0.3857379,-0.00046180375,-0.8403014,-0.05266889,-0.25046808
638.27606,0.99672925,0.275288,0.98136306,-0.38728815,-0.00040902384,-0.84339446,-0.053047203,-0.25186267
654.1142,0.9957322,0.28136164,0.9850199,-0.38883975,-0.00035886653,-0.84648603,-0.05341991,-0.2532435
670.19604,0.99475306,0.28755176,0.98873794,-0.39045417,-0.00034375675,-0.84964424,-0.053837918,-0.25465703
686.51105,0.9938158,0.29386595,0.9925551,-0.3921692,-0.00038598664,-0.8529076,-0.05433234,-0.25612992
703.067,0.9928872,0.30025488,0.99636257,-0.39388064,-0.00042970665,-0.8561597,-0.05482211,-0.257587
719.8715,0.9919736,0.30672616,1.0001788,-0.3956014,-0.00046415813,-0.85942215,-0.0553089,-0.25902787
736.9414,0.9911368,0.3133145,1.00411,-0.3973862,-0.00043083914,-0.8628028,-0.05582746,-0.2604558
754.28326,0.9902885,0.3199846,1.0080532,-0.39917028,-0.00040252693,-0.86620337,-0.056336425,-0.26185873
771.8549,0.98940676,0.3267656,1.0119574,-0.4009627,-0.00033770688,-0.8695847,-0.056778394,-0.26321173
789.62256,0.98852336,0.33362868,1.015797,-0.40275818,-0.00023766048,-0.8729111,-0.05716022,-0.26452643
807.5999,0.98768514,0.34051123,1.0196064,-0.40454364,-0.00014008768,-0.876208,-0.05753859,-0.26582274
825.79755,0.98688114,0.34742156,1.0233899,-0.4063206,-4.6269968e-05,-0.8794804,-0.05791267,-0.2670996
844.2258,0.9861016,0.35436735,1.0271508,-0.40809017,4.6534464e-05,-0.8827302,-0.05828079,-0.26835904
862.8954,0.98533785,0.36135638,1.0308936,-0.40985358,0.00013829581,-0.88596165,-0.05864378,-0.26959965
881.8186,0.98467034,0.36846283,1.0347005,-0.41172832,0.0002381336,-0.8894139,-0.05903753,-0.27071047
901.0141,0.98407865,0.37569618,1.0385957,-0.4136903,0.00029952638,-0.8930284,-0.059409104,-0.27171674
920.4976,0.98351055,0.3830385,1.0425472,-0.41568333,0.0003113877,-0.8966889,-0.059734665,-0.27267635
940.26636,0.9829515,0.39049545,1.0465438,-0.41770652,0.00033421628,-0.9003479,-0.060072444,-0.27363166
960.3185,0.98240703,0.398059,1.0505817,-0.41975844,0.0003691446,-0.9040037,-0.06042572,-0.27458245
980.65826,0.9818511,0.40569654,1.054611,-0.42180696,0.00040413253,-0.90764767,-0.060769938,-0.27551845
1001.2878,0.98129165,0.4134167,1.0586345,-0.4238443,0.00043688528,-0.91129297,-0.061117552,-0.27644438
1022.18994,0.9807896,0.4212845,1.0626669,-0.42582056,0.00044153444,-0.9150297,-0.061528765,-0.2774001
1043.3721,0.98028576,0.42920238,1.0666828,-0.4277902,0.00044785254,-0.91874534,-0.061934195,-0.2783388
1064.8412,0.97977763,0.437172,1.070683,-0.42975417,0.0004549455,-0.92244107,-0.062330924,-0.27926072
1086.6027,0.97926223,0.44519478,1.0746684,-0.4317128,0.00046326034,-0.9261182,-0.06272014,-0.28016666
1108.6384,0.9787518,0.45327893,1.0785804,-0.43363997,0.0004730653,-0.9297145,-0.06308635,-0.2810407
1130.916,0.9782649,0.46140587,1.0823697,-0.43551666,0.00048248284,-0.9331813,-0.06341895,-0.28186974
1153.4476,0.97779536,0.46952832,1.0861288,-0.4373808,0.0004936289,-0.9366137,-0.06374463,-0.28268245
1176.2451,0.9773377,0.47765273,1.0898583,-0.43923563,0.00050718896,-0.9400142,-0.064063035,-0.28347772
1199.3174,0.9768858,0.4857859,1.093563,-0.4410811,0.000520451,-0.943389,-0.06437429,-0.2842559
1222.6718,0.9764377,0.4939317,1.0972438,-0.44291738,0.0005371701,-0.94673544,-0.06467792,-0.28501722
1246.3152,0.9759819,0.5023093,1.1011993,-0.44484305,0.00054453127,-0.9502986,-0.064920686,-0.28589183
1270.2512,0.9755161,0.5109602,1.1054764,-0.44687366,0.0005406868,-0.95411193,-0.06509515,-0.2868971
1294.4861,0.97504693,0.5196329,1.1097286,-0.44889367,0.00054029934,-0.95789754,-0.06526419,-0.28788245
1319.0402,0.9745663,0.5281919,1.1139443,-0.45090386,0.0005655419,-0.96166223,-0.06539031,-0.28872955
1343.9166,0.9740713,0.53676087,1.1181391,-0.45290792,0.0005973708,-0.96540564,-0.06550559,-0.28954002
1369.1218,0.9735708,0.5453916,1.1223259,-0.45492363,0.0006396603,-0.9691504,-0.065628015,-0.2903386
1394.673,0.9731852,0.55446845,1.1266854,-0.4570406,0.0007079374,-0.9730131,-0.06590655,-0.29132813
1420.5596,0.97292554,0.56413746,1.1309931,-0.45909584,0.00072143786,-0.9767964,-0.06622585,-0.29244766
1446.7437,0.97274,0.57419777,1.13523,-0.46112466,0.0007819962,-0.9806408,-0.06650665,-0.29338446
1473.2494,0.9725562,0.5844363,1.139536,-0.46319664,0.0008476805,-0.9845516,-0.066737436,-0.29430526
1500.0845,0.972361,0.59473145,1.1438295,-0.465271,0.0009078812,-0.9884489,-0.0669659,-0.29520676
1527.2556,0.9721538,0.60515916,1.1481423,-0.4673763,0.000946207,-0.99236554,-0.06720277,-0.29608658
1554.7667,0.9719315,0.61559445,1.1524216,-0.46946627,0.0009858441,-0.9962447,-0.0674307,-0.29694605
1582.621,0.9716921,0.626032,1.1566671,-0.4715417,0.0010293555,-1.0000873,-0.067651115,-0.29778364
1610.8226,0.97143686,0.6364674,1.1608777,-0.4736019,0.0010734331,-1.0038918,-0.067863666,-0.29859975
1639.3748,0.97117853,0.64695114,1.1650637,-0.47567904,0.00109802,-1.0076818,-0.068076394,-0.29941726
1668.2745,0.97092545,0.6575096,1.169231,-0.47778884,0.0010869037,-1.0114694,-0.06829449,-0.30024585
1697.527,0.97065544,0.6680489,1.1733608,-0.47988153,0.0010793936,-1.0152166,-0.06850483,-0.3010528
1727.1343,0.97037125,0.6785626,1.1774521,-0.48195687,0.0010761451,-1.018923,-0.06870695,-0.301837
1757.1006,0.9700701,0.68904877,1.1815044,-0.4840148,0.0010764729,-1.0225885,-0.068901025,-0.30259869
1787.4291,0.969753,0.6995027,1.1855168,-0.48605144,0.0010804962,-1.0262127,-0.06908675,-0.30333972
1818.122,0.9694197,0.70992136,1.1894913,-0.48807257,0.001088364,-1.0297964,-0.06926473,-0.3040573
1849.1824,0.96907055,0.72030026,1.1934247,-0.4900739,0.0011004042,-1.0333389,-0.06943502,-0.3047546
1880.6096,0.96870893,0.7306036,1.1973035,-0.49205223,0.0011132788,-1.0368422,-0.069597565,-0.30542386
1912.4069,0.96833235,0.74085844,1.2011422,-0.4940117,0.0011297595,-1.0403028,-0.06975236,-0.30607325
1944.575,0.96794105,0.75106186,1.204941,-0.49595138,0.0011517834,-1.0437218,-0.06989988,-0.30670142
1977.1184,0.96753544,0.76121134,1.2087,-0.497873,0.0011773538,-1.0470998,-0.07003959,-0.30730978
2010.037,0.96711457,0.7713036,1.2124178,-0.49977517,0.0012066495,-1.0504363,-0.07017251,-0.3078979
2043.3358,0.96667933,0.7813363,1.2160956,-0.50165755,0.0012403559,-1.0537319,-0.070298515,-0.30846658
2077.017,0.96622896,0.79130846,1.2197337,-0.50352085,0.0012803208,-1.0569861,-0.07041796,-0.3090139
2111.0828,0.96576464,0.8012155,1.2233305,-0.5053644,0.0013234448,-1.0601996,-0.070529364,-0.3095427
2145.5303,0.9652875,0.81105083,1.2268867,-0.5071892,0.001370145,-1.0633721,-0.070634685,-0.3100519
2180.3665,0.96479577,0.82081455,1.2304019,-0.5089931,0.0014225375,-1.0665041,-0.070734166,-0.31054166
2215.5906,0.96429133,0.83050436,1.2338761,-0.51077795,0.0014793407,-1.0695941,-0.070826255,-0.31101295
2251.2046,0.9637738,0.84011567,1.2373089,-0.512542,0.0015400182,-1.0726436,-0.07091137,-0.31146502
2287.2107,0.96324337,0.84964615,1.240699,-0.5142866,0.0016051661,-1.0756516,-0.0709916,-0.31189814
2323.6106,0.96270084,0.8590941,1.2440485,-0.51601034,0.0016753804,-1.0786191,-0.07106491,-0.31231335
2360.4036,0.962147,0.86845565,1.2473558,-0.5177141,0.0017498862,-1.0815462,-0.07113167,-0.3127099
2397.5938,0.961581,0.8777285,1.2506207,-0.51939744,0.0018286835,-1.0844319,-0.07119282,-0.31308928
2435.1797,0.9610034,0.8869091,1.2538437,-0.5210602,0.001911832,-1.0872765,-0.07124915,-0.31345063
2473.1638,0.96041554,0.89599615,1.2570238,-0.52270216,0.0019995105,-1.0900805,-0.07129892,-0.3137937
2511.5476,0.959817,0.90498805,1.260162,-0.5243232,0.0020920467,-1.0928446,-0.07134422,-0.3141193
2550.3318,0.95920783,0.9138832,1.2632582,-0.52592325,0.0021892022,-1.0955677,-0.07138284,-0.31442788
2589.5168,0.9585888,0.9226787,1.2663118,-0.52750325,0.0022896957,-1.0982504,-0.071417175,-0.31472054
2629.1038,0.9579599,0.9313743,1.2693229,-0.52906215,0.0023955833,-1.1008935,-0.071445845,-0.31499508
2669.0942,0.9573215,0.9399659,1.2722924,-0.5305999,0.0025051665,-1.1034967,-0.07146951,-0.31525394
2709.487,0.9566751,0.9484533,1.2752185,-0.53211665,0.00261922,-1.10606,-0.0714887,-0.31549677
2750.2847,0.9560192,0.95683366,1.2781022,-0.5336121,0.0027379822,-1.1085829,-0.07150134,-0.31572253
2791.4875,0.9553554,0.96510774,1.2809441,-0.5350877,0.0028609168,-1.1110666,-0.07151111,-0.31593263
2833.095,0.9546831,0.9732741,1.2837435,-0.53654134,0.0029878747,-1.1135105,-0.07151499,-0.31612858
2875.1108,0.9540045,0.9813296,1.2865015,-0.5379744,0.0031188857,-1.1159171,-0.07151564,-0.3163074
2917.53,0.9533179,0.98927486,1.2892163,-0.5393866,0.0032542925,-1.1182834,-0.07151177,-0.3164725
2960.3235,0.9524858,0.99608314,1.2922204,-0.5409897,0.0031657498,-1.1207765,-0.07141849,-0.3169466
3003.5652,0.95149875,1.0,1.2951947,-0.54307556,0.0031570029,-1.1235622,-0.07132306,-0.31734428
3047.2136,0.95046014,1.0,1.297938,-0.5452636,0.0033183824,-1.1262295,-0.07141813,-0.31759068
3091.2378,0.9494477,1.0,1.3003312,-0.5471646,0.0034324508,-1.1286743,-0.07140776,-0.3177465
3135.6565,0.9484755,1.0,1.3025094,-0.54887074,0.0034971368,-1.1310035,-0.07131579,-0.31786257
3180.4624,0.9475065,1.0,1.3046678,-0.5505619,0.003564639,-1.133317,-0.07122638,-0.3179766
3225.6504,0.94654065,1.0,1.3068085,-0.5522399,0.0036330502,-1.1356175,-0.07113876,-0.31808996
3271.2202,0.94558096,1.0,1.3089366,-0.5539017,0.00370547,-1.1379042,-0.07105317,-0.31820175
3317.1797,0.9446236,1.0,1.3110497,-0.5555479,0.0037893485,-1.1401814,-0.07095774,-0.318275
3363.5432,0.9436664,1.0,1.3131444,-0.55718184,0.0038941186,-1.1424506,-0.07083877,-0.31826517
3410.3064,0.942711,1.0,1.3152333,-0.5588012,0.004000945,-1.1447104,-0.0707235,-0.31825897
3457.4634,0.94175756,1.0,1.3173134,-0.5604081,0.0041119736,-1.1469606,-0.07061037,-0.31825402
3505.0115,0.940809,1.0,1.3193837,-0.56200093,0.004226623,-1.1492,-0.070500575,-0.31824985
3552.9463,0.9398642,1.0,1.3214442,-0.56358033,0.0043451916,-1.1514276,-0.07039275,-0.31824636
